"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"good_learning_outcome_inter_one"," 6.6e-01","7.2e-01","7.9e-01","7.2e-01","0.0e+00","7.2e-01","0.0e+00","PA"
"good_learning_outcome_inter_two"," 7.0e-01","7.7e-01","8.3e-01","7.7e-01","0.0e+00","7.7e-01","0.0e+00","PA"
"maintain_good_nutrition_inter_one"," 7.4e-01","8.2e-01","8.6e-01","8.1e-01","0.0e+00","8.1e-01","0.0e+00","PA"
"maintain_good_nutrition_inter_two"," 7.3e-01","8.2e-01","8.6e-01","8.1e-01","0.0e+00","8.1e-01","0.0e+00","PA"
"maintain_good_water_intake_inter_one"," 7.3e-01","7.8e-01","8.3e-01","7.8e-01","0.0e+00","7.8e-01","0.0e+00","PA"
"maintain_good_water_intake_inter_two"," 7.5e-01","7.9e-01","8.4e-01","7.9e-01","0.0e+00","7.9e-01","0.0e+00","PA"
"percent_achieving_nutrition_outcome_inter_one"," 9.3e-01","9.4e-01","9.6e-01","9.4e-01","0.0e+00","9.4e-01","0.0e+00","PA"
"percent_achieving_nutrition_outcome_inter_two"," 9.3e-01","9.4e-01","9.6e-01","9.4e-01","0.0e+00","9.4e-01","0.0e+00","PA"
"good_mental_wellbeing_inter_one"," 7.1e-01","7.5e-01","8.0e-01","7.5e-01","0.0e+00","7.5e-01","0.0e+00","PA"
"good_mental_wellbeing_inter_two"," 7.1e-01","7.5e-01","8.0e-01","7.5e-01","0.0e+00","7.5e-01","0.0e+00","PA"
"optimal_training_condition_inter_one"," 8.0e-01","8.3e-01","8.5e-01","8.3e-01","0.0e+00","8.3e-01","0.0e+00","PA"
"optimal_training_condition_inter_two"," 8.0e-01","8.3e-01","8.6e-01","8.3e-01","0.0e+00","8.3e-01","0.0e+00","PA"
