"","VIP","Coefficient"
"var_CV",0.0459458170416837,97681.2296341814
"weight_male",0.00525214868445667,-11166.1164117254
"weight_female",1.94311247496447,4131074.99426659
"height_male",0.269093481536897,572095.216833773
"height_female",0.1076736354032,228915.139235091
"age_male",0.312493249147814,-664363.521959919
"age_female",0.0652442622339244,-138709.901617437
"paf_normal",0.595966759514946,1267030.81235238
"paf_intensive",0.172517465395177,366773.718223026
"number_male",0.0811705870717193,-172569.414710823
"number_female",5.24522967375502,11151406.5313335
"number_total",0.121173520946526,-257616.020070369
"normal_training",0.7764179552413,1650671.71423289
"intensive_training",0.46937173221884,997888.619916504
"bmi_healthy_cutoff",0.0406118514204218,86341.1696622666
"target_fat_perc_male",0.223627944106054,475435.066069789
"target_fat_perc_female",0.333715155560463,709481.490189505
"fat_perc_male",0.276942737272329,588782.806723721
"fat_perc_female",0.492937276615053,-1047989.18405562
"weekly_weight_loss",0.126944299733639,269884.748850633
"weekly_weight_gain",0.132392391676631,-281467.442432264
"weekly_extra_kcal",0.266257015387014,566064.863709682
"daily_kcal_male",0.219774517363485,-467242.645371776
"daily_kcal_female",0.0405964809139953,86308.491824228
"per_underweight_male",0.0897638866976411,-190838.848755569
"per_underweight_female",0.132121878393746,-280892.328704705
"per_overweight_male",0.0958492654138469,203776.419878733
"per_overweight_female",0.0403694214024225,-85825.7612141608
"protein_need",0.104055706745819,221223.38963227
"protein_need_percent",0.0901281759612651,-191613.331080718
"carb_need",0.079684918344724,-169410.869332246
"carb_need_percent",1.24088810848994,2638139.53217467
"fat_tar_perc",0.0353162262626838,-75082.6218684544
"protein_need_nor",0.218025727734028,463524.702534414
"protein_need_int",0.0840966356839226,-178790.220973776
