"","VIP","Coefficient"
"var_CV",0.202727951388226,-788178.293832103
"weight_male",1.57423480274615,6120407.63211522
"weight_female",0.225435853812061,-876463.484238085
"height_male",0.575984361874733,2239347.69975072
"height_female",0.0271797740098586,-105671.209910311
"age_male",0.596454379303933,-2318932.30217767
"age_female",0.145900321329367,-567240.311695939
"paf_normal",0.648902907134194,2522844.93926685
"paf_intensive",0.0195114490401176,-75857.8208348881
"number_male",5.2467365538528,20398587.5498883
"number_female",0.00588421722893361,-22877.0244274649
"number_total",0.135629588963915,527309.12185865
"normal_training",0.753126345173008,2928051.28110689
"intensive_training",0.532849310554075,2071644.57385483
"bmi_healthy_cutoff",0.0025282244963407,9829.38788807824
"target_fat_perc_male",0.249646746663647,970592.093979579
"target_fat_perc_female",0.433989231457572,-1687290.23131441
"fat_perc_male",0.510404976826373,-1984384.10216081
"fat_perc_female",0.0349274994467319,-135793.297042836
"weekly_weight_loss",0.0402279081827406,156400.554628939
"weekly_weight_gain",0.116909042824664,-454526.222339361
"weekly_extra_kcal",0.348463693253611,1354778.74328787
"daily_kcal_male",0.240528086771244,-935140.002904751
"daily_kcal_female",0.227058318405758,-882771.402640586
"per_underweight_male",0.0726175072453877,282326.845267644
"per_underweight_female",0.0744794564202872,289565.846667427
"per_overweight_male",0.0138207959253281,-53733.3469668726
"per_overweight_female",0.225382805599824,-876257.240110794
"protein_need",0.260910741412808,1014384.95087146
"protein_need_percent",0.0534629609140829,207856.612903758
"carb_need",0.0852999236473233,331634.329770378
"carb_need_percent",1.34572662243177,5231999.36648852
"fat_tar_perc",0.368959653903799,1434464.20937725
"protein_need_nor",0.159882528605505,-621601.203716246
"protein_need_int",0.172748818582743,671623.563300931
