"","VIP","Coefficient"
"var_CV",0.117518376853369,-1574257.23541162
"weight_male",0.172991447687164,-2317365.55148005
"weight_female",0.117192047609273,1569885.78145352
"height_male",0.211546574883605,-2833843.82131647
"height_female",0.0466793816854945,-625309.473552548
"age_male",0.0896543198913454,1200994.81931206
"age_female",0.0088167726929085,-118108.065958987
"paf_normal",0.0289301993984966,387544.288344027
"paf_intensive",0.067105662514755,-898936.639354329
"number_male",0.419283427396974,-5616653.21578976
"number_female",5.22400056581406,69979869.606167
"number_total",0.0695609058239551,931826.683002796
"normal_training",0.975578732876087,13068695.4676046
"intensive_training",0.18045149994734,2417299.20919032
"bmi_healthy_cutoff",0.322424400445515,-4319145.30191244
"target_fat_perc_male",0.174433536254789,-2336683.53750466
"target_fat_perc_female",0.0726916454283224,973765.566148829
"fat_perc_male",0.118510345806399,-1587545.49162672
"fat_perc_female",0.0060907906639599,81591.2500568333
"weekly_weight_loss",0.036864618830283,493832.492229496
"weekly_weight_gain",0.0594182171885531,-795956.860781447
"weekly_extra_kcal",0.099889285709662,-1338100.77180304
"daily_kcal_male",0.00223660317879753,-29961.175700715
"daily_kcal_female",2.40886350590007,32268747.2786811
"per_underweight_male",0.224842195307677,-3011949.80960796
"per_underweight_female",0.177923762964453,2383438.05197324
"per_overweight_male",0.237618794644229,3183103.07506379
"per_overweight_female",0.00596085316298117,-79850.6282362791
"protein_need",0.159584644232204,-2137770.17322661
"protein_need_percent",0.190595122450061,-2553181.54134775
"carb_need",0.197803837814381,2649748.33051013
"carb_need_percent",0.44212060232044,-5922576.33030388
"fat_tar_perc",0.0317235515284982,-424963.583261573
"protein_need_nor",0.134942006033336,-1807661.36366907
"protein_need_int",0.0380146874050374,-509238.625495663
