"","VIP","Coefficient"
"var_CV",0.049037395454523,-1196897.95830751
"weight_male",0.0866118909641429,-2114011.04196641
"weight_female",0.0733608582677066,1790581.67071159
"height_male",0.0332561581441962,-811711.703180774
"height_female",0.248241138061299,-6059035.32517438
"age_male",0.00971309378691594,237075.848230776
"age_female",0.215730851738482,-5265528.75813294
"paf_normal",0.281006750112704,-6858773.84724562
"paf_intensive",0.00418859372432715,102234.615651154
"number_male",5.10957827884606,124713879.134035
"number_female",0.346723462247933,-8462778.25759981
"number_total",0.190796633665242,-4656937.81590944
"normal_training",0.677461012614071,16535374.5914727
"intensive_training",0.396078430076839,9667427.47844872
"bmi_healthy_cutoff",0.169099735939782,-4127362.94048005
"target_fat_perc_male",0.00682417188159895,166563.4423794
"target_fat_perc_female",0.136717679341743,3336986.18680571
"fat_perc_male",0.0656137187725065,-1601490.56261781
"fat_perc_female",0.130937392546743,3195901.74707883
"weekly_weight_loss",0.0116362367001536,-284015.654169744
"weekly_weight_gain",0.257753475532342,-6291211.141045
"weekly_extra_kcal",0.0607954677399197,-1483887.35857194
"daily_kcal_male",2.7154282904798,66277797.7231648
"daily_kcal_female",0.0415432986306034,-1013983.08069688
"per_underweight_male",0.0882834199586272,-2154809.49021608
"per_underweight_female",0.0166676676484019,-406822.124079192
"per_overweight_male",0.22419336352054,-5472080.57395056
"per_overweight_female",0.216983872532234,-5296112.31616774
"protein_need",0.169157991129421,4128784.82508248
"protein_need_percent",0.0621147900751104,-1516089.19544975
"carb_need",0.380221039949166,9280382.49590066
"carb_need_percent",0.0344731359104087,841415.52799007
"fat_tar_perc",0.292178644975847,-7131455.91015253
"protein_need_nor",0.119633133277061,2919988.95206489
"protein_need_int",0.135903537181064,-3317114.71767779
