"","VIP","Coefficient"
"var_CV",0.0955464736101297,-933685.007900365
"weight_male",1.07242795722456,10479820.6347161
"weight_female",0.59238729352293,5788838.81251263
"height_male",0.570372912242622,5573713.15708032
"height_female",0.0285176218475663,-278675.653574531
"age_male",0.569534164319373,-5565516.86964284
"age_female",0.188554868304139,-1842567.77932553
"paf_normal",0.822806709119863,8040509.08084592
"paf_intensive",0.123462101511158,1206477.94595969
"number_male",3.76990053532321,36839660.0953535
"number_female",2.00483970971003,19591395.7833512
"number_total",0.0704422172334782,-688364.935607487
"normal_training",1.0116097606684,9885502.11947989
"intensive_training",0.684415403023126,6688142.18708152
"bmi_healthy_cutoff",0.267862173456093,2617562.80571978
"target_fat_perc_male",0.231112160221155,2258439.80409427
"target_fat_perc_female",0.292314719477418,-2856514.33121788
"fat_perc_male",0.332414566560575,-3248372.07987131
"fat_perc_female",0.127512425922912,-1246057.92246221
"weekly_weight_loss",0.283634154950246,-2771687.41241181
"weekly_weight_gain",0.0329969091115458,-322447.476923262
"weekly_extra_kcal",0.0126235029264886,123357.513724077
"daily_kcal_male",0.114207656444713,1116043.03728651
"daily_kcal_female",0.125796256268717,1229287.42516816
"per_underweight_male",0.0905531452410323,884889.948683701
"per_underweight_female",0.0901273455795524,880729.012698611
"per_overweight_male",0.269791317930235,-2636414.50380472
"per_overweight_female",0.0805136744830318,-786783.728958126
"protein_need",0.0293731411326922,-287035.831614707
"protein_need_percent",0.953467117984703,-9317329.25299615
"carb_need",0.0481851850462358,-470868.083150329
"carb_need_percent",3.298107392041,-32229273.4628731
"fat_tar_perc",0.094689631221729,925311.90042758
"protein_need_nor",0.180558857773642,1764430.35705077
"protein_need_int",0.0914758665225171,893906.82805602
