"","VIP","Coefficient"
"var_CV",0.0173307217041314,-155312.95022453
"weight_male",1.38664165503399,12426684.2445582
"weight_female",0.623536985238789,5587959.37092794
"height_male",0.345052925759314,3092265.21538969
"height_female",0.0732497285689032,656443.028824954
"age_male",0.288154909222492,-2582361.53329714
"age_female",0.110665208375048,-991749.812464173
"paf_normal",0.697695736131192,6252548.79672891
"paf_intensive",0.586250689132916,5253810.29450674
"number_male",4.54955470115452,40771802.519669
"number_female",2.3865798915223,21387843.520129
"number_total",0.0705151579220272,-631936.592104406
"normal_training",0.73743639535071,6608693.17043838
"intensive_training",0.705908194332848,6326146.48836981
"bmi_healthy_cutoff",0.109314670399695,-979646.6790273
"target_fat_perc_male",0.260812458793663,2337326.34578634
"target_fat_perc_female",0.341790643599417,-3063029.57965747
"fat_perc_male",0.406547731807042,-3643364.00480024
"fat_perc_female",0.313432094069292,-2808888.40384237
"weekly_weight_loss",0.20543893122057,1841084.69592669
"weekly_weight_gain",0.237324854292411,-2126837.18029897
"weekly_extra_kcal",0.0734475380222983,658215.740331928
"daily_kcal_male",0.257147665586518,-2304483.52165693
"daily_kcal_female",0.0153779862521167,137813.095963519
"per_underweight_male",0.215995506342083,1935689.69013177
"per_underweight_female",0.301359369831407,2700696.11672106
"per_overweight_male",0.268180622896444,2403357.71620922
"per_overweight_female",0.132739315282937,-1189571.61850117
"protein_need",0.0527982060262511,-473162.357834457
"protein_need_percent",0.0554056612370323,-496529.62252651
"carb_need",0.0453278223273343,-406214.924750269
"carb_need_percent",0.0193176245199311,-173119.002586314
"fat_tar_perc",1.80656297312832,16189898.4885361
"protein_need_nor",0.241109994318222,2160758.51805154
"protein_need_int",0.0945907539170943,847695.16847785
