"","VIP","Coefficient"
"var_CV",0.123420366495664,-109977.608988621
"weight_male",1.51028995144375,1345791.48041307
"weight_female",0.0179524369036243,-15997.0849401832
"height_male",0.265429307184855,236519.153106891
"height_female",0.223854768024434,199472.849150019
"age_male",0.473484512622797,-421913.303856759
"age_female",0.129212460313604,115138.836808806
"paf_normal",0.465384383619833,414695.42851301
"paf_intensive",0.569901342667822,507828.560274236
"number_male",4.79180769274641,4269891.32948364
"number_female",0.183337025954818,163368.237561537
"number_total",0.0194864949214004,-17364.0557055047
"normal_training",0.579917991417045,516754.210965421
"intensive_training",0.498679307515048,444363.920232994
"bmi_healthy_cutoff",0.161216046746908,-143656.641567707
"target_fat_perc_male",0.374799515239795,333976.925417855
"target_fat_perc_female",0.223866098401265,-199482.945439538
"fat_perc_male",0.526019712003873,-468726.449690953
"fat_perc_female",0.362069999728303,-322633.889261933
"weekly_weight_loss",0.174886276968474,155837.931226611
"weekly_weight_gain",0.30108871533584,-268294.593074754
"weekly_extra_kcal",0.0750675912719416,66891.3440709417
"daily_kcal_male",0.136137623309572,-121309.721645546
"daily_kcal_female",0.0482849271438575,-43025.8067468771
"per_underweight_male",0.18802273213245,167543.583790616
"per_underweight_female",0.401571040214489,357832.536848076
"per_overweight_male",0.184697108669442,164580.182147573
"per_overweight_female",0.1441097247541,-128413.513996662
"protein_need",0.016749331775078,-14925.0201816969
"protein_need_percent",0.644701934110154,-574481.985728546
"carb_need",0.0897355608508201,-79961.7008427275
"carb_need_percent",2.56915548160428,-2289326.99690835
"fat_tar_perc",0.0925775044613643,-82494.1043028899
"protein_need_nor",0.26464040059918,235816.173019637
"protein_need_int",0.305793267571291,272486.732677864
