"","VIP","Coefficient"
"var_CV",0.218405876842049,99506.4084853079
"weight_male",0.0848579609630557,-38661.5554897671
"weight_female",1.84076527901397,838658.484961933
"height_male",0.0151081726526018,-6883.33126000808
"height_female",0.421905303321413,-192221.391024106
"age_male",0.396914544681983,180835.522321812
"age_female",0.308267146772732,-140447.487370276
"paf_normal",0.709297420749234,323158.148980083
"paf_intensive",0.297627571598423,135600.0632592
"number_male",0.374060821018697,170423.293515836
"number_female",5.19123095776908,2365141.24846064
"number_total",0.0464682214795249,-21171.0687229875
"normal_training",0.468707451472437,213544.597795111
"intensive_training",0.472667898900469,215348.99017345
"bmi_healthy_cutoff",0.0125319639100897,-5709.60240626836
"target_fat_perc_male",0.0967722489729497,-44089.7428016933
"target_fat_perc_female",0.264348856380828,-120438.175318322
"fat_perc_male",0.158149888312443,72053.5894723415
"fat_perc_female",0.414277787299932,-188746.27059266
"weekly_weight_loss",0.0831541249727717,37885.2824219697
"weekly_weight_gain",0.167161004427408,76159.0824838353
"weekly_extra_kcal",0.289405885137298,131854.236895606
"daily_kcal_male",0.317792652105348,-144787.337736765
"daily_kcal_female",0.153895261491608,-70115.1680319115
"per_underweight_male",0.0751982114659539,-34260.5430572147
"per_underweight_female",0.152626384345829,69537.0635898002
"per_overweight_male",0.272030575470843,123937.990839281
"per_overweight_female",0.0885970236411851,40365.0842756302
"protein_need",0.0310115049519842,-14128.9397708284
"protein_need_percent",1.4668213201354,668288.43420687
"carb_need",0.100496794683552,-45786.6576112223
"carb_need_percent",0.0581248889845517,26481.8833178322
"fat_tar_perc",0.339451592120126,154655.219332405
"protein_need_nor",0.0569144790011876,25930.4166998966
"protein_need_int",0.292460390469597,-133245.879188895
