"","VIP","Coefficient"
"var_CV",0.0129220571132514,12268.9396813177
"weight_male",1.77231150984593,1682733.85732881
"weight_female",0.138145889030572,-131163.603819703
"height_male",0.37733023875272,358258.89783809
"height_female",0.0776222110012878,73698.9642097074
"age_male",0.354221010458241,-336317.675512427
"age_female",0.0649647352367199,61681.2331849798
"paf_normal",0.4791339164184,454917.128773757
"paf_intensive",0.388259166456651,368635.4465258
"number_male",5.17417447667556,4912657.01726748
"number_female",0.19069047936242,181052.441464593
"number_total",0.0326495671458143,30999.3653814098
"normal_training",0.603119475441686,572636.105843685
"intensive_training",0.527159012872207,500514.900584948
"bmi_healthy_cutoff",0.140940756901328,-133817.21113803
"target_fat_perc_male",0.385955786252137,366448.485692501
"target_fat_perc_female",0.33057743519316,-313869.113628229
"fat_perc_male",0.56244557970686,-534017.984208621
"fat_perc_female",0.232907698110516,-221135.882188765
"weekly_weight_loss",0.0640646392349287,60826.6305890783
"weekly_weight_gain",0.200141520479817,-190025.800147251
"weekly_extra_kcal",0.170726816067729,-162097.798358309
"daily_kcal_male",0.254410515381817,-241551.88606244
"daily_kcal_female",0.0405696930582529,38519.1856574323
"per_underweight_male",0.140715472886463,133603.313616504
"per_underweight_female",0.203316453710289,193040.263243605
"per_overweight_male",0.267560859766408,254037.574728655
"per_overweight_female",0.15770978875481,-149738.688540686
"protein_need",0.0979342462535652,92984.3715663604
"protein_need_percent",1.61769429791589,1535931.4380052
"carb_need",0.163016510294443,-154777.193316256
"carb_need_percent",0.0942243955345823,-89462.0272291559
"fat_tar_perc",0.0674500178970904,-64040.9026078801
"protein_need_nor",0.281063307315595,266857.570266458
"protein_need_int",0.19643759169013,186509.078428232
