"","VIP","Coefficient"
"var_CV",0.0964064356452189,-104658.950700107
"weight_male",1.07255300630463,1164364.92500544
"weight_female",0.593446758180988,644246.564992495
"height_male",0.571039936169451,619921.690158604
"height_female",0.028028439130228,-30427.7096181281
"age_male",0.568923900430866,-617624.519035514
"age_female",0.188019157861795,-204113.839928166
"paf_normal",0.822634411141762,893052.976221789
"paf_intensive",0.123914893798599,134522.168300076
"number_male",3.76988607257254,4092593.17569176
"number_female",2.00397465648228,2175517.46803373
"number_total",0.0708122954995283,-76873.9191947719
"normal_training",1.01163605618795,1098233.4055027
"intensive_training",0.685122115147166,743769.45058539
"bmi_healthy_cutoff",0.269211464261655,292256.312324949
"target_fat_perc_male",0.231501593883892,251318.428475599
"target_fat_perc_female",0.292282951206489,-317302.748266461
"fat_perc_male",0.332257301525965,-360698.954457
"fat_perc_female",0.12591626459459,-136694.859013807
"weekly_weight_loss",0.284213087667061,-308542.094014729
"weekly_weight_gain",0.0326740527860626,-35470.9937860752
"weekly_extra_kcal",0.0133379259278626,14479.6695654527
"daily_kcal_male",0.115114819696203,124968.796520734
"daily_kcal_female",0.126086259023649,136879.405184932
"per_underweight_male",0.0889887160692914,96606.2647750598
"per_underweight_female",0.0900617041747692,97771.1020442881
"per_overweight_male",0.269723346307478,-292812.012133157
"per_overweight_female",0.0805789123183783,-87476.5709919246
"protein_need",0.0295189659065725,-32045.8274062051
"protein_need_percent",0.953398252975238,-1035010.37132942
"carb_need",0.0476433514285168,-51721.683671564
"carb_need_percent",3.2982053924246,-3580536.02183675
"fat_tar_perc",0.0956278260241271,103813.691092664
"protein_need_nor",0.179605956369111,194980.457552188
"protein_need_int",0.092430354794723,100342.512207939
