"","VIP","Coefficient"
"var_CV",0.0891972323714023,-623004.74710879
"weight_male",0.149197245877385,-1042079.33324812
"weight_female",0.215956871707049,-1508366.93770996
"height_male",0.0494134227683695,-345131.750583976
"height_female",0.127021332587496,887190.006709959
"age_male",0.308562625650686,-2155178.75891363
"age_female",0.104857935649325,732388.101567399
"paf_normal",0.0332739301816042,-232404.256353946
"paf_intensive",0.378584099504082,-2644248.98509036
"number_male",4.1826571216994,29214081.7945667
"number_female",2.42224626885331,16918360.4024691
"number_total",0.0518911988576544,362437.963174402
"normal_training",1.39298015584459,9729374.18176846
"intensive_training",0.947504727440363,6617917.70226072
"bmi_healthy_cutoff",0.195617742180095,-1366306.76487196
"target_fat_perc_male",0.132516883303336,925574.092100521
"target_fat_perc_female",0.150652762737109,-1052245.49971984
"fat_perc_male",0.273393915711263,1909540.27149149
"fat_perc_female",0.208374026779913,1455403.98963859
"weekly_weight_loss",0.0615876671192999,-430163.671658734
"weekly_weight_gain",0.0110845829620122,77421.0995280708
"weekly_extra_kcal",0.232613856086619,1624708.89210804
"daily_kcal_male",2.52387058039912,17628163.0144053
"daily_kcal_female",1.25439712252447,8761430.61074286
"per_underweight_male",0.177948201413182,-1242892.53458303
"per_underweight_female",0.0765476253934008,-534652.620177976
"per_overweight_male",0.00254459261017514,17772.8975826981
"per_overweight_female",0.0392084616525044,-273854.435691827
"protein_need",0.328416170924764,2293847.33218492
"protein_need_percent",0.0927096449154819,-647537.455474163
"carb_need",0.105110038185003,734148.930601106
"carb_need_percent",0.248838115343,-1738028.44548792
"fat_tar_perc",0.133908690813095,935295.275847919
"protein_need_nor",0.0806878944730593,563570.639519594
"protein_need_int",0.0101611175284131,-70971.0860733085
