"","VIP","Coefficient"
"var_CV",0.151270400466065,1980226.03931905
"weight_male",0.176206050921945,-2306649.61053957
"weight_female",1.90053130766579,24879167.1892556
"height_male",8.64692369550035e-05,-1131.9374715132
"height_female",0.335637373233371,-4393707.32276515
"age_male",0.333484499844518,4365524.83676109
"age_female",0.330674314412135,-4328737.71679992
"paf_normal",0.681902983691626,8926545.05068512
"paf_intensive",0.428973353068116,5615534.83895251
"number_male",0.36363083846974,4760159.64007932
"number_female",5.35603759159634,70113948.7551634
"number_total",0.069766812477294,-913292.080421372
"normal_training",0.536433489013848,7022256.56860273
"intensive_training",0.515924238854349,6753777.40091612
"bmi_healthy_cutoff",0.0063270543699502,82825.1778071641
"target_fat_perc_male",0.132982036682888,-1740819.69102879
"target_fat_perc_female",0.189368442187474,-2478953.70865394
"fat_perc_male",0.168148948858596,2201177.00480746
"fat_perc_female",0.443493953899938,-5805618.76670797
"weekly_weight_loss",0.166415375406758,2178483.42245543
"weekly_weight_gain",0.0674463556969437,882915.820919137
"weekly_extra_kcal",0.400645260794174,5244702.04025389
"daily_kcal_male",0.263014771623793,-3443031.14085975
"daily_kcal_female",0.089923222025983,-1177152.33943118
"per_underweight_male",0.0480729919997434,629306.131619738
"per_underweight_female",0.201962038187665,2643811.91390367
"per_overweight_male",0.222929005432667,2918282.89022277
"per_overweight_female",0.0915492551845326,1198438.15074281
"protein_need",0.041509754439891,-543389.165192641
"protein_need_percent",0.325546886538637,-4261616.41508757
"carb_need",0.0367196150086125,-480683.18434932
"carb_need_percent",0.100504159924532,1315663.56623146
"fat_tar_perc",0.320629062843534,4197238.96577944
"protein_need_nor",0.0667824914564391,874225.414523903
"protein_need_int",0.312241657540031,-4087442.47992929
