"","VIP","Coefficient"
"var_CV",0.347823144942027,-4706000.78237537
"weight_male",0.0371729863684797,-502945.54999338
"weight_female",2.10790029981995,28519610.0500309
"height_male",0.22894777294876,-3097632.84671451
"height_female",0.0515607629996832,697610.24976306
"age_male",0.03092283030688,-418381.771695191
"age_female",0.292089361044703,-3951930.1161773
"paf_normal",0.890172576139556,12043916.2852722
"paf_intensive",0.261577833380668,3539113.21440858
"number_male",0.351823916631278,-4760130.68998362
"number_female",5.20792204614984,70462491.010528
"number_total",0.0220186623916174,297909.566826215
"normal_training",0.929501102514156,12576026.0041909
"intensive_training",0.206766165642051,2797518.65690948
"bmi_healthy_cutoff",0.31078773232706,-4204916.58692692
"target_fat_perc_male",0.166992102123699,-2259380.87983081
"target_fat_perc_female",0.388487227329617,5256180.39610542
"fat_perc_male",0.325084224138316,-4398346.21525198
"fat_perc_female",0.419798084113662,-5679812.11430843
"weekly_weight_loss",0.193676246315489,-2620413.79345279
"weekly_weight_gain",0.267505761026647,-3619317.28520005
"weekly_extra_kcal",0.175619937708223,2376114.34510306
"daily_kcal_male",0.0767204353299267,-1038017.26232736
"daily_kcal_female",0.0456711887778972,-617925.095687985
"per_underweight_male",0.118710150312951,-1606132.50835208
"per_underweight_female",0.391735559190378,5300129.89314279
"per_overweight_male",0.164992565920665,2232327.42156416
"per_overweight_female",0.00184682866941171,-24987.3456943568
"protein_need",0.193644128842036,-2619979.24831859
"protein_need_percent",0.189238824740618,-2560376.0711024
"carb_need",0.11647146494071,1575843.3937073
"carb_need_percent",0.427447256542351,-5783304.3975489
"fat_tar_perc",0.304989970620364,-4126473.64394138
"protein_need_nor",0.106600384768437,-1442288.99490111
"protein_need_int",0.0695590892006974,-941125.203885901
