"","VIP","Coefficient"
"var_CV",0.0471378796494554,-1275512.09618059
"weight_male",1.78108423380639,48194668.5220243
"weight_female",0.106403365446252,-2879187.19955801
"height_male",0.407283209143485,11020747.2991366
"height_female",0.158715443895611,4294708.84233677
"age_male",0.438528895597603,-11866229.7714513
"age_female",0.047962571627464,1297827.58006309
"paf_normal",0.47467460290019,12844302.7614184
"paf_intensive",0.508392854410538,13756690.8022752
"number_male",5.37688176916676,145493980.367959
"number_female",0.247379604797839,6693887.81622173
"number_total",0.0280452106596613,758880.240315263
"normal_training",0.682921645658167,18479295.7650696
"intensive_training",0.597741829718234,16174400.2884426
"bmi_healthy_cutoff",0.127011426867052,-3436824.32317366
"target_fat_perc_male",0.354366251866286,9588858.13479407
"target_fat_perc_female",0.282874613200248,-7654353.43130649
"fat_perc_male",0.569255224302324,-15403576.2705333
"fat_perc_female",0.263252251586671,-7123388.53046932
"weekly_weight_loss",0.130034957307678,3518638.56002241
"weekly_weight_gain",0.294216927118048,-7961267.07927747
"weekly_extra_kcal",0.0707487910801927,-1914403.86126875
"daily_kcal_male",0.225993865383064,-6115207.36830672
"daily_kcal_female",0.0702992392867744,1902239.36098513
"per_underweight_male",0.26085244926479,7058451.86143023
"per_underweight_female",0.254168931785885,6877601.39779515
"per_overweight_male",0.227782770498003,6163613.66341359
"per_overweight_female",0.144445913264927,-3908587.1274525
"protein_need",0.0561687517102194,1519880.03632184
"protein_need_percent",0.0421355260176102,1140152.53791787
"carb_need",0.131059117938548,-3546351.50092728
"carb_need_percent",0.0554741360481471,-1501084.31012969
"fat_tar_perc",0.11062291123382,-2993364.62400848
"protein_need_nor",0.306269744457419,8287406.36309227
"protein_need_int",0.178968152552209,4842730.41360851
