"","VIP","Coefficient"
"var_CV",0.167948500252794,-4389556.90665793
"weight_male",1.55896469127311,40745610.8123234
"weight_female",0.310406772440935,8112892.87960663
"height_male",0.736249338057342,19242853.3867671
"height_female",0.186073252414218,-4863271.35431236
"age_male",0.475824572028536,-12436306.5663676
"age_female",0.176905706240174,-4623665.37054468
"paf_normal",0.599428638857071,15666862.8644086
"paf_intensive",0.220134918385521,5753518.19123893
"number_male",5.37701027496615,140535298.345159
"number_female",0.42812621552557,-11189646.7277345
"number_total",0.261772787772686,-6841779.15737941
"normal_training",0.702771561469141,18367867.2736366
"intensive_training",0.381997461710637,9984010.53807466
"bmi_healthy_cutoff",0.11310153632252,-2956058.72735313
"target_fat_perc_male",0.316569567848185,8273965.71505021
"target_fat_perc_female",0.0233674638186742,610739.673423398
"fat_perc_male",0.699497976156332,-18282307.7777332
"fat_perc_female",0.126529264869572,-3307010.23031817
"weekly_weight_loss",0.194361053424532,-5079884.0308833
"weekly_weight_gain",0.28700429093151,-7501237.97237014
"weekly_extra_kcal",0.0981339375077538,2564860.67167208
"daily_kcal_male",0.453763042695658,-11859699.2235881
"daily_kcal_female",0.171539806066024,-4483420.44942645
"per_underweight_male",0.0524391740257154,-1370567.39522857
"per_underweight_female",0.177162017847027,-4630364.41449221
"per_overweight_male",0.163753788153401,-4279922.5399347
"per_overweight_female",0.263079231946022,-6875924.80938344
"protein_need",0.0592631030548438,1548919.83514478
"protein_need_percent",0.0140922455133338,-368319.535633035
"carb_need",0.304172954033833,7949963.7638208
"carb_need_percent",0.0159204952490391,416103.268398623
"fat_tar_perc",0.35500808509057,-9278607.36763438
"protein_need_nor",0.197732764067632,5168008.16249742
"protein_need_int",0.152629592468991,-3989176.92491572
