"","VIP","Coefficient"
"var_CV",0.224315707298906,-1606761.03945683
"weight_male",1.26174701964348,9037824.3112171
"weight_female",0.675068622495204,4835479.31014805
"height_male",0.494028018722364,3538695.45045014
"height_female",0.059592198009783,426855.627591546
"age_male",0.63531301172329,-4550712.06287274
"age_female",0.188207557909247,-1348120.35689026
"paf_normal",0.978394915357675,7008188.81624096
"paf_intensive",0.143650067033138,1028957.50727187
"number_male",4.72267580262972,33828266.2994236
"number_female",2.48216909891198,17779640.3537671
"number_total",0.047391318605492,339461.401346822
"normal_training",1.13914762982772,8159651.64382273
"intensive_training",0.886677293285415,6351220.54793793
"bmi_healthy_cutoff",0.00413598571157107,29625.8375355195
"target_fat_perc_male",0.286851789612358,2054703.54794834
"target_fat_perc_female",0.376311041763485,-2695495.2370646
"fat_perc_male",0.445088482863126,-3188144.25430523
"fat_perc_female",0.233573214383008,-1673072.05211102
"weekly_weight_loss",0.117787992664508,-843708.894968144
"weekly_weight_gain",0.12514145880245,896381.367340609
"weekly_extra_kcal",0.0256523635944307,183746.465594534
"daily_kcal_male",0.204584086966092,-1465424.53129214
"daily_kcal_female",0.083789758658141,-600181.419921672
"per_underweight_male",0.0457468838447936,-327682.405853216
"per_underweight_female",0.0599801580488507,-429634.563953811
"per_overweight_male",0.124821666580127,-894090.713289949
"per_overweight_female",0.166599647702518,-1193344.08784376
"protein_need",0.0582089979764337,416947.842041783
"protein_need_percent",0.0334117168279993,-239326.28484664
"carb_need",0.0274159414411049,-196378.876441758
"carb_need_percent",0.00492051512431195,-35245.3784489887
"fat_tar_perc",0.238576967968721,1708913.66306808
"protein_need_nor",0.0710237069044904,508738.895310042
"protein_need_int",0.120699948015727,864567.07054273
