"","VIP","Coefficient"
"var_CV",0.219048635742594,-6474654.07084457
"weight_male",1.40891278211281,41644737.2486321
"weight_female",0.703965199038222,20807849.938138
"height_male",0.465886397748451,13770700.9747268
"height_female",0.0680720854771941,2012079.20721185
"age_male",0.619713780965118,-18317540.9473873
"age_female",0.215512835951739,-6370142.66664458
"paf_normal",0.942980416047979,27872677.5393678
"paf_intensive",0.110357731772996,3261961.13867996
"number_male",4.67968482889045,138322433.850947
"number_female",2.4883258547573,73550100.2801241
"number_total",0.0423675682771576,1252303.38681422
"normal_training",1.12284338552234,33189079.0935408
"intensive_training",0.864353232973556,25548610.0588925
"bmi_healthy_cutoff",0.104895348245522,3100503.6449011
"target_fat_perc_male",0.302730836434205,8948138.09656507
"target_fat_perc_female",0.364189532852729,-10764738.3123391
"fat_perc_male",0.464749082034539,-13737084.121593
"fat_perc_female",0.245685832583046,-7261998.09777377
"weekly_weight_loss",0.130146452181902,-3846877.44604691
"weekly_weight_gain",0.142986966389226,-4226418.21470929
"weekly_extra_kcal",0.250358900618254,7400124.95199918
"daily_kcal_male",0.201425663805452,-5953753.10012463
"daily_kcal_female",0.0616817755339408,-1823194.00302978
"per_underweight_male",0.139873626989717,4134393.92271307
"per_underweight_female",0.0491996656715459,1454246.97371226
"per_overweight_male",0.118210144415134,-3494063.27119044
"per_overweight_female",0.149527706403231,-4419749.84087735
"protein_need",0.0588616727422747,1739837.21809313
"protein_need_percent",0.0159194452327975,-470548.015661879
"carb_need",0.0379938541589488,-1123024.85547724
"carb_need_percent",0.0131482309212474,388636.279655702
"fat_tar_perc",0.268092250939159,7924288.4942907
"protein_need_nor",0.100516735305357,2971080.31386057
"protein_need_int",0.123491193892129,3650160.88110542
