"","VIP","Coefficient"
"var_CV",0.200022477775772,-52112.6160936835
"weight_male",1.39092539139515,362383.076855934
"weight_female",0.56318963797166,146729.93614477
"height_male",0.389772787747454,101548.985281634
"height_female",0.0201060243962061,5238.29892610519
"age_male",0.53505396001445,-139399.641068817
"age_female",0.112476687509445,-29303.9787370282
"paf_normal",0.938162624445014,244423.07297059
"paf_intensive",0.146121587207589,38069.6122847008
"number_male",4.34851833703859,1132936.00396487
"number_female",2.21234931840123,576391.773449628
"number_total",0.13998481798708,36470.7764838442
"normal_training",1.08651369608556,283073.541305238
"intensive_training",0.808747220535268,210705.986093394
"bmi_healthy_cutoff",0.1446293898264,-37680.8444315742
"target_fat_perc_male",0.192268486447666,50092.4392727149
"target_fat_perc_female",0.359495413957132,-93660.7060531928
"fat_perc_male",0.249908835378167,-65109.6983764064
"fat_perc_female",0.278378405111845,-72526.9835454597
"weekly_weight_loss",0.109617649522433,-28559.102707738
"weekly_weight_gain",0.144427530644606,37628.2532920044
"weekly_extra_kcal",0.0792910101484692,20657.9881296123
"daily_kcal_male",0.185036877662252,-48208.3607603165
"daily_kcal_female",0.0901722762443293,-23492.9257274879
"per_underweight_male",0.00370142931240156,-964.347441847627
"per_underweight_female",0.152950918309096,-39848.8838637102
"per_overweight_male",0.0847248971523361,-22073.6993560597
"per_overweight_female",0.113480307082229,-29565.4555574446
"protein_need",0.0365321035973837,-9517.847749088
"protein_need_percent",2.279088328216,593779.541242648
"carb_need",0.0432803132092652,-11275.984438195
"carb_need_percent",0.0609201288440795,-15871.7526256631
"fat_tar_perc",0.168885712911301,44000.4364435522
"protein_need_nor",0.048512473078394,-12639.1389277937
"protein_need_int",0.113962180806385,29690.9999496139
