"","VIP","Coefficient"
"var_CV",0.210759962041911,10168.8593474557
"total_kcal_need_male",0.427543493431139,20628.3470897406
"total_kcal_need_female",0.0164301467402853,-792.730505553967
"protein_need_gram_male",0.201168797361413,9706.0997053047
"protein_need_gram_female",0.386963125506234,-18670.403798717
"total_protein_need_gram",0.209205357853234,10093.8519732729
"carb_need_gram_male",0.107846233975738,5203.42276506008
"carb_need_gram_female",0.35718504948456,17233.6552637081
"total_carb_need_gram",0.280433680342701,13530.5141643895
"fat_need_gram_male",0.604914474498316,29186.237029167
"fat_need_gram_female",0.324036750923831,15634.2984294888
"total_fat_need_gram",0.27167102413911,13107.7288422575
"chicken_raw_100g_kcal",0.140986980556564,6802.41522731474
"chicken_raw_100g_protein",0.137925267905936,-6654.69207816952
"chicken_raw_100g_CHO",0.392631679042374,-18943.9032008523
"chicken_raw_100g_fat",0.307959752593693,-14858.6068172653
"chicken_raw_100g_Ca",0.210484481866171,-10155.5678326301
"chicken_raw_100g_Fe",0.4827954192439,-23294.1715510028
"pork_raw_100g_kcal",0.0771791489442207,3723.78084796792
"pork_raw_100g_protein",0.066948763103305,3230.17972146085
"pork_raw_100g_CHO",0.167166310351836,8065.52953004856
"pork_raw_100g_fat",0.318665943356137,-15375.1648340516
"pork_raw_100g_Ca",0.282408196733267,-13625.7816870271
"pork_raw_100g_Fe",0.238261000664088,11495.7441644223
"fish_raw_100g_kcal",0.24621113037682,11879.3262739442
"fish_raw_100g_protein",0.145098937629223,7000.81113092723
"fish_raw_100g_CHO",0.302449196882789,14592.7305786875
"fish_raw_100g_fat",0.389397640685429,-18787.8655888816
"fish_raw_100g_Ca",1.30620807574937,63022.6257023369
"fish_raw_100g_Fe",1.28323473919291,61914.1958757175
"fish_gram_per_serve",0.999408919501708,48220.0159581761
"vegetable_mushroom_raw_100g_kcal",0.0413935998851186,-1997.18054149642
"vegetable_mushroom_raw_100g_protein",0.89506646043919,43185.645198689
"vegetable_mushroom_raw_100g_CHO",0.472958113153293,22819.5359464787
"vegetable_mushroom_raw_100g_fat",0.68421243308308,-33012.2473376547
"vegetable_mushroom_raw_100g_Ca",3.1133603027089,150215.072680186
"vegetable_mushroom_raw_100g_Fe",0.164125960684099,7918.83711352518
"bean_nut_raw_100g_kcal",0.65069351517713,-31395.0086630874
"bean_nut_raw_100g_protein",0.1184433610718,5714.71861975157
"bean_nut_raw_100g_CHO",0.24437355172529,-11790.6657965639
"bean_nut_raw_100g_fat",0.109308804719567,-5273.98966038312
"bean_nut_raw_100g_Ca",0.281907488165795,-13601.6232323217
"bean_nut_raw_100g_Fe",1.03222348708751,49803.2707618624
"egg_whole_100g_kcal",0.611113501262865,-29485.3309872845
"egg_whole_100g_protein",0.763586254237075,-36841.9179039484
"egg_whole_100g_CHO",0.00474827215644607,229.097174029375
"egg_whole_100g_fat",0.613759280038408,29612.9859364139
"egg_whole_100g_Ca",0.104617251695723,5047.62910139271
"egg_whole_100g_Fe",0.344936336576362,-16642.6728136066
"egg_whole_gram_per_serve",0.104217903198182,-5028.3611215413
"dairy_100g_kcal",0.493874806198385,23828.7357372205
"dairy_100g_protein",0.320038554244473,-15441.3912981629
"dairy_100g_CHO",0.0286881280930256,-1384.16014452384
"dairy_100g_fat",0.555158172743736,-26785.5683761176
"dairy_100g_Ca",2.57061355624693,124028.337436025
"dairy_100g_Fe",0.418488572283297,20191.4604122966
"dairy_ml_per_serve",6.39038773835995,308326.844707656
"fruit_100g_kcal",0.178336701325062,8604.48452682464
"fruit_100g_protein",0.246500513475424,-11893.2885844264
"fruit_100g_CHO",0.469144023646204,-22635.5117164473
"fruit_100g_fat",0.373175391150493,18005.1658188594
"fruit_100g_Ca",0.413125056892154,19932.678653693
"fruit_100g_Fe",0.258072645124509,12451.6269801525
"rice_noodle_cooked_100g_kcal",0.559160126232706,26978.6567680025
"rice_noodle_cooked_100g_protein",1.20489573838638,-58134.4538748941
"rice_noodle_cooked_100g_CHO",0.716661178519589,34577.8517586673
"rice_noodle_cooked_100g_fat",0.418364579737337,20185.4779536371
"rice_noodle_cooked_100g_Ca",0.553008390903587,26681.8445523496
"rice_noodle_cooked_100g_Fe",0.277770701943937,13402.0293586418
"rice_noodle_gram_per_serve",0.625270720121028,30168.3960529879
