"","VIP","Coefficient"
"var_CV",0.15644274222177,-2.16595613025471
"total_kcal_need_male",0.943413441977977,13.0615974828684
"total_kcal_need_female",0.367430017886856,-5.08708354493985
"protein_need_gram_male",0.559550689044909,7.74700205271917
"protein_need_gram_female",0.0452211638693772,-0.626088853398407
"total_protein_need_gram",0.0964346610757347,1.33514180561939
"carb_need_gram_male",0.0285649204777139,0.395482486053822
"carb_need_gram_female",0.070622891825441,-0.977776810309217
"total_carb_need_gram",0.108641750817755,1.50414945969016
"fat_need_gram_male",0.0342591122312084,0.474318802524443
"fat_need_gram_female",0.286347882328873,-3.96449807966464
"total_fat_need_gram",0.465574109342018,6.44589248370318
"chicken_raw_100g_kcal",0.10263450747477,1.42097893122789
"chicken_raw_100g_protein",0.184437192385692,2.55354043160698
"chicken_raw_100g_CHO",0.49395123327618,6.83877491897183
"chicken_raw_100g_fat",0.0157249169854701,0.217712115363865
"chicken_raw_100g_Ca",0.488848279310147,6.76812431372057
"chicken_raw_100g_Fe",0.354534825660106,4.90854908397554
"pork_raw_100g_kcal",0.139675198149823,1.93380880046382
"pork_raw_100g_protein",0.298862651046472,4.13776556166888
"pork_raw_100g_CHO",0.195773096799331,2.7104864893659
"pork_raw_100g_fat",0.952110643581478,-13.1820105928768
"pork_raw_100g_Ca",0.100772121868004,-1.39519412673914
"pork_raw_100g_Fe",0.317971531799391,4.40232879305495
"fish_raw_100g_kcal",0.380564433840275,5.26893006813167
"fish_raw_100g_protein",0.0566078186877684,0.783737552575688
"fish_raw_100g_CHO",0.171131593869573,2.36932387887076
"fish_raw_100g_fat",0.361046180876472,4.99869906183237
"fish_raw_100g_Ca",0.14911270124035,2.06447141467604
"fish_raw_100g_Fe",0.398747508517,5.52067547673044
"fish_gram_per_serve",0.0896570989646022,-1.24130618247505
"vegetable_mushroom_raw_100g_kcal",0.671985877599276,-9.30367181219228
"vegetable_mushroom_raw_100g_protein",0.236911429659569,-3.2800483813505
"vegetable_mushroom_raw_100g_CHO",0.207558383499534,2.87365426316348
"vegetable_mushroom_raw_100g_fat",0.475791350996367,6.58735061005179
"vegetable_mushroom_raw_100g_Ca",0.0876442352769226,1.2134380028345
"vegetable_mushroom_raw_100g_Fe",0.220273640233022,-3.04969750990368
"bean_nut_raw_100g_kcal",0.509262807535852,-7.05076428748198
"bean_nut_raw_100g_protein",0.216632822771686,2.99929024404062
"bean_nut_raw_100g_CHO",0.0787259591526839,1.08996410709304
"bean_nut_raw_100g_fat",0.493637892589754,6.83443670442136
"bean_nut_raw_100g_Ca",0.298347093063426,4.13062764042036
"bean_nut_raw_100g_Fe",0.00326431733169867,-0.0451946062519579
"egg_whole_100g_kcal",0.0751612725185105,-1.04061087562909
"egg_whole_100g_protein",0.196895316483738,-2.72602366654915
"egg_whole_100g_CHO",0.158584089627576,2.19560317219953
"egg_whole_100g_fat",0.0969970358322147,1.34292790700063
"egg_whole_100g_Ca",0.508882896227029,-7.04550439995628
"egg_whole_100g_Fe",0.187677083279642,2.59839685283462
"egg_whole_gram_per_serve",0.200144925032522,-2.7710146291033
"dairy_100g_kcal",0.322447815184696,4.46430311862267
"dairy_100g_protein",0.233665702335708,3.23511115451331
"dairy_100g_CHO",0.187997185086691,-2.60282867537517
"dairy_100g_fat",0.06015412052964,-0.832836245842307
"dairy_100g_Ca",0.24541560384369,3.3977890188851
"dairy_100g_Fe",0.0406873389327656,0.563317862712019
"dairy_ml_per_serve",0.261909053331708,3.62614149801116
"fruit_100g_kcal",0.50937320755537,7.05229278024334
"fruit_100g_protein",0.427354162026448,-5.91673575830636
"fruit_100g_CHO",0.0293783765243814,-0.406744818111864
"fruit_100g_fat",0.105083427249969,1.45488432513919
"fruit_100g_Ca",0.39506307133688,5.46966429408635
"fruit_100g_Fe",0.279911392840149,-3.87538462085261
"rice_noodle_cooked_100g_kcal",0.047333896509215,0.655339722744322
"rice_noodle_cooked_100g_protein",0.217222316922526,-3.00745181454
"rice_noodle_cooked_100g_CHO",0.183525285556629,2.54091504446162
"rice_noodle_cooked_100g_fat",0.579322497011463,8.02074353834635
"rice_noodle_cooked_100g_Ca",0.829139557680413,-11.4794709060313
"rice_noodle_cooked_100g_Fe",0.169401074288977,2.34536476487872
"rice_noodle_gram_per_serve",0.0970396759703357,-1.34351826144755
"sandwich_100g_kcal",0.859630234174477,-11.9016155624726
"sandwich_100g_protein",0.172190584736647,-2.38398565050584
"sandwich_100g_CHO",0.436188909560142,6.03905319731373
"sandwich_100g_fat",0.347065978305081,-4.80514258850757
"sandwich_100g_Ca",0.43543960713381,6.02867907473905
"sandwich_100g_Fe",0.435013413935855,6.02277841257554
"sandwich_gram_per_serve",0.136976740931071,1.89644855049516
"oil_fat_100g_kcal",0.409203560931749,-5.66543994777179
"oil_fat_100g_protein",0.0132003313617838,-0.182759124702114
"oil_fat_100g_CHO",0.0685474049857471,-0.949041610581476
"oil_fat_100g_fat",0.193894097731666,2.68447167083515
"oil_fat_100g_Ca",0.325408289498601,4.50529100593274
"oil_fat_100g_Fe",0.0367959102586735,0.50944087441332
"current_kcal_intake_yearly_male",0.33775163155467,-4.67618507883435
"current_kcal_intake_yearly_female",0.330467976239313,4.5753425746893
"current_chicken_intake_serve_per_meal",0.117719765457687,-1.62983494167965
"current_pork_intake_serve_per_meal",0.328921134515852,4.55392648810144
"current_beef_intake_serve_per_meal",0.133265098986056,1.84506071677438
"current_fish_intake_serve_per_meal",0.523112948509567,7.24252005269596
"current_prawn_intake_serve_per_meal",0.273891030919747,-3.79203246515233
"current_vegetable_mushroom_intake_serve_per_meal",0.135519039197069,-1.87626661068764
"current_bean_nut_intake_serve_per_day",0.467314497263255,6.46998822527285
"current_egg_intake_serve_per_day",0.349508418038057,-4.83895826597069
"current_dairy_intake_serve_per_day",0.260129799120623,-3.60150765107744
"current_fruit_intake_serve_per_day",0.316483562235612,-4.38172779391284
"current_sandwich_intake_serve_per_day",0.0966664608502115,1.33835108292679
"current_oil_fat_intake_serve_per_day",0.441479740229699,-6.11230496316824
"sports_drink_bot_per_day",0.217626884668244,3.01305307143756
"normal_training_days",1.36122248012106,18.8461806127075
"intensive_training_days",1.28580598868225,17.8020362207445
"number_athlete",0.068134413858161,-0.943323731619294
"number_male",0.168381954240098,2.33125500634351
"number_female",0.568647179844041,7.87294333788442
"RDI_Fe",0.865789127374437,-11.9868856893739
"chance_two_trainings_day",0.0320272989443092,0.443419256775681
"before_training_protein_g",0.0603385118810302,-0.835389151603465
"provided_chicken_serve_per_meal",0.311917085768695,4.31850474146109
"provided_pork_serve_per_meal",0.283574629844927,-3.92610228620667
"provided_beef_serve_per_meal",9.90607889872589,137.150065338707
"provided_fish_serve_per_meal",0.0148380809248818,0.205433834027943
"provided_prawn_serve_per_meal",0.494137309075366,-6.84135114598125
"provided_egg_intake_serve_per_day",0.615617866627005,8.52325440719319
"provided_dairy_intake_serve_per_day",0.293578859960669,4.06461125913781
"provided_sandwich_intake_serve_per_day",0.148234500199385,-2.05231268553808
"weight_athlete",0.00423617162573726,0.0586499684885981
