"","VIP","Coefficient"
"var_CV",0.166160291705464,99932.3138010425
"total_kcal_need_all_athletes",0.23386868252092,-140653.5721022
"total_protein_need_gram",0.121810395920066,-73259.3484542674
"total_carb_need_gram",9.87916137809435,5941536.60175839
"total_fat_need_gram",0.0869685331753751,-52304.7152776043
"chicken_raw_100g_kcal",0.127570526465316,76723.6127936873
"chicken_raw_100g_protein",0.0523308248546549,-31472.8648894807
"chicken_raw_100g_CHO",0.28634159573472,172211.891936106
"chicken_raw_100g_fat",0.106659383009895,-64147.2088389448
"chicken_raw_100g_Ca",0.186547737157725,112193.754700222
"chicken_raw_100g_Fe",0.287459110147574,-172883.988739959
"pork_raw_100g_kcal",0.257951382783306,-155137.417400589
"pork_raw_100g_protein",0.553366023402141,-332806.030429227
"pork_raw_100g_CHO",0.281065278930837,169038.603413636
"pork_raw_100g_fat",0.0662726022858773,-39857.7447118564
"pork_raw_100g_Ca",0.217691962541189,-130924.55056105
"pork_raw_100g_Fe",0.0433578780257868,26076.3448844967
"fish_raw_100g_kcal",0.430921927460436,-259165.561378888
"fish_raw_100g_protein",0.253948829268673,152730.197060974
"fish_raw_100g_CHO",0.237657039396654,-142931.97005282
"fish_raw_100g_fat",0.124136698967671,74658.4363095154
"fish_raw_100g_Ca",0.357109529851495,-214773.224289476
"fish_raw_100g_Fe",0.110748759773986,-66606.646517137
"fish_gram_per_serve",0.241511819845377,145250.316545126
"vegetable_mushroom_raw_100g_kcal",0.23449143404006,-141028.108037302
"vegetable_mushroom_raw_100g_protein",0.126311706268432,75966.5317026343
"vegetable_mushroom_raw_100g_CHO",0.00484045279998778,-2911.15069179677
"vegetable_mushroom_raw_100g_fat",0.0049511156723798,2977.70568382583
"vegetable_mushroom_raw_100g_Ca",0.281366926880364,-169220.020870479
"vegetable_mushroom_raw_100g_Fe",0.0204943841698767,12325.7561057585
"bean_nut_raw_100g_kcal",0.375385892332984,225765.015239622
"bean_nut_raw_100g_protein",0.405914115265677,-244125.334197811
"bean_nut_raw_100g_CHO",0.106326274906283,-63946.8705800373
"bean_nut_raw_100g_fat",0.251486720486567,151249.432764641
"bean_nut_raw_100g_Ca",0.585852904649351,352344.327924323
"bean_nut_raw_100g_Fe",0.00516400065024656,3105.73921213366
"egg_whole_100g_kcal",0.365923490017132,-220074.126352549
"egg_whole_100g_protein",0.199976114032979,120269.864569572
"egg_whole_100g_CHO",0.137468448024201,-82676.43216496
"egg_whole_100g_fat",0.0525144332869346,-31583.2908840596
"egg_whole_100g_Ca",0.059583773062549,-35834.9413450203
"egg_whole_100g_Fe",0.162563581515288,-97769.1762205359
"egg_whole_gram_per_serve",0.0160376674137754,9645.39238695534
"dairy_100g_kcal",0.112015896063191,67368.7290820016
"dairy_100g_protein",0.270188541853894,162497.103687388
"dairy_100g_CHO",0.145780753535266,87675.6285085383
"dairy_100g_fat",0.545019040895256,-327785.978606927
"dairy_100g_Ca",0.185341279465584,111468.165527013
"dairy_100g_Fe",0.029725773349005,-17877.7088063679
"dairy_ml_per_serve",0.131447824341639,-79055.5017432061
"fruit_100g_kcal",0.337817073609136,-203170.333060675
"fruit_100g_protein",0.212003488044775,127503.38168496
"fruit_100g_CHO",0.185252315040704,111414.660440251
"fruit_100g_fat",0.540453340515211,-325040.069831628
"fruit_100g_Ca",0.652970285798161,392710.140511823
"fruit_100g_Fe",0.187065738876853,112505.291890089
"rice_noodle_cooked_100g_kcal",0.282841488970563,170106.853699216
"rice_noodle_cooked_100g_protein",0.438776452200453,263889.438684477
"rice_noodle_cooked_100g_CHO",0.0716341950266764,43082.3199864153
"rice_noodle_cooked_100g_fat",0.0392700361638608,-23617.8303289304
"rice_noodle_cooked_100g_Ca",0.284907527730991,-171349.413107442
"rice_noodle_cooked_100g_Fe",0.0650083173285781,39097.3769983072
"rice_noodle_gram_per_serve",0.341454414551934,-205357.906835169
"sandwich_100g_kcal",0.171158160634785,-102938.137882447
"sandwich_100g_protein",0.198226375021099,119217.534520013
"sandwich_100g_CHO",0.240195013143133,144458.361143307
"sandwich_100g_fat",0.275152994149089,165482.830298251
"sandwich_100g_Ca",0.244666009540665,147147.312940488
"sandwich_100g_Fe",0.402616002601543,242141.779484946
"sandwich_gram_per_serve",0.756378989467042,-454902.322041665
"oil_fat_100g_kcal",0.378653136850719,227730.005196367
"oil_fat_100g_protein",0.135888656510733,-81726.3121354168
"oil_fat_100g_CHO",0.0797076852399403,-47937.8877588388
"oil_fat_100g_fat",0.0270700959567123,-16280.5282538003
"oil_fat_100g_Ca",0.201947856106097,-121455.71195563
"oil_fat_100g_Fe",0.324058815440511,-194895.825604345
"current_kcal_intake_yearly_all_athletes",0.619791845786038,372755.92494871
"current_chicken_intake_serve_per_meal",0.307274707080848,184801.507844952
"current_pork_intake_serve_per_meal",0.284892801293744,171340.55631661
"current_beef_intake_serve_per_meal",0.315120418965827,189520.084913124
"current_fish_intake_serve_per_meal",0.0799250537523607,-48068.617779656
"current_prawn_intake_serve_per_meal",0.286822127948688,-172500.894173073
"current_vegetable_mushroom_intake_serve_per_meal",0.7128489771737,428722.451967939
"current_bean_nut_intake_serve_per_day",0.0248321033472406,-14934.5521638535
"current_egg_intake_serve_per_day",0.876166068693608,526944.805042348
"current_dairy_intake_serve_per_day",0.111005969642115,66761.3379719416
"current_fruit_intake_serve_per_day",0.111602067802607,-67119.8440134215
"current_sandwich_intake_serve_per_day",0.0878636589128768,-52843.0628284738
"current_oil_fat_intake_serve_per_day",0.455522005677958,273960.568722287
"sports_drink_bot_per_day",0.0507779716852292,-30538.9461498033
"normal_training_days",0.189194798752021,-113785.753529646
"intensive_training_days",0.419470554730662,252278.46361721
"number_athlete",0.11646424058181,-70044.0575601064
"number_male",0.207283933751025,-124664.941911875
"number_female",0.227917885161559,137074.636708079
"RDI_Fe",0.385887815394085,-232081.093889247
"chance_two_trainings_day",0.67477720870675,-405825.285175863
"before_training_protein_g",0.488797121491366,-293972.927157032
"provided_chicken_serve_per_meal",0.113998362117897,-68561.0260974037
"provided_pork_serve_per_meal",0.132760839707167,79845.1769549358
"provided_beef_serve_per_meal",0.27629175407003,-166167.70460002
"provided_fish_serve_per_meal",0.278628797274047,-167573.251812494
"provided_prawn_serve_per_meal",0.275017125185847,165401.115830064
"provided_egg_intake_serve_per_day",0.0650689173782794,39133.8231499175
"provided_dairy_intake_serve_per_day",0.0305363079577226,-18365.181463244
"provided_sandwich_intake_serve_per_day",0.102972767451145,-61930.0002682363
"weight_athlete",0.202382985769357,-121717.408138314
