"","VIP","Coefficient"
"var_CV",0.352491409250824,7664.73143884956
"total_kcal_need_all_athletes",0.114169281170175,-2482.54810123105
"total_protein_need_gram",0.219136047974609,4764.99259901411
"total_carb_need_gram",0.0260620591485297,-566.705113584056
"total_fat_need_gram",0.0916276987917002,-1992.39381490413
"chicken_raw_100g_kcal",0.199568554134072,-4339.50822894728
"chicken_raw_100g_protein",0.156879242690114,-3411.25267735022
"chicken_raw_100g_CHO",0.201344675704289,-4378.12901368467
"chicken_raw_100g_fat",0.606641746106697,-13191.0904534809
"chicken_raw_100g_Ca",0.860815837333475,18717.9659938168
"chicken_raw_100g_Fe",0.234153864860583,-5091.54675099601
"pork_raw_100g_kcal",1.00138895304167,-21774.6509261266
"pork_raw_100g_protein",0.0183507356889638,-399.026634606955
"pork_raw_100g_CHO",0.183014984035334,-3979.55996969561
"pork_raw_100g_fat",0.222053783382962,4828.43714752716
"pork_raw_100g_Ca",0.290008465942834,-6306.07427048771
"pork_raw_100g_Fe",0.0962031593261988,-2091.88468272562
"fish_raw_100g_kcal",0.110718830277219,-2407.51994808073
"fish_raw_100g_protein",0.0532587675174755,-1158.08254916959
"fish_raw_100g_CHO",0.442294103131937,-9617.44152771915
"fish_raw_100g_fat",0.264054206127318,-5741.71319399264
"fish_raw_100g_Ca",3.61933563633508,78700.4588240221
"fish_raw_100g_Fe",0.738162858870529,-16050.9445702549
"fish_gram_per_serve",0.945089587750913,20550.4522540271
"vegetable_mushroom_raw_100g_kcal",0.561749618119654,-12214.9358701098
"vegetable_mushroom_raw_100g_protein",0.398994582473827,8675.91731304199
"vegetable_mushroom_raw_100g_CHO",0.14351909014733,-3120.7435229849
"vegetable_mushroom_raw_100g_fat",0.0126850169128985,275.828702155539
"vegetable_mushroom_raw_100g_Ca",5.93001519031888,128944.912327637
"vegetable_mushroom_raw_100g_Fe",0.345739358442663,-7517.91181502946
"bean_nut_raw_100g_kcal",0.168296297179109,-3659.51023536233
"bean_nut_raw_100g_protein",0.228922424746039,4977.79196871174
"bean_nut_raw_100g_CHO",0.00310125999789135,67.4351895735706
"bean_nut_raw_100g_fat",0.0662816860729606,1441.25873632817
"bean_nut_raw_100g_Ca",0.103890143520623,-2259.0339177954
"bean_nut_raw_100g_Fe",0.393894265765923,-8565.01373697401
"egg_whole_100g_kcal",0.013486850098279,-293.264122887523
"egg_whole_100g_protein",0.24266023782002,5276.51314320215
"egg_whole_100g_CHO",0.189056178207868,4110.92240772163
"egg_whole_100g_fat",0.206269034597692,4485.20648404534
"egg_whole_100g_Ca",0.0754271047548857,-1640.1208255966
"egg_whole_100g_Fe",0.693017111262049,-15069.2751679834
"egg_whole_gram_per_serve",0.206767871206767,4496.05341120465
"dairy_100g_kcal",0.22873816026884,-4973.78523920179
"dairy_100g_protein",0.273857612552011,5954.88286411556
"dairy_100g_CHO",0.39211874106681,-8526.40593086981
"dairy_100g_fat",0.0249791939043409,543.158805607895
"dairy_100g_Ca",1.87226838122243,40711.44415695
"dairy_100g_Fe",0.270888420460896,5890.31941839324
"dairy_ml_per_serve",5.01312143821067,109007.562981151
"fruit_100g_kcal",0.234559804448639,-5100.3736836281
"fruit_100g_protein",0.458682746837621,9973.80355344353
"fruit_100g_CHO",0.279860812550941,-6085.41913977487
"fruit_100g_fat",0.0945015191382874,-2054.88345460034
"fruit_100g_Ca",1.46083660121242,31765.0868375277
"fruit_100g_Fe",0.49222491695743,10703.1595578663
"rice_noodle_cooked_100g_kcal",0.181997887531843,3957.44376674128
"rice_noodle_cooked_100g_protein",0.320225931236655,-6963.13640068869
"rice_noodle_cooked_100g_CHO",0.156676454509344,-3406.84316011439
"rice_noodle_cooked_100g_fat",0.255206980497646,-5549.33514831354
"rice_noodle_cooked_100g_Ca",0.0699812217098887,-1521.70309996748
"rice_noodle_cooked_100g_Fe",0.251801300666226,5475.28051722333
"rice_noodle_gram_per_serve",0.403438270987557,8772.54287089041
"sandwich_100g_kcal",0.0289895522349049,630.36183742832
"sandwich_100g_protein",0.119304781222717,2594.21671973893
"sandwich_100g_CHO",0.328635185768931,7145.99100621741
"sandwich_100g_fat",0.150376852355716,3269.86178294614
"sandwich_100g_Ca",0.416943390945078,9066.20426179878
"sandwich_100g_Fe",0.506179640671765,11006.5973346934
"sandwich_gram_per_serve",0.805892723336496,17523.693147659
"oil_fat_100g_kcal",0.185141008192137,-4025.78919334971
"oil_fat_100g_protein",0.0437019368066963,950.274532059729
"oil_fat_100g_CHO",0.0963906826625954,2095.9622743329
"oil_fat_100g_fat",0.0428987171626751,932.808963548669
"oil_fat_100g_Ca",0.474363806394498,10314.7795517963
"oil_fat_100g_Fe",0.171790953455871,3735.49961022228
"current_kcal_intake_yearly_all_athletes",1.0522847754219,22881.3525354877
"current_chicken_intake_serve_per_meal",0.796961957664412,-17329.4985697959
"current_pork_intake_serve_per_meal",0.134051723472859,2914.88085204161
"current_beef_intake_serve_per_meal",0.179275308852813,3898.24279375799
"current_fish_intake_serve_per_meal",0.528849838225078,11499.5482871184
"current_prawn_intake_serve_per_meal",0.326397313583389,7097.32970881698
"current_vegetable_mushroom_intake_serve_per_meal",1.30517212685935,28380.2486282171
"current_bean_nut_intake_serve_per_day",0.150000174658904,-3261.67113401315
"current_egg_intake_serve_per_day",0.347656888121136,7559.60744115196
"current_dairy_intake_serve_per_day",2.82733290136413,61478.795818706
"current_fruit_intake_serve_per_day",0.173397181111512,3770.42614541445
"current_sandwich_intake_serve_per_day",0.689786146802953,14999.0196263801
"current_oil_fat_intake_serve_per_day",0.260887816179753,-5672.86178955602
"sports_drink_bot_per_day",0.378680863055081,-8234.20667901619
"normal_training_days",1.48910484879219,32379.7643027356
"intensive_training_days",0.665625696223357,14473.6639431656
"number_athlete",1.54921722381665,-33686.874770174
"number_male",0.0318037824799897,691.555723207005
"number_female",0.466409128639877,-10141.8094677839
"RDI_Fe",0.0905718879159198,1969.43578925955
"chance_two_trainings_day",0.0537522383044182,1168.81279948369
"before_training_protein_g",0.0799645256360265,-1738.78454211919
"provided_chicken_serve_per_meal",0.057593658202291,1252.34235818592
"provided_pork_serve_per_meal",0.614179305470113,13354.9905279473
"provided_beef_serve_per_meal",0.231503226505875,5033.91008071934
"provided_fish_serve_per_meal",0.33253273969986,-7230.74116853341
"provided_prawn_serve_per_meal",0.06742978124493,1466.22343313621
"provided_egg_intake_serve_per_day",0.135404444694757,-2944.29502953751
"provided_dairy_intake_serve_per_day",0.572349738600081,-12445.4296483117
"provided_sandwich_intake_serve_per_day",0.0141814698578798,308.368246760426
"weight_athlete",0.457240146593592,-9942.43500614303
