"","VIP","Coefficient"
"var_CV",0.454497195352254,-14666.2012468154
"total_kcal_need_male",0.0522933710596637,-1687.45838627455
"total_kcal_need_female",0.199316284125499,-6431.75087689246
"protein_need_gram_male",0.430376459721101,13887.8475702575
"protein_need_gram_female",0.277670717870776,8960.17548685699
"total_protein_need_gram",0.221333196935466,7142.21615018044
"carb_need_gram_male",0.193711329407048,-6250.88420770129
"carb_need_gram_female",0.385861109094535,-12451.3786601341
"total_carb_need_gram",0.55539574663568,-17922.1035356909
"fat_need_gram_male",0.609287150069806,19661.1289385333
"fat_need_gram_female",0.254029479963926,-8197.29475533349
"total_fat_need_gram",0.420403542380973,13566.0308148982
"chicken_raw_100g_kcal",0.248772458235011,8027.6555597046
"chicken_raw_100g_protein",0.161915224001286,5224.85349614884
"chicken_raw_100g_CHO",0.0229213271303083,739.649881176158
"chicken_raw_100g_fat",0.0851993759180414,2749.30451957712
"chicken_raw_100g_Ca",0.0560129702621089,1807.4863886878
"chicken_raw_100g_Fe",0.292435772681055,-9436.63005573498
"pork_raw_100g_kcal",0.0191722441581495,618.670464970798
"pork_raw_100g_protein",0.15626755264535,-5042.60840084558
"pork_raw_100g_CHO",0.0577245084292265,1862.71613148324
"pork_raw_100g_fat",0.336044275011285,-10843.8358158314
"pork_raw_100g_Ca",0.0314132236659317,1013.67547436395
"pork_raw_100g_Fe",0.454491851242458,14666.028797369
"fish_raw_100g_kcal",0.0383969191166939,-1239.03282304454
"fish_raw_100g_protein",0.535568964979349,-17282.311755187
"fish_raw_100g_CHO",0.528988573780486,17069.9686591411
"fish_raw_100g_fat",0.313427866962523,-10114.0253894631
"fish_raw_100g_Ca",2.16564424962869,69883.3231950888
"fish_raw_100g_Fe",0.167686928803796,5411.1010352678
"fish_gram_per_serve",0.164645915912854,-5312.97038119819
"vegetable_mushroom_raw_100g_kcal",0.625812547442322,-20194.3881225885
"vegetable_mushroom_raw_100g_protein",0.211146938652401,-6813.51508126475
"vegetable_mushroom_raw_100g_CHO",0.479876421339036,15485.1652351896
"vegetable_mushroom_raw_100g_fat",0.256972376405247,-8292.25928294405
"vegetable_mushroom_raw_100g_Ca",4.35294475984613,140465.473752142
"vegetable_mushroom_raw_100g_Fe",0.0683464332529541,2205.47575395482
"bean_nut_raw_100g_kcal",0.0515547648003379,-1663.6242501078
"bean_nut_raw_100g_protein",0.986854650056072,31844.8805561066
"bean_nut_raw_100g_CHO",0.150889082668847,-4869.0501833648
"bean_nut_raw_100g_fat",0.589919809417342,19036.1628913732
"bean_nut_raw_100g_Ca",0.261940820900222,8452.58635996915
"bean_nut_raw_100g_Fe",0.442976003503015,14294.4231148665
"egg_whole_100g_kcal",0.460565764355771,14862.0283172483
"egg_whole_100g_protein",0.0403858412386145,-1303.21348774968
"egg_whole_100g_CHO",0.35058253597846,-11312.9719585926
