"","VIP","Coefficient"
"var_CV",0.191861236011182,-245590.729203103
"total_kcal_need_male",0.159685500720663,204404.38819473
"total_kcal_need_female",0.297236844847861,380476.092981915
"protein_need_gram_male",0.584807181124572,-748578.634441946
"protein_need_gram_female",0.424036937947954,542785.728710825
"total_protein_need_gram",0.215676183649719,276074.89827278
"carb_need_gram_male",0.577035700390646,738630.80099673
"carb_need_gram_female",0.0936376833055867,-119860.308429202
"total_carb_need_gram",0.0881457539760328,112830.399955672
"fat_need_gram_male",0.278475419376943,-356460.652145164
"fat_need_gram_female",0.716676563556818,-917377.18106035
"total_fat_need_gram",0.257269628235818,329316.316906055
"chicken_raw_100g_kcal",0.136128942728434,-174250.969113818
"chicken_raw_100g_protein",0.330458573233073,423001.350658439
"chicken_raw_100g_CHO",0.0295442407129527,-37817.9134633698
"chicken_raw_100g_fat",0.0238074712074237,30474.5989125823
"chicken_raw_100g_Ca",0.507552679059237,-649689.510766425
"chicken_raw_100g_Fe",0.042861624761622,-54864.7444313505
"pork_raw_100g_kcal",0.319297031400812,-408714.091519463
"pork_raw_100g_protein",0.706729312285025,904644.26666766
"pork_raw_100g_CHO",0.032177654836217,41188.7981103786
"pork_raw_100g_fat",0.257784061909099,-329974.814388789
"pork_raw_100g_Ca",0.128051908729294,-163912.014195736
"pork_raw_100g_Fe",0.109385028639471,140017.595560076
"fish_raw_100g_kcal",0.290421473195648,371752.120757742
"fish_raw_100g_protein",0.504633705286138,645953.097344078
"fish_raw_100g_CHO",0.130838552353758,167479.039270679
"fish_raw_100g_fat",0.00276454568351285,-3538.73874913243
"fish_raw_100g_Ca",0.380014251285988,-486434.774533912
"fish_raw_100g_Fe",0.158191130636525,-202491.529473015
"fish_gram_per_serve",0.0310923720662698,39799.5889485687
"vegetable_mushroom_raw_100g_kcal",0.769829847203255,-985415.696612846
"vegetable_mushroom_raw_100g_protein",2.10908595698157,2699721.78276252
"vegetable_mushroom_raw_100g_CHO",0.275991604457126,-353281.260987027
"vegetable_mushroom_raw_100g_fat",0.226544558403667,289986.890796998
"vegetable_mushroom_raw_100g_Ca",0.163114288972088,208793.386329306
"vegetable_mushroom_raw_100g_Fe",0.0414774104877,53092.8899391485
"bean_nut_raw_100g_kcal",0.632825728146677,-810044.46372361
"bean_nut_raw_100g_protein",0.232279345655917,297327.667977347
"bean_nut_raw_100g_CHO",0.117411117651492,-150291.338678235
"bean_nut_raw_100g_fat",0.613045905008302,-784725.429566138
"bean_nut_raw_100g_Ca",0.31933463165291,408762.221477984
"bean_nut_raw_100g_Fe",0.600524581234115,768697.590382868
"egg_whole_100g_kcal",0.119373598911368,-152803.400070523
"egg_whole_100g_protein",0.23419426195635,-299778.844152189
"egg_whole_100g_CHO",0.0596625695679313,76370.6847247931
"egg_whole_100g_fat",0.476509417907518,609952.785925099
"egg_whole_100g_Ca",0.318137275498266,-407229.5535079
"egg_whole_100g_Fe",0.172216809257765,220445.008308927
"egg_whole_gram_per_serve",0.469607228080044,601117.682659483
"dairy_100g_kcal",0.817838492496243,1046868.85125046
"dairy_100g_protein",1.25843199276352,1610847.70003928
"dairy_100g_CHO",0.422093710989548,-540298.313662095
"dairy_100g_fat",0.152727514952154,-195497.863697132
"dairy_100g_Ca",0.163203215341823,-208907.215951394
"dairy_100g_Fe",0.0146443594456008,-18745.4172074021
"dairy_ml_per_serve",1.13940488411183,1458487.82257555
"fruit_100g_kcal",0.47145319237079,-603480.597262102
"fruit_100g_protein",0.454742131842502,582089.712755028
"fruit_100g_CHO",0.265647214364888,-340039.991626257
"fruit_100g_fat",0.240759649850478,-308182.826290228
"fruit_100g_Ca",0.144442181962369,184892.277008775
"fruit_100g_Fe",0.000229486146987936,293.75225216152
"rice_noodle_cooked_100g_kcal",6.11195340344036,-7823566.26285271
"rice_noodle_cooked_100g_protein",3.9100428121231,5005024.90971494
"rice_noodle_cooked_100g_CHO",0.60971025117005,-780455.647532327
"rice_noodle_cooked_100g_fat",0.0575394913963156,-73653.052298554
"rice_noodle_cooked_100g_Ca",0.385203853404388,-493077.691024127
"rice_noodle_cooked_100g_Fe",0.0609476434036656,-78015.6351429142
"rice_noodle_gram_per_serve",0.27602075987228,-353318.581186858
"sandwich_100g_kcal",0.160987062760616,206070.444231585
"sandwich_100g_protein",1.07894804686642,1381100.44066819
"sandwich_100g_CHO",0.162698276399609,208260.872137502
"sandwich_100g_fat",0.808683319050107,1035149.83093472
"sandwich_100g_Ca",0.139380999883412,-178413.743756084
"sandwich_100g_Fe",0.523046914477237,669522.806193175
"sandwich_gram_per_serve",0.391032149004188,500538.162957512
"oil_fat_100g_kcal",0.35267003381819,-451432.98653848
"oil_fat_100g_protein",0.141480779093961,181101.552498515
"oil_fat_100g_CHO",0.19419941562485,-248583.700833366
"oil_fat_100g_fat",0.183737089372327,-235191.468056505
"oil_fat_100g_Ca",0.000170701588143218,218.505459361147
"oil_fat_100g_Fe",0.334126863987587,427696.922416756
"current_kcal_intake_yearly_male",4.312115431395,5519695.35494147
"current_kcal_intake_yearly_female",2.45588701608927,3143642.22633614
"current_chicken_intake_serve_per_meal",0.274389852182827,351230.948390141
"current_pork_intake_serve_per_meal",1.09643122657671,1403479.67132002
"current_beef_intake_serve_per_meal",0.0421009855848512,53891.0931927402
"current_fish_intake_serve_per_meal",0.672670005084613,861046.871668005
"current_prawn_intake_serve_per_meal",0.0695270067044984,88997.5934214852
"current_vegetable_mushroom_intake_serve_per_meal",0.258798792580401,-331273.713794896
"current_bean_nut_intake_serve_per_day",0.251079229922736,321392.337746039
"current_egg_intake_serve_per_day",0.10864240112325,139067.000030584
"current_dairy_intake_serve_per_day",0.576010457009637,737318.444864832
"current_fruit_intake_serve_per_day",0.335048517651412,428876.679203887
"current_sandwich_intake_serve_per_day",0.645048244833509,825689.816835175
"current_oil_fat_intake_serve_per_day",1.29778200217059,-1661217.42404058
"sports_drink_bot_per_day",0.193855737893387,-248143.77838506
"normal_training_days",0.684972297976818,876794.341793188
"intensive_training_days",0.4165441780183,533194.670021094
"number_athlete",3.65931310716883,4684079.97913496
"number_male",0.318537033134553,-407741.260674191
"number_female",0.0689746401354237,88290.5401818273
"RDI_Fe",0.1391785924988,-178154.653497853
"chance_two_trainings_day",0.483114747983298,-618407.895793376
"before_training_protein_g",0.0930582806401448,-119118.647809963
"provided_chicken_serve_per_meal",0.0748363287596274,-95793.7566392456
"provided_pork_serve_per_meal",0.211281330942173,-270449.2956048
"provided_beef_serve_per_meal",0.0513307968959223,65705.6532227865
"provided_fish_serve_per_meal",0.101904324660215,-130441.969011361
"provided_prawn_serve_per_meal",0.420049685860347,537681.872569426
"provided_egg_intake_serve_per_day",0.464843106797838,-595019.400150551
"provided_dairy_intake_serve_per_day",0.444372735931092,-568816.434857817
"provided_sandwich_intake_serve_per_day",0.17915384146745,-229324.711339626
"weight_athlete",0.292866331589615,374881.645867951
