"","VIP","Coefficient"
"var_CV",0.812670155677714,-9.98969694225485
"total_kcal_need_all_athletes",0.0149280122719774,0.183501655013963
"total_protein_need_gram",0.0150292484959947,-0.184746094951182
"total_carb_need_gram",0.645513810708194,-7.93493805077326
"total_fat_need_gram",0.303389203903115,3.72939276946454
"chicken_raw_100g_kcal",0.218488483924331,-2.68575599156415
"chicken_raw_100g_protein",0.303173910689221,3.72674629112951
"chicken_raw_100g_CHO",0.284287000259127,3.4945801286908
"chicken_raw_100g_fat",0.0330618871355112,0.406411174958629
"chicken_raw_100g_Ca",0.631307873892744,-7.76031246304164
"chicken_raw_100g_Fe",0.380771892975954,-4.68061462376007
"pork_raw_100g_kcal",0.127095752398605,1.56231656870815
"pork_raw_100g_protein",0.345835063809446,4.25115584142581
"pork_raw_100g_CHO",0.507050280411512,-6.23288378490069
"pork_raw_100g_fat",0.235831794806187,2.89894755332462
"pork_raw_100g_Ca",0.295834986927654,3.63653303086867
"pork_raw_100g_Fe",0.527347719067427,-6.48238877712907
"fish_raw_100g_kcal",0.215527853764747,2.64936263092981
"fish_raw_100g_protein",0.664956569079181,8.17393693917919
"fish_raw_100g_CHO",0.0803491714335688,-0.987687152745586
"fish_raw_100g_fat",0.263470885958092,3.23869934861065
"fish_raw_100g_Ca",0.410183179197597,5.04215101584169
"fish_raw_100g_Fe",0.268184960672191,-3.29664681650767
"fish_gram_per_serve",0.172810751553702,-2.12426532994206
"vegetable_mushroom_raw_100g_kcal",0.0467157484856487,0.574250409642586
"vegetable_mushroom_raw_100g_protein",0.837890986708146,10.2997224265988
"vegetable_mushroom_raw_100g_CHO",0.674692797970764,8.29361892246333
"vegetable_mushroom_raw_100g_fat",0.443423934277067,-5.45076091378818
"vegetable_mushroom_raw_100g_Ca",0.556851746866357,6.8450651892355
"vegetable_mushroom_raw_100g_Fe",0.271051300192289,3.33188111536722
"bean_nut_raw_100g_kcal",0.770890616679192,-9.47612457828106
"bean_nut_raw_100g_protein",0.324913379132278,3.99397734411526
"bean_nut_raw_100g_CHO",1.37354217921376,16.8841811304208
"bean_nut_raw_100g_fat",0.70701345503773,8.69091857327219
"bean_nut_raw_100g_Ca",0.188906392351051,-2.32211998540534
"bean_nut_raw_100g_Fe",0.0773072328568924,0.950294313491374
"egg_whole_100g_kcal",0.0636858069224028,-0.782853789120888
"egg_whole_100g_protein",0.548170418569548,6.73835050538075
"egg_whole_100g_CHO",0.117266948696851,-1.4414966153735
"egg_whole_100g_fat",0.483854330855876,-5.94774902914558
"egg_whole_100g_Ca",0.208747798167886,2.5660192225481
"egg_whole_100g_Fe",0.70567041014665,8.67440927814428
"egg_whole_gram_per_serve",0.0612520246704759,-0.752936673363249
"dairy_100g_kcal",1.22324812227782,-15.0367008574926
"dairy_100g_protein",0.648548517069303,-7.972241988471
"dairy_100g_CHO",0.611351772583492,7.51500333874863
"dairy_100g_fat",0.0950426928269854,-1.16830634333511
"dairy_100g_Ca",0.733802034703236,-9.02021550943037
"dairy_100g_Fe",1.07756286319081,-13.2458739431962
"dairy_ml_per_serve",0.00999309637063751,-0.122839510667357
"fruit_100g_kcal",0.270456027595031,3.32456376428315
"fruit_100g_protein",0.321813847215791,-3.95587654234196
"fruit_100g_CHO",0.4547732839842,5.59027208357067
"fruit_100g_fat",0.483764456443441,-5.94664425356497
"fruit_100g_Ca",0.0305142562779728,0.375094582353696
"fruit_100g_Fe",0.073412993141809,0.902424615924182
"rice_noodle_cooked_100g_kcal",0.673684555497346,8.28122516506571
"rice_noodle_cooked_100g_protein",0.293315510275967,3.60556252207417
"rice_noodle_cooked_100g_CHO",0.241813827395747,2.97248131391726
"rice_noodle_cooked_100g_fat",0.480042420269549,5.9008913572324
"rice_noodle_cooked_100g_Ca",0.209048609253597,-2.5697169239613
"rice_noodle_cooked_100g_Fe",0.90191734704297,-11.0867624471925
"rice_noodle_gram_per_serve",0.462018249278509,-5.67933036526301
"sandwich_100g_kcal",0.26014756155945,-3.19784759178005
"sandwich_100g_protein",1.28526404361335,-15.7990276827222
"sandwich_100g_CHO",0.0278035249834247,0.341773087851614
"sandwich_100g_fat",0.107115647181846,-1.31671237788692
"sandwich_100g_Ca",0.1724706104753,-2.1200841670593
"sandwich_100g_Fe",1.04333626103154,-12.8251455818242
"sandwich_gram_per_serve",0.0338192661846401,-0.41572120943984
"oil_fat_100g_kcal",0.877064640619867,10.7812621115064
"oil_fat_100g_protein",0.320398020972722,3.9384725870074
"oil_fat_100g_CHO",0.454730619183982,-5.58974762918866
"oil_fat_100g_fat",0.230658190712195,-2.83535134933323
"oil_fat_100g_Ca",0.382731305470074,4.70470057900818
"oil_fat_100g_Fe",0.693198915274832,8.52110420927233
"current_kcal_intake_yearly_all_athletes",0.0443134832265423,-0.544720714543388
"current_chicken_intake_serve_per_meal",0.0192147343566177,-0.236195917504156
"current_pork_intake_serve_per_meal",0.382171922709186,4.69782440148775
"current_beef_intake_serve_per_meal",0.183737403050605,2.25858050847432
"current_fish_intake_serve_per_meal",0.677501732159808,-8.32814756988965
"current_prawn_intake_serve_per_meal",0.509127910758162,6.25842292568993
"current_vegetable_mushroom_intake_serve_per_meal",0.624267862919776,-7.67377356949578
"current_bean_nut_intake_serve_per_day",0.676931021174068,-8.32113214087541
"current_egg_intake_serve_per_day",0.228237625154366,2.80559669895923
"current_dairy_intake_serve_per_day",0.703019148107686,-8.64181880573832
"current_fruit_intake_serve_per_day",0.168950138410214,-2.07680898489814
"current_sandwich_intake_serve_per_day",0.511978153214367,-6.29345935240071
