"","VIP","Coefficient"
"var_CV",0.421318898059523,59484.3834445537
"total_kcal_need_all_athletes",0.481953430699881,68045.1382698709
"total_protein_need_gram",0.271305101438278,38304.5165045934
"total_carb_need_gram",0.0725442444821033,-10242.2409138154
"total_fat_need_gram",9.8611411129921,1392256.32144135
"chicken_raw_100g_kcal",0.671161024564187,-94758.6256445951
"chicken_raw_100g_protein",0.283339413139468,40003.59436467
"chicken_raw_100g_CHO",0.293855337669989,41488.2970208493
"chicken_raw_100g_fat",0.335558970651666,47376.2714429285
"chicken_raw_100g_Ca",0.363676734940178,-51346.1096824302
"chicken_raw_100g_Fe",0.168127819008632,23737.3156050387
"pork_raw_100g_kcal",0.136775600266326,-19310.8172682814
"pork_raw_100g_protein",0.329132582267637,46468.9545564564
"pork_raw_100g_CHO",0.0363407697784686,5130.81253684299
"pork_raw_100g_fat",0.364337243027301,51439.3642610964
"pork_raw_100g_Ca",0.0247738053676245,-3497.71763064928
"pork_raw_100g_Fe",0.0232970974201326,3289.22695484813
"fish_raw_100g_kcal",0.31205295623526,44057.5483065141
"fish_raw_100g_protein",0.179170117919716,25296.3350213562
"fish_raw_100g_CHO",0.0321710542051608,4542.10654439941
"fish_raw_100g_fat",0.11229851523203,-15854.9924322939
"fish_raw_100g_Ca",0.0396616866644467,5599.67993002864
"fish_raw_100g_Fe",0.0304691844445298,-4301.82614425519
"fish_gram_per_serve",0.205180854997022,28968.690249446
"vegetable_mushroom_raw_100g_kcal",0.0245429982022164,3465.13086088385
"vegetable_mushroom_raw_100g_protein",0.3667167446895,51775.3168849475
"vegetable_mushroom_raw_100g_CHO",0.341741958788725,-48249.2235912225
"vegetable_mushroom_raw_100g_fat",0.0794768803080685,11221.0329159129
"vegetable_mushroom_raw_100g_Ca",0.24856570341353,-35094.028967404
"vegetable_mushroom_raw_100g_Fe",0.415339639226762,-58640.1950476878
"bean_nut_raw_100g_kcal",0.356311315573423,-50306.2146483837
"bean_nut_raw_100g_protein",0.0283038275744618,-3996.10779421994
