"","VIP","Coefficient"
"var_CV",0.513086797249573,-10276.8273014362
"total_kcal_need_male_yearly",0.159323794211554,3191.16205464408
"total_kcal_need_female_yearly",0.384927344292353,7709.8687046683
"protein_need_gram_male",0.057363369607761,-1148.95461362001
"protein_need_gram_female",0.305702264341558,6123.03686849311
"total_protein_need_gram",0.253546762301719,-5078.39278457525
"carb_need_gram_male",0.15406939288489,3085.91948107558
"carb_need_gram_female",0.213883718971672,-4283.96531394594
"total_carb_need_gram",0.461892084272763,9251.42725834491
"fat_need_gram_male",0.23645557991544,-4736.06643608474
"fat_need_gram_female",0.151629709689392,-3037.05405907535
"total_fat_need_gram",0.186344686367727,-3732.37465981789
"chicken_raw_100g_kcal",0.177327485732087,3551.7654253343
"chicken_raw_100g_protein",0.190482069044573,3815.24400566312
"chicken_raw_100g_CHO",0.171900657373999,3443.06923956306
"chicken_raw_100g_fat",0.0802616657947184,-1607.59404202072
"chicken_raw_100g_Ca",0.289060886941393,5789.71984978149
"chicken_raw_100g_Fe",0.0962607128334357,-1928.04556072249
"pork_raw_100g_kcal",0.41607639670028,-8333.76593592749
"pork_raw_100g_protein",0.00950081408750521,-190.295727981576
"pork_raw_100g_CHO",0.709777859754155,-14216.4338006312
"pork_raw_100g_fat",0.267459506795598,5357.05688822992
"pork_raw_100g_Ca",0.616216013144781,-12342.4449457975
"pork_raw_100g_Fe",0.561034800168793,11237.1976483073
"fish_raw_100g_kcal",0.280384211402112,-5615.93113304626
"fish_raw_100g_protein",0.496217463765038,-9938.94445619397
"fish_raw_100g_CHO",0.147721886414339,2958.78265326733
"fish_raw_100g_fat",0.0891726122376807,1786.07506740974
"fish_raw_100g_Ca",0.29116875879417,-5831.93928540265
"fish_raw_100g_Fe",0.433543608966563,8683.62394213693
"fish_gram_per_serve",0.145827829248228,2920.84580028356
"vegetable_mushroom_raw_100g_kcal",0.166841658177292,-3341.74045593161
"vegetable_mushroom_raw_100g_protein",0.0253497097059693,-507.739801893731
