"","VIP","Coefficient"
"var_CV",0.449730741107154,-108761.947632926
"total_kcal_need_all_athletes",0.554290553860554,-134048.475414411
"total_protein_need_gram",0.277668991083282,-67150.8916493922
"total_carb_need_gram",0.343943801335498,83178.6540040144
"total_fat_need_gram",0.059304234747519,-14342.0128633893
"chicken_raw_100g_kcal",0.0306703384773339,7417.25090694016
"chicken_raw_100g_protein",0.0449451681902516,10869.446053492
"chicken_raw_100g_CHO",0.506085965844433,-122390.77804516
"chicken_raw_100g_fat",0.243068050749864,58783.0721596042
"chicken_raw_100g_Ca",0.25582770956944,-61868.8415266977
"chicken_raw_100g_Fe",0.111918844466817,-27066.2207148015
"pork_raw_100g_kcal",0.43707338070833,-105700.917903273
"pork_raw_100g_protein",0.923935393009693,-223442.614981893
"pork_raw_100g_CHO",0.0133344051077041,-3224.76481476455
"pork_raw_100g_fat",0.363515617493434,87911.8613422771
"pork_raw_100g_Ca",0.131665482544469,31841.706622749
"pork_raw_100g_Fe",0.424891102996536,102754.781183159
"fish_raw_100g_kcal",0.12878732860535,-31145.6598565543
"fish_raw_100g_protein",0.618058963005685,149470.094935024
"fish_raw_100g_CHO",0.133315842834048,-32240.8263247929
"fish_raw_100g_fat",0.0165838149643526,-4010.59534037345
"fish_raw_100g_Ca",0.0173090635392243,4185.98794824113
"fish_raw_100g_Fe",0.401627463563462,-97128.7509777465
"fish_gram_per_serve",0.868220794012395,209968.712167031
"vegetable_mushroom_raw_100g_kcal",0.0515902203696147,-12476.471660349
"vegetable_mushroom_raw_100g_protein",4.51283563595199,1091374.78995786
"vegetable_mushroom_raw_100g_CHO",0.029222854681405,7067.19443442783
"vegetable_mushroom_raw_100g_fat",0.419377872953225,101421.473089114
"vegetable_mushroom_raw_100g_Ca",0.492183956459531,119028.744991803
"vegetable_mushroom_raw_100g_Fe",0.159322818440109,38530.2992480665
"bean_nut_raw_100g_kcal",0.434578250943107,-105097.500907151
"bean_nut_raw_100g_protein",0.92925501465774,224729.101224055
"bean_nut_raw_100g_CHO",0.731201674699435,176832.293156094
"bean_nut_raw_100g_fat",0.375542410931849,90820.396068902
"bean_nut_raw_100g_Ca",0.215865822347821,-52204.5417845659
"bean_nut_raw_100g_Fe",0.416196036335669,100651.984335192
"egg_whole_100g_kcal",0.394341301415124,95366.6806685842
"egg_whole_100g_protein",1.00483544624298,243007.31569948
"egg_whole_100g_CHO",0.255691029844587,61835.7871861376
"egg_whole_100g_fat",0.452385798670545,-109404.041235336
"egg_whole_100g_Ca",0.443438101709514,107240.148800687
"egg_whole_100g_Fe",0.480671908694926,116244.695288998
"egg_whole_gram_per_serve",0.505516004559491,122252.939792714
"dairy_100g_kcal",0.589614815238109,-142591.22136204
"dairy_100g_protein",1.55644032406683,376406.292803536
"dairy_100g_CHO",0.154581201879278,37383.5965547728
"dairy_100g_fat",0.440034149002286,-106416.943953322
"dairy_100g_Ca",0.617652910200067,-149371.895968522
"dairy_100g_Fe",0.535580889577634,-129523.76909356
"dairy_ml_per_serve",1.78665814919633,432081.693109194
"fruit_100g_kcal",0.0143806957410548,3477.7975667467
"fruit_100g_protein",0.229211755636713,55432.0945507068
"fruit_100g_CHO",0.0251630719009582,6085.38500534366
"fruit_100g_fat",0.25114819515895,60737.1574883589
"fruit_100g_Ca",0.251371437945593,-60791.1460598552
"fruit_100g_Fe",0.612231193277557,148060.719217395
"rice_noodle_cooked_100g_kcal",0.62163255882694,150334.32592047
"rice_noodle_cooked_100g_protein",0.215863303081617,52203.9325304636
"rice_noodle_cooked_100g_CHO",0.720014258596983,174126.751699695
"rice_noodle_cooked_100g_fat",0.0846732797489295,-20477.209975217
"rice_noodle_cooked_100g_Ca",0.21828827019685,-52790.3815371498
"rice_noodle_cooked_100g_Fe",0.79087269718197,-191263.009202926
"rice_noodle_gram_per_serve",0.166392263607999,-40239.9591731384
"sandwich_100g_kcal",0.311456570084545,75322.0095252395
"sandwich_100g_protein",0.190065585811618,45965.0662082254
"sandwich_100g_CHO",0.114116555957027,27597.7106934988
"sandwich_100g_fat",0.20492654433852,49559.009528842
"sandwich_100g_Ca",0.514664075803406,-124465.290327444
"sandwich_100g_Fe",0.685803087010401,-165853.193073481
"sandwich_gram_per_serve",1.08926759876097,263426.211966365
"oil_fat_100g_kcal",0.665708730549789,160993.615674555
"oil_fat_100g_protein",0.0441058978090847,-10666.4786489921
"oil_fat_100g_CHO",0.100210428581804,-24234.6817539217
"oil_fat_100g_fat",0.253339188196277,-61267.0226903756
"oil_fat_100g_Ca",0.445906334170503,107837.061008661
"oil_fat_100g_Fe",0.453123944415139,109582.552867922
"current_kcal_intake_yearly_all_athletes",0.0949278490128495,-22957.1536911725
"current_chicken_intake_serve_per_meal",0.165211943378778,-39954.512982281
"current_pork_intake_serve_per_meal",0.078235107254644,-18920.2157213855
"current_beef_intake_serve_per_meal",0.303668238180091,73438.4955260524
"current_fish_intake_serve_per_meal",0.168501875585833,-40750.1433488837
"current_prawn_intake_serve_per_meal",0.18248973987416,44132.93937363
"current_vegetable_mushroom_intake_serve_per_meal",0.368688075849233,-89162.7579197314
"current_bean_nut_intake_serve_per_day",0.626099692272114,-151414.648187605
"current_egg_intake_serve_per_day",0.13545848290291,-32758.9979454209
"current_dairy_intake_serve_per_day",0.263398794448984,-63699.8169569434
"current_fruit_intake_serve_per_day",0.0524869852485151,-12693.3434146745
"current_sandwich_intake_serve_per_day",0.663852150145309,-160544.624128566
"current_oil_fat_intake_serve_per_day",0.49444533876091,119575.632987129
"sports_drink_bot_per_day",0.304464452406125,73631.0503194902
"normal_training_days",1.49056373074799,360474.834404361
"intensive_training_days",0.738608295589774,178623.49495704
"number_athlete",7.21536555571264,1744949.00835755
"number_male",0.0897053713878362,21694.16055762
"number_female",0.240910754696231,-58261.3561660827
"RDI_Fe",0.589979859654105,142679.502944835
"chance_two_trainings_day",0.910043049577648,220082.919522483
"before_training_protein_g",0.3121110137957,-75480.2788320388
"provided_chicken_serve_per_meal",0.810753207109068,196070.870400682
