"","VIP","Coefficient"
"var_CV",0.312797090023684,5415.36871181821
"total_kcal_need_all_athletes",0.216111516278647,3741.47836039766
"total_protein_need_gram",0.0414564556253132,717.724044936615
"total_carb_need_gram",7.81026599510033,135216.955175771
"total_fat_need_gram",0.271006553325826,4691.86081452116
"chicken_raw_100g_kcal",0.196703308469575,3405.46947580813
"chicken_raw_100g_protein",0.195717695003186,3388.40582496844
"chicken_raw_100g_CHO",0.265675307846192,4599.56244958674
"chicken_raw_100g_fat",0.458957080124839,-7945.79582433873
"chicken_raw_100g_Ca",0.247788990848547,4289.90163582604
"chicken_raw_100g_Fe",0.186908187174349,-3235.88927483306
"pork_raw_100g_kcal",0.110566126418075,-1914.20048551616
"pork_raw_100g_protein",0.0246678691083479,427.067932589971
"pork_raw_100g_CHO",0.00206420188331081,35.7369510467991
"pork_raw_100g_fat",0.184302219731247,-3190.77288786692
"pork_raw_100g_Ca",0.0988520637974825,-1711.39818898894
"pork_raw_100g_Fe",0.391697216243432,-6781.34457449832
"fish_raw_100g_kcal",0.296200374074099,-5128.0344010498
"fish_raw_100g_protein",0.347202953097143,6011.02781586232
"fish_raw_100g_CHO",0.251056762108166,-4346.47564754521
"fish_raw_100g_fat",0.271431797686972,4699.2229514517
"fish_raw_100g_Ca",0.440944201300367,-7633.94388099605
"fish_raw_100g_Fe",0.0840160333162599,1454.54613429268
"fish_gram_per_serve",0.0404465379724917,700.239622501009
"vegetable_mushroom_raw_100g_kcal",0.228335940019001,-3953.11639653959
"vegetable_mushroom_raw_100g_protein",0.115160761839849,-1993.74612612107
"vegetable_mushroom_raw_100g_CHO",1.61009877024754,-27875.1905993605
"vegetable_mushroom_raw_100g_fat",0.092848003717193,-1607.45157266903
"vegetable_mushroom_raw_100g_Ca",0.414540024952648,-7176.81574580802
"vegetable_mushroom_raw_100g_Fe",0.101870914327999,-1763.66270560377
"bean_nut_raw_100g_kcal",0.375861117630269,6507.17861937227
"bean_nut_raw_100g_protein",0.434472859136484,-7521.90734039043
"bean_nut_raw_100g_CHO",0.567282952166325,-9821.21141113165
"bean_nut_raw_100g_fat",0.00680709744273929,117.849378032631
"bean_nut_raw_100g_Ca",0.482143664168834,8347.21868206507
"bean_nut_raw_100g_Fe",0.170279725625949,-2948.00536137318
"egg_whole_100g_kcal",0.460084377722739,-7965.31241300044
"egg_whole_100g_protein",0.122600610650054,-2122.5501519654
"egg_whole_100g_CHO",0.326564901871526,-5653.72699547538
"egg_whole_100g_fat",0.16954509529087,2935.28691143161
"egg_whole_100g_Ca",0.232524786885313,-4025.63673314728
"egg_whole_100g_Fe",0.353046826064006,-6112.20115739881
"egg_whole_gram_per_serve",0.0696421803782927,1205.69563040005
"dairy_100g_kcal",0.0572883380460107,991.817006299325
"dairy_100g_protein",0.131120977468458,2270.06088449206
"dairy_100g_CHO",0.823945953817539,-14264.746319075
"dairy_100g_fat",0.0829917640903703,-1436.81324707835
"dairy_100g_Ca",0.521426762029455,9027.31599064807
"dairy_100g_Fe",0.443680684303367,7681.31984742128
"dairy_ml_per_serve",1.14901264993486,-19892.5352965062
"fruit_100g_kcal",0.278642888256601,-4824.06654972781
"fruit_100g_protein",0.0255761142110385,442.792126543951
"fruit_100g_CHO",0.191999374732337,-3324.03158397487
"fruit_100g_fat",0.509833441829648,-8826.60407395035
"fruit_100g_Ca",0.333641898837103,5776.24906861268
"fruit_100g_Fe",0.223286160387262,-3865.69097126717
"rice_noodle_cooked_100g_kcal",0.056778756985119,-982.99477162611
"rice_noodle_cooked_100g_protein",0.340840254270713,5900.87218703353
"rice_noodle_cooked_100g_CHO",0.194924726518348,-3374.67738292341
"rice_noodle_cooked_100g_fat",0.0476186441061204,824.408294117972
"rice_noodle_cooked_100g_Ca",0.240423895216108,-4162.3917908833
"rice_noodle_cooked_100g_Fe",0.612304651049646,10600.6595174653
"rice_noodle_gram_per_serve",2.1183342324518,-36674.1292980837
"sandwich_100g_kcal",0.349073047504296,-6043.40423835357
"sandwich_100g_protein",0.26425557819318,4574.98306637835
"sandwich_100g_CHO",0.128430754974677,2223.48581335074
"sandwich_100g_fat",0.191227991679291,3310.67684448553
"sandwich_100g_Ca",0.126332398447184,2187.15755248245
"sandwich_100g_Fe",0.649678994440108,11247.711092677
"sandwich_gram_per_serve",1.47554885189217,-25545.7654183774
"oil_fat_100g_kcal",0.149898505529901,2595.15098664591
"oil_fat_100g_protein",0.21597707345205,-3739.15078926641
"oil_fat_100g_CHO",0.00828362675833772,143.412117945488
"oil_fat_100g_fat",0.0868774213927758,1504.08454739224
"oil_fat_100g_Ca",0.430792968805641,-7458.19842622163
"oil_fat_100g_Fe",0.749577577005891,-12977.2273689977
"current_kcal_intake_yearly_all_athletes",0.677122248120312,11722.8284836956
"current_chicken_intake_serve_per_meal",0.569170838303546,9853.89585687955
"current_pork_intake_serve_per_meal",0.207510907634655,3592.57842354167
"current_beef_intake_serve_per_meal",0.336878549820179,5832.28430367033
"current_fish_intake_serve_per_meal",0.0943030213991621,-1632.64188767318
"current_prawn_intake_serve_per_meal",0.220324328522902,-3814.41360290448
"current_vegetable_mushroom_intake_serve_per_meal",0.842565808256018,14587.1066618042
"current_bean_nut_intake_serve_per_day",0.210877323158689,3650.86023587711
"current_egg_intake_serve_per_day",0.860098499099306,14890.6452446585
"current_dairy_intake_serve_per_day",0.213513739419262,3696.50377472127
"current_fruit_intake_serve_per_day",0.100972536033666,-1748.10933294887
"current_sandwich_intake_serve_per_day",0.144989574045748,2510.16402603919
"current_oil_fat_intake_serve_per_day",0.219042619306295,3792.22372898737
"sports_drink_bot_per_day",1.26193803564006,-21847.5809795452
"normal_training_days",0.891191465964095,-15428.9491013358
"intensive_training_days",0.10897665874469,1886.68247533824
"number_athlete",4.5050495236064,-77994.6649551068
"number_male",0.250267261681445,-4332.80724702234
"number_female",0.188183355207008,-3257.96590305825
"RDI_Fe",0.654455595295626,-11330.4070500462
"chance_two_trainings_day",0.968026196050892,-16759.1673372584
"before_training_protein_g",0.130135245653787,-2252.99518472162
"provided_chicken_serve_per_meal",0.221225289276287,-3830.01168495215
"provided_pork_serve_per_meal",0.178487999021757,3090.11290758579
"provided_beef_serve_per_meal",0.149694178198156,-2591.61352458315
"provided_fish_serve_per_meal",0.400750185627181,-6938.07610657904
"provided_prawn_serve_per_meal",0.182796002436098,3164.69616825059
"provided_egg_intake_serve_per_day",0.12672286939241,-2193.91766696909
"provided_dairy_intake_serve_per_day",0.437919949360487,-7581.58585128855
"provided_sandwich_intake_serve_per_day",1.0752828173064,-18616.0712836424
"weight_athlete",0.114835028172896,-1988.10679006374
