"","VIP","Coefficient"
"var_CV",0.485509859370094,-10189.5220850383
"total_kcal_need_all_athletes",0.622825536020141,-13071.4020156806
"total_protein_need_gram",0.611782411325001,-12839.6370766226
"total_carb_need_gram",0.12316897118506,-2584.979332263
"total_fat_need_gram",0.533358781624281,-11193.7398998668
"chicken_raw_100g_kcal",0.190010882798778,3987.80796993024
"chicken_raw_100g_protein",0.167213238540876,-3509.34786212909
"chicken_raw_100g_CHO",0.390746564765655,-8200.70009803334
"chicken_raw_100g_fat",0.808772882841568,16973.9274959034
"chicken_raw_100g_Ca",0.375192907324997,-7874.27143147584
"chicken_raw_100g_Fe",0.0883297127235843,1853.7987255908
"pork_raw_100g_kcal",0.158692627440498,-3330.52357399214
"pork_raw_100g_protein",0.717233671564472,-15052.7701868323
"pork_raw_100g_CHO",0.198753235864346,-4171.2860145417
"pork_raw_100g_fat",0.214273580889383,4497.01554474156
"pork_raw_100g_Ca",0.0463550598290403,972.86573437271
"pork_raw_100g_Fe",0.475930852253302,9988.48496357607
"fish_raw_100g_kcal",0.224727839296069,-4716.4217933723
"fish_raw_100g_protein",0.0546484434889328,-1146.92114093399
"fish_raw_100g_CHO",0.274169546852519,-5754.06780888694
"fish_raw_100g_fat",0.101451679114167,-2129.19285766764
"fish_raw_100g_Ca",0.36571156637631,7675.28405536413
"fish_raw_100g_Fe",0.188036576421808,-3946.37268691278
"fish_gram_per_serve",0.0201137840767287,422.133233976799
"vegetable_mushroom_raw_100g_kcal",0.213894741594285,4489.06474561859
"vegetable_mushroom_raw_100g_protein",0.0934612969839362,-1961.49662326054
"vegetable_mushroom_raw_100g_CHO",0.0221279045351104,464.404105508089
"vegetable_mushroom_raw_100g_fat",0.420448448864121,8824.06128864074
"vegetable_mushroom_raw_100g_Ca",0.0688483550382142,-1444.93838928548
"vegetable_mushroom_raw_100g_Fe",0.206882989670251,4341.90727866735
"bean_nut_raw_100g_kcal",0.117310901369644,-2462.03449271367
"bean_nut_raw_100g_protein",0.140635071825228,2951.54494319293
"bean_nut_raw_100g_CHO",0.295537025115604,6202.51264983365
"bean_nut_raw_100g_fat",0.195576486725696,-4104.61475157518
"bean_nut_raw_100g_Ca",0.235136595098263,-4934.87306697122
"bean_nut_raw_100g_Fe",0.519257162230919,10897.7855346354
"egg_whole_100g_kcal",0.628028512041175,13180.5982308574
"egg_whole_100g_protein",0.0177926885911949,-373.419797462834
"egg_whole_100g_CHO",0.508399755716914,10669.9183114976
"egg_whole_100g_fat",0.362374805809054,-7605.25459079947
"egg_whole_100g_Ca",0.424062245966088,8899.90499123643
"egg_whole_100g_Fe",0.400348471385411,8402.21781733862
"egg_whole_gram_per_serve",0.0684401543953923,1436.37137589762
"dairy_100g_kcal",0.387067487833029,8123.48635060053
"dairy_100g_protein",0.232876924877592,-4887.44877851639
"dairy_100g_CHO",0.303201899037931,6363.37735855845
"dairy_100g_fat",0.210295552123699,-4413.52761719373
"dairy_100g_Ca",0.462062865258052,-9697.43390243705
"dairy_100g_Fe",0.467355570582896,-9808.51328992275
"dairy_ml_per_serve",0.285044452034117,5982.30228112682
"fruit_100g_kcal",0.0679593967439681,-1426.28158964056
"fruit_100g_protein",0.400886279973229,8413.50494648198
"fruit_100g_CHO",0.0674218707760233,-1415.00039191419
"fruit_100g_fat",0.549440512587991,11531.2513832236
"fruit_100g_Ca",0.00905735790580171,-190.089133376202
"fruit_100g_Fe",0.498210900011075,10456.0821385914
