"","VIP","Coefficient"
"var_CV",0.354987581411014,0.00883986723218591
"total_egg_serving_per_year_all_athletes",0.23180642249721,-0.00577242164443716
"total_dairy_serving_per_year_all_athletes",0.174053209252191,0.00433425658162334
"total_sandwich_serving_per_year_all_athletes",0.0965437369163917,0.00240412302043845
"total_vegetable_mushroom_serving_per_year_all_athletes",0.142171418995354,-0.00354033925112235
"total_bean_nut_serving_per_year_all_athletes",0.213084164963595,0.00530620175520578
"total_fruit_serving_per_year_all_athletes",0.319414996800581,-0.00795404208919918
"total_sports_drink_serving_per_year_all_athletes",0.00264825266609462,-6.59465378267808e-05
"total_chicken_serving_per_year_all_athletes",0.383555349164451,0.00955125908723765
"total_pork_serving_per_year_all_athletes",0.620715708870318,0.0154570039704931
"total_beef_serving_per_year_all_athletes",0.533217477258993,-0.0132781312690291
"total_fish_serving_per_year_all_athletes",0.304575286467668,-0.00758450502374572
"total_prawn_serving_per_year_all_athletes",0.0442516083125866,0.00110194937169096
"total_rice_noodle_serving_per_year_all_athletes",0.110095299172575,-0.00274158274412007
"total_fat_oil_serving_per_year_all_athletes",0.0912462509394496,0.00227220552486186
"total_prawn_serving_per_year_per_person",0.11734502433337,0.00292211471551054
"total_beef_serving_per_year_per_person",0.351194293575541,-0.00874540713669255
"total_pork_serving_per_year_per_person",0.0607931267421036,-0.00151386470167087
"total_dairy_serving_per_year_per_person",0.469468587628411,-0.0116906624390107
"total_egg_serving_per_year_per_person",0.152808046722167,-0.00380521155039962
"prior_knowledge_ch_1",0.34734340549486,0.00864951268533197
"prior_knowledge_ch_2",0.377520416369401,-0.00940097776063078
"prior_knowledge_ch_3",0.507758852102603,-0.0126441629893447
"prior_knowledge_ch_4",0.0752996583753997,0.00187510498260725
"weight_contribution_ch_1",0.0457824004425756,0.00114006901276514
"weight_contribution_ch_2",0.00999384450270028,-0.000248865772125967
"weight_contribution_ch_3",0.26778832054108,0.00666843947189344
"weight_contribution_ch_4",0.22898265148359,0.00570210436529381
"chance_of_good_learning_hour",0.366503202382522,0.00912662813824263
"weight_learning_hour_to_interest_in_class",0.315814131198635,0.00786437367399541
"chance_of_good_learning_material",0.125102047246167,-0.00311527936761917
"weight_learning_material_to_interest",0.347509098564429,0.0086536387585046
"weight_learning_material_to_motivation_inter_one",0.339143015215516,-0.00844530734092703
"weight_learning_material_to_motivation_inter_two",0.533852807853963,0.0132939522115133
"chance_of_good_trainer",0.459374180438504,0.0114392924643436
"weight_good_trainer_to_interest",0.419836463957705,0.0104547279819332
"weight_good_trainer_to_motivation_inter_one",0.136094043844238,-0.0033890010289724
"weight_good_trainer_to_motivation_inter_two",0.541323006544497,0.0134799743939228
"weight_good_trainer_to_successful_ch1",0.258216393158688,0.00643008024005737
"weight_good_trainer_to_successful_ch2",0.257094131349765,0.00640213378246245
"weight_good_trainer_to_successful_ch3",0.212152443567146,0.0052830001169703
"weight_good_trainer_to_successful_ch4",0.356181645684924,-0.00886960170798393
"chance_of_good_facility",0.0722286615466677,-0.00179863130956058
"weight_good_facility_to_motivation",0.0695456102681959,0.00173181821997428
"chance_athletes_understand_nutrition_importance",6.9501270657042,0.173071407916415
"weight_understand_nutrition_importance_to_motivation",0.484401933585075,0.0120625312099252
"weight_understand_nutrition_importance_to_persistence",6.81439004442371,0.169691297429612
"weight_understand_nutrition_importance_to_interest",0.0173573146728953,-0.000432230211000014
"weight_motivation_to_learning_success",0.0736587056364927,0.00183424213245184
"weight_persistence_to_learning_success",0.0608293948710897,0.00151476784719422
"weight_interest_to_learning_success",0.120500501153527,-0.00300069210132654
"weight_knowledge_to_learning_success",0.217369078541575,-0.00541290426851676
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.50471642903807,0.012568400857476
"weight_motivation_to_maintain_good_nutrition_inter_one",0.191155745262576,0.00476014231842729
"weight_persistence_to_maintain_good_nutrition_inter_one",0.224264114822402,0.00558460381091016
"weight_interest_to_maintain_good_nutrition_inter_one",0.158949730596537,-0.00395815118230362
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.192114025038602,-0.00478400531092323
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.0516567081041901,-0.0012863504674664
"weight_motivation_to_maintain_good_nutrition_inter_two",0.095838582303129,-0.00238656332684402
"weight_interest_to_maintain_good_nutrition_inter_two",0.223266252800637,0.00555975514506845
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.610361574784948,0.0151991663012002
"chance_good_nutritionist_inter_one",0.0637780409859514,0.0015881947543172
"chance_good_nutrition_team_inter_two",0.261467121869298,0.00651102957945518
"weight_good_nutritionist_to_maintain_good_nutrition",0.356623098499267,0.00888059472428202
"weight_good_nutrition_team_to_maintain_good_nutrition",0.286366926474338,0.00713108216253717
"chance_good_support",0.260425960985269,0.00648510268943392
"weight_good_support_to_maintain_good_nutrition_inter_one",0.0825039096998961,0.00205450456882013
"weight_good_support_to_maintain_good_nutrition_inter_two",0.00780116262730116,0.000194263815111289
"chance_good_kitchen_staff",0.242190300489746,-0.00603099999369765
"chance_regular_audit",0.033211945076053,0.000827040720207713
"weight_good_kitchen_staff_to_good_food_safety",0.193732736804894,-0.00482431431847872
"weight_regular_audit_to_good_food_safety",0.126706266131511,0.00315522747482181
"chance_tasty_food_conditional_on_good_kitchen_staff",0.0460141289476881,0.00114583949411822
"weight_good_food_safety_to_maintain_good_nutrition",0.246546342620048,0.00613947374350212
"weight_tasty_food_to_maintain_good_nutrition",0.162445812767767,0.00404521029041001
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.163757669448928,-0.0040778780216107
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.410837078068108,0.0102306261242878
"chance_athletes_good_health",0.262684202867367,-0.00654133721554483
"weight_good_health_to_maintain_good_nutrition",0.244157516510394,0.00607998742128719
"total_main_meals_per_year_all_athletes",0.205599150427758,0.0051198106300155
"total_snack_time_per_year_all_athletes",0.0330492125502808,-0.000822988370217141
"pork_restriction",0.0889640658967374,0.00221537476842619
"beef_restriction",0.0893077527024747,-0.00222393322480963
"prawn_restriction",0.0716672177993303,0.00178465029037936
"egg_restriction",0.345153979552822,-0.00859499180726241
"dairy_restriction",0.217740393630731,0.00542215072180505
"percent_athlete_with_dietary_restriction",0.176901437232637,0.00440518288584521
"number_athlete",0.503824464981129,0.0125461892527548
"chance_good_water_intake_current",0.122218283500328,-0.00304346815512301
"weight_current_good_water_intake_to_maintain_good_water_intake",0.00820821122680287,-0.000204400100900048
"weight_good_learning_outcome_to_maintain_good_water_intake",0.0133038399685813,-0.000331290966667203
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.324145172836625,-0.00807183248619642
"weight_good_water_intake_to_nutrition_outcome",0.162426608477254,-0.00404473206698104
"weight_good_carb_intake_to_nutrition_outcome",0.252901896302119,0.00629773914116257
"weight_good_protein_intake_to_nutrition_outcome",0.350968331730064,-0.00873978025615318
"weight_good_fat_intake_to_nutrition_outcome",0.0959748368685215,0.00238995632516543
"weight_vegetable_intake_to_nutrition_outcome",0.353678505828684,0.00880726875564571
"weight_fruit_intake_to_nutrition_outcome",0.182976975831589,0.00455647537434658
"chance_bad_rest_conditional_on_personal_problem",0.0853943162918661,-0.0021264812008434
"chance_good_rest_in_athletes_without_personal_problem",0.21502049375472,0.00535442003192231
"weight_maintain_good_nutrition_to_reduce_tiredness",0.124568266720637,-0.00310198721537528
"weight_maintain_good_water_intake_to_reduce_tiredness",0.0752944763203836,0.00187497593956256
