"","VIP","Coefficient"
"var_CV",0.102597238482556,-0.506348916490363
"total_egg_serving_all_athletes",0.728784740163504,-3.59677676509047
"total_dairy_serving_all_athletes",0.0453471549640899,-0.223802152198196
"total_sandwich_serving_all_athletes",0.115154167273778,-0.568321220832288
"total_vegetable_mushroom_serving_all_athletes",0.177089060310898,-0.873988960492013
"total_bean_nut_serving_all_athletes",0.156667088566284,0.773200250986536
"total_fruit_serving_all_athletes",0.651467454674659,-3.2151921892063
"total_sports_drink_serving_all_athletes",0.594255264116187,2.93283243832228
"total_chicken_serving_all_athletes",0.197996869411976,0.977175426727341
"total_pork_serving_all_athletes",0.21461868058841,-1.05920917543029
"total_beef_serving_all_athletes",0.236999677540562,1.16966627665747
"total_fish_serving_all_athletes",1.01624095209177,5.01546155233306
"total_prawn_serving_all_athletes",0.394103101980161,-1.94501997933478
"total_rice_noodle_serving_all_athletes",0.300907634099643,-1.4850716914368
"total_fat_oil_serving_all_athletes",0.339057809548057,-1.67335453693956
"total_prawn_serving_per_person",0.398469948255179,-1.96657170833391
"total_beef_serving_per_person",0.778499697537707,-3.84213536510846
"total_pork_serving_per_person",0.638899972124863,3.15316779882095
"total_dairy_serving_per_person",0.00808145867069821,0.0398844832676998
"total_egg_serving_per_person",0.650840665286258,3.21209879086168
"prior_knowledge_ch_1",0.537523028535089,2.65284141281871
"prior_knowledge_ch_2",0.0145568698742115,0.0718426284889867
"prior_knowledge_ch_3",0.11984045714101,0.591449502175225
"prior_knowledge_ch_4",0.235878106025615,-1.16413097639248
"weight_contribution_ch_1",0.317631070481866,1.56760699177603
"weight_contribution_ch_2",0.240795362128231,-1.18839914711998
"weight_contribution_ch_3",0.53386858463616,2.63480560858104
"weight_contribution_ch_4",0.039496107915475,-0.194925436048531
"chance_of_good_learning_hour",0.425117110421895,2.09808364657145
"weight_learning_hour_to_interest_in_class",0.0512202473543375,0.252787668886886
"chance_of_good_learning_material",0.0790128921107146,0.389952915894835
"weight_learning_material_to_interest",0.40055397662684,-1.97685702910407
"weight_learning_material_to_motivation_inter_one",0.0191544260994267,-0.094532982026495
"weight_learning_material_to_motivation_inter_two",0.931759359261219,-4.5985189169774
"chance_of_good_trainer",0.0491531464138988,0.242585890194321
"weight_good_trainer_to_interest",0.0907568732497845,0.44791307362425
"weight_good_trainer_to_motivation_inter_one",0.121387218490092,0.599083245000669
"weight_good_trainer_to_motivation_inter_two",0.888969746439724,4.38733902159561
"weight_good_trainer_to_successful_ch1",0.0710456171332242,0.35063196426007
"weight_good_trainer_to_successful_ch2",0.344193805293024,1.69870225505583
"weight_good_trainer_to_successful_ch3",0.436994966671803,-2.15670451913413
"weight_good_trainer_to_successful_ch4",0.141879936925266,0.700221111175855
"chance_of_good_facility",0.0784591316221929,-0.387219937624608
"weight_good_facility_to_motivation",0.216481814003209,-1.06840431167191
"chance_athletes_understand_nutrition_importance",0.62080098877897,3.0638437512899
"weight_understand_nutrition_importance_to_motivation",0.130616413525815,0.64463216011315
"weight_understand_nutrition_importance_to_persistence",0.766646191536158,-3.78363466850817
"weight_understand_nutrition_importance_to_interest",0.251884778295594,1.24312882546127
"weight_motivation_to_learning_success",0.55520687715838,2.74011664285627
"weight_persistence_to_learning_success",0.586275851921812,2.89345158579048
"weight_interest_to_learning_success",0.00611637571559074,0.030186194699226
"weight_knowledge_to_learning_success",0.0795595029085063,-0.392650608243064
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.484591624344078,-2.39160865883003
"weight_motivation_to_maintain_good_nutrition_inter_one",0.167399221511027,-0.826166626773791
"weight_persistence_to_maintain_good_nutrition_inter_one",0.0849934264007153,-0.419468691392927
"weight_interest_to_maintain_good_nutrition_inter_one",1.21515893986677,5.99718298138925
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.71588165510639,3.53309607314705
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.129419741588581,0.638726216173771
"weight_motivation_to_maintain_good_nutrition_inter_two",0.103709026935785,0.511835934337878
"weight_interest_to_maintain_good_nutrition_inter_two",0.261585095160453,-1.2910028716518
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.309809991545506,1.52900756255373
"chance_good_nutritionist_inter_one",0.0348339261551516,0.171916135625476
"chance_good_nutrition_team_inter_two",0.0135617798019158,-0.0669315530315033
"weight_good_nutritionist_to_maintain_good_nutrition",0.319491665864473,-1.57678960204844
"weight_good_nutrition_team_to_maintain_good_nutrition",0.498872731714759,2.46209031457806
"chance_good_support",0.508815951310141,2.51116316042668
"weight_good_support_to_maintain_good_nutrition_inter_one",0.116428267720107,0.574609298270244
"weight_good_support_to_maintain_good_nutrition_inter_two",0.463285593675345,2.28645684672099
"chance_good_kitchen_staff",0.318914187637627,-1.57393956944731
"chance_regular_audit",0.0125754316077883,-0.0620636214305607
"weight_good_kitchen_staff_to_good_food_safety",0.907148022085705,-4.47705440100683
"weight_regular_audit_to_good_food_safety",0.262624903959502,1.29613464777505
"chance_tasty_food_conditional_on_good_kitchen_staff",0.0617765374097419,-0.304886205950541
"weight_good_food_safety_to_maintain_good_nutrition",0.0328746862812393,0.162246684459216
"weight_tasty_food_to_maintain_good_nutrition",0.847865410460097,-4.18447648558419
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.275341842581144,-1.35889664982677
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.128752998038627,0.635435631757567
"chance_athletes_good_health",0.171929345070757,0.848524179374259
"weight_good_health_to_maintain_good_nutrition",0.264360635066313,-1.30470101445559
"total_main_meals_all_athletes",0.402319020949026,1.98556806551514
"total_snack_time_all_athletes",0.00691379379252128,0.0341216980832889
"pork_restriction",0.203865209962644,1.00613749162671
"beef_restriction",0.203946514420271,-1.00653875412299
"prawn_restriction",0.164182383127643,0.810290540301658
"egg_restriction",0.201428058037506,-0.994109397548655
"dairy_restriction",0.0789978681762707,0.389878768159091
"percent_athlete_with_dietary_restriction",0.149711143722182,-0.738870524503922
"number_athlete",0.611213207629454,3.01652510345486
"chance_good_water_intake_current",0.388316177901989,1.91645972975952
"weight_current_good_water_intake_to_maintain_good_water_intake",1.0593524031602,-5.22822981841596
"weight_good_learning_outcome_to_maintain_good_water_intake",0.458395890784158,-2.26232465956341
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.437087090220275,-2.15715917717018
"weight_good_water_intake_to_nutrition_outcome",0.52481724459054,-2.59013446252807
"weight_good_carb_intake_to_nutrition_outcome",0.832693122774732,4.10959658098061
"weight_good_protein_intake_to_nutrition_outcome",0.210928613809882,-1.04099756132918
"weight_good_fat_intake_to_nutrition_outcome",0.257014012360655,1.26844317260826
"weight_vegetable_intake_to_nutrition_outcome",0.571334749452313,2.81971265130747
"weight_fruit_intake_to_nutrition_outcome",0.848230577332067,4.18627869637168
"chance_good_rest",0.694764610447945,3.42887696510449
"chance_enough_recovery_time",0.340131940010334,1.67865570102339
"chance_personal_problem",0.0895430331621479,0.441922399584111
"chance_good_team_relationship",0.534049405654275,2.63569801590072
"weight_good_rest_to_mental_health",0.694947338915551,-3.42977878627387
"weight_recovery_time_to_mental_health",0.287741968932787,-1.42009508591884
"weight_personal_problem_to_mental_health",0.294221153953928,-1.45207185609042
"weight_nutrition_outcome_to_mental_health",0.357153686498293,-1.76266325345295
"weight_team_relationship_to_mental_health",0.510204484182784,-2.51801599707192
"forty_dash_current_sec",6.79389863734257,33.5299786294802
"percent_increment_40_dash_if_optimal_training",6.99185648971872,-34.5069614951395
"percent_increment_40_dash_current",0.170839232958155,0.843144140932358
"ten_dash_current_sec",0.639493199092583,-3.1560955563004
"percent_increment_10_dash_if_optimal_training",0.681001957125518,-3.36095403948863
"percent_increment_10_dash_current",0.43321234345659,-2.13803611056054
"shuttle_run_current",0.63350813899698,3.12655744456015
"percent_increment_shuttle_run_if_optimal_training",0.105435347462534,0.520355856912429
"percent_increment_shuttle_run_current",0.596647207147107,-2.94463741260742
"weight_nutrition_outcome_to_sports_performance",0.752371579174764,-3.71318506762792
"weight_water_intake_to_sports_performance",0.400092054741696,-1.97457730257824
"weight_mental_health_to_sports_performance",0.515953179254558,-2.5463875747467
