"","VIP","Coefficient"
"var_CV",0.630531125601,0.00203542035636682
"total_egg_serving_all_athletes",0.425811136151023,-0.00137456283964311
"total_dairy_serving_all_athletes",0.185152570382047,0.000597691843412245
"total_sandwich_serving_all_athletes",0.123680540146611,-0.000399253706723685
"total_vegetable_mushroom_serving_all_athletes",0.00066424452635907,-2.14425073665919e-06
"total_bean_nut_serving_all_athletes",0.134861524289849,-0.000435347091816561
"total_fruit_serving_all_athletes",0.236605008731249,-0.000763785690565075
"total_sports_drink_serving_all_athletes",0.146742228659904,0.000473699246913956
"total_chicken_serving_all_athletes",0.106881859784989,-0.000345025811256108
"total_pork_serving_all_athletes",0.359264003473749,-0.00115974174198507
"total_beef_serving_all_athletes",0.203300797284986,0.000656276216126594
"total_fish_serving_all_athletes",0.289248219505832,0.000933723475528447
"total_prawn_serving_all_athletes",0.269515759200001,0.000870025031856209
"total_rice_noodle_serving_all_athletes",0.343543602434227,-0.00110899464483646
"total_fat_oil_serving_all_athletes",0.483052485616903,0.00155934389675224
"total_prawn_serving_per_person",0.648067682551596,0.00209203019456285
"total_beef_serving_per_person",0.223994650480271,0.000723078136499996
"total_pork_serving_per_person",0.024197135103929,-7.81108804253728e-05
"total_dairy_serving_per_person",0.122798103587604,-0.000396405109307191
"total_egg_serving_per_person",0.230043831185236,0.000742605523882324
"prior_knowledge_ch_1",2.19762060805101,0.00709414894773779
"prior_knowledge_ch_2",2.84082246693799,0.00917047175509116
"prior_knowledge_ch_3",0.176674305927635,0.000570323119876635
"prior_knowledge_ch_4",0.281944922941563,0.000910147671112245
"weight_contribution_ch_1",1.20359053848483,0.00388531601897915
"weight_contribution_ch_2",0.815517651235338,-0.00263257618998378
"weight_contribution_ch_3",0.725631978231837,0.00234241584555563
"weight_contribution_ch_4",0.113302146882994,0.000365751168851328
"chance_of_good_learning_hour",1.48940350696697,0.00480795014526066
"weight_learning_hour_to_interest_in_class",0.203631598898711,-0.000657344078300492
"chance_of_good_learning_material",1.04791969071196,0.00338279425663514
"weight_learning_material_to_interest",0.0488117450885731,0.000157569413386803
"weight_learning_material_to_motivation_inter_one",0.100268559427723,0.000323677386692424
"weight_learning_material_to_motivation_inter_two",0.412115748591182,0.00133035269759649
"chance_of_good_trainer",8.58544809104402,0.0277147235140615
"weight_good_trainer_to_interest",0.0222898315054055,-7.1953905119029e-05
"weight_good_trainer_to_motivation_inter_one",0.244311085151402,-0.000788661710441728
"weight_good_trainer_to_motivation_inter_two",0.296586363525779,0.00095741177117272
"weight_good_trainer_to_successful_ch1",0.350769001548709,-0.00113231898814541
"weight_good_trainer_to_successful_ch2",0.330407296424456,0.00106658927645078
"weight_good_trainer_to_successful_ch3",0.123386314373531,0.000398303915185124
"weight_good_trainer_to_successful_ch4",0.443662828802374,0.00143218996880906
"chance_of_good_facility",0.361768344107767,0.00116782601522519
"weight_good_facility_to_motivation",0.0297097104618528,9.59060496786421e-05
"chance_athletes_understand_nutrition_importance",3.8790040549435,0.0125218303986751
"weight_understand_nutrition_importance_to_motivation",0.165685734116288,-0.000534850861895878
"weight_understand_nutrition_importance_to_persistence",0.252898593065568,0.000816383083280053
"weight_understand_nutrition_importance_to_interest",0.165496552656162,0.000534240164375403
"weight_motivation_to_learning_success",0.600498048888147,0.00193847044664206
"weight_persistence_to_learning_success",0.408834344089771,-0.0013197599809986
"weight_interest_to_learning_success",0.632370476510203,0.0020413579732918
"weight_knowledge_to_learning_success",0.537267146788335,-0.00173435448779432
