"","VIP","Coefficient"
"var_CV",0.354931319007675,0.000740536277517812
"total_egg_serving_all_athletes",0.39574275195538,-0.000825686122056068
"total_dairy_serving_all_athletes",0.173219399496614,-0.000361408651272951
"total_sandwich_serving_all_athletes",0.244166712699976,-0.000509434639417356
"total_vegetable_mushroom_serving_all_athletes",0.354490962588267,0.000739617508488015
"total_bean_nut_serving_all_athletes",0.489523059998105,-0.00102135135784477
"total_fruit_serving_all_athletes",0.0102073808740374,2.12968972611366e-05
"total_sports_drink_serving_all_athletes",0.0467630356805147,9.75673954755516e-05
"total_chicken_serving_all_athletes",0.102534905582356,-0.000213931014901383
"total_pork_serving_all_athletes",1.11357693591133,-0.00232339068063936
"total_beef_serving_all_athletes",0.148035617100319,0.000308864670308658
"total_fish_serving_all_athletes",0.138570588856709,0.000289116633415998
"total_prawn_serving_all_athletes",0.0866364562040856,0.000180760150876743
"total_rice_noodle_serving_all_athletes",0.0341307917447892,-7.12112121806737e-05
"total_fat_oil_serving_all_athletes",0.0007783442166138,-1.62395398188639e-06
"total_prawn_serving_per_person",0.242432329749213,-0.000505815985820545
"total_beef_serving_per_person",0.297661420508209,-0.000621047139260898
"total_pork_serving_per_person",0.197425842314247,0.000411913490085809
"total_dairy_serving_per_person",0.645348433676049,-0.00134646874249516
"total_egg_serving_per_person",0.460578114059245,-0.000960960005009399
"prior_knowledge_ch_1",0.0521439906365479,0.000108794334714874
"prior_knowledge_ch_2",0.0311381478364441,-6.49672960731342e-05
"prior_knowledge_ch_3",0.157069484754647,0.000327713124547715
"prior_knowledge_ch_4",0.916326520497145,0.00191184320498111
"weight_contribution_ch_1",0.0527691183469121,0.000110098614508781
"weight_contribution_ch_2",0.0369308106357019,-7.7053231341601e-05
"weight_contribution_ch_3",0.108042506417374,-0.000225422190804994
"weight_contribution_ch_4",0.204512169315132,-0.000426698553948815
"chance_of_good_learning_hour",0.195052774688845,-0.000406962271155549
"weight_learning_hour_to_interest_in_class",0.0631488315522739,-0.000131755069623228
"chance_of_good_learning_material",0.293095143867718,-0.000611519962242764
"weight_learning_material_to_interest",0.363048867617803,-0.000757472904150596
"weight_learning_material_to_motivation_inter_one",0.0886337567395204,0.000184927361332361
"weight_learning_material_to_motivation_inter_two",0.167352105607479,-0.000349167004106084
"chance_of_good_trainer",0.181896955379465,0.000379513689029002
"weight_good_trainer_to_interest",0.404686183881315,0.000844345889261684
"weight_good_trainer_to_motivation_inter_one",0.219965259250953,0.000458940210529629
"weight_good_trainer_to_motivation_inter_two",0.570094407062836,-0.0011894571355956
"weight_good_trainer_to_successful_ch1",0.386784452349293,0.000806995334605334
"weight_good_trainer_to_successful_ch2",0.0714622924616985,-0.000149100451857648
"weight_good_trainer_to_successful_ch3",0.496710914764903,-0.00103634825140498
"weight_good_trainer_to_successful_ch4",0.443935345239858,-0.000926236177020491
"chance_of_good_facility",0.0568026391196373,0.00011851423831644
"weight_good_facility_to_motivation",0.43275359143854,-0.000902906327292665
"chance_athletes_understand_nutrition_importance",0.8939129571469,0.00186507906814555
"weight_understand_nutrition_importance_to_motivation",0.481992860685539,-0.00100564018931931
"weight_understand_nutrition_importance_to_persistence",0.419139899109416,0.000874502429127611
"weight_understand_nutrition_importance_to_interest",0.676484131100141,-0.00141143092597568
"weight_motivation_to_learning_success",0.262987599345272,-0.000548702938915014
"weight_persistence_to_learning_success",0.310535945947617,-0.000647908823854871
"weight_interest_to_learning_success",0.280774617390981,0.000585814152905759
"weight_knowledge_to_learning_success",0.434984954746247,0.000907561891310794
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.672341551571484,-0.00140278775965254
"weight_motivation_to_maintain_good_nutrition_inter_one",0.0154461039922456,3.2227080959072e-05
"weight_persistence_to_maintain_good_nutrition_inter_one",0.391961076341395,-0.000817795953361488
"weight_interest_to_maintain_good_nutrition_inter_one",0.0555423318294739,0.00011588470629375
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.2627826680322,0.000548275365850586
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.409081798507336,0.000853516993411235
"weight_motivation_to_maintain_good_nutrition_inter_two",0.156171316647065,0.000325839167442906
"weight_interest_to_maintain_good_nutrition_inter_two",0.0517679061820252,0.000108009664084052
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.0456687348462582,9.52842228647192e-05
"chance_good_nutritionist_inter_one",0.125573052381394,0.000261998295971893
"chance_good_nutrition_team_inter_two",0.21513752424224,0.000448867521193027
"weight_good_nutritionist_to_maintain_good_nutrition",0.365548806162896,0.000762688829274878
"weight_good_nutrition_team_to_maintain_good_nutrition",0.0765789694844286,-0.000159775995977753
"chance_good_support",0.176710313367526,0.000368692168462497
"weight_good_support_to_maintain_good_nutrition_inter_one",0.0398080412571537,-8.30563467046723e-05
"weight_good_support_to_maintain_good_nutrition_inter_two",0.00710195509246901,1.48176706467595e-05
