"","VIP","Coefficient"
"var_CV",0.104962680816276,-0.000212312991596162
"total_egg_serving_all_athletes",0.214892940870373,0.000434674141268801
"total_dairy_serving_all_athletes",0.189305393205992,-0.000382916995300483
"total_sandwich_serving_all_athletes",0.22766342498994,-0.000460505605046888
"total_vegetable_mushroom_serving_all_athletes",0.0124346745889312,2.515220591709e-05
"total_bean_nut_serving_all_athletes",0.356036533564503,0.000720171978942878
"total_fruit_serving_all_athletes",0.2775077518233,-0.000561328088445641
"total_sports_drink_serving_all_athletes",0.433179631787107,0.000876212981680853
"total_chicken_serving_all_athletes",0.349200673626745,0.000706344760904705
"total_pork_serving_all_athletes",0.434681070038962,-0.000879250012027916
"total_beef_serving_all_athletes",0.149040927962335,0.000301472152196067
"total_fish_serving_all_athletes",0.104099307544104,-0.0002105666055392
"total_prawn_serving_all_athletes",0.0475551529391858,9.61920628152054e-05
"total_rice_noodle_serving_all_athletes",0.0367906693148431,7.44182313591236e-05
"total_fat_oil_serving_all_athletes",0.606604676496324,0.00122700804306425
"total_prawn_serving_per_person",0.215542754809315,-0.000435988550735906
"total_beef_serving_per_person",0.117011403474017,0.000236684514241008
"total_pork_serving_per_person",0.662950804982774,-0.00134098202896844
"total_dairy_serving_per_person",0.208845417093012,-0.000422441528163503
"total_egg_serving_per_person",0.0384431929620482,7.77608692995135e-05
"prior_knowledge_ch_1",0.466714213441844,0.000944044970133066
"prior_knowledge_ch_2",0.0467290407977054,9.45210466141366e-05
"prior_knowledge_ch_3",0.470387323626,0.0009514747442737
"prior_knowledge_ch_4",0.486697353252613,-0.000984465814586676
"weight_contribution_ch_1",0.25767857318642,0.00052121866855897
"weight_contribution_ch_2",0.246953792247499,-0.000499525145607309
"weight_contribution_ch_3",0.345158673873005,-0.000698168816339708
"weight_contribution_ch_4",0.503652256103552,-0.00101876130054903
"chance_of_good_learning_hour",0.0194201873980131,-3.92821339143131e-05
"weight_learning_hour_to_interest_in_class",0.25896464174171,0.000523820060408414
"chance_of_good_learning_material",0.46459189549416,-0.000939752056984442
"weight_learning_material_to_interest",0.0244422278479167,-4.94404532669057e-05
"weight_learning_material_to_motivation_inter_one",0.220769352447679,-0.00044656063761327
"weight_learning_material_to_motivation_inter_two",0.363252517813934,0.000734768092450964
"chance_of_good_trainer",0.337168957916505,0.000682007639019005
"weight_good_trainer_to_interest",0.452658914217166,0.000915614649918647
"weight_good_trainer_to_motivation_inter_one",0.323356808646026,-0.000654069149746603
"weight_good_trainer_to_motivation_inter_two",0.146889256644125,-0.000297119864593005
"weight_good_trainer_to_successful_ch1",0.238558671196702,0.000482543936178917
"weight_good_trainer_to_successful_ch2",0.356491252712517,-0.000721091760925389
"weight_good_trainer_to_successful_ch3",0.463143044347476,-0.000936821397068577
"weight_good_trainer_to_successful_ch4",0.381135636126796,-0.000770941123842166
"chance_of_good_facility",0.537188606870415,0.00108659686746822
"weight_good_facility_to_motivation",0.355499155115375,-0.000719084998072474
"chance_athletes_understand_nutrition_importance",0.30817286190787,0.000623355860688584
"weight_understand_nutrition_importance_to_motivation",0.0683702678555364,-0.000138295782765382
"weight_understand_nutrition_importance_to_persistence",0.0618849095087238,-0.000125177540915262
"weight_understand_nutrition_importance_to_interest",0.0646925541699402,0.000130856696904096
"weight_motivation_to_learning_success",0.252008942080246,-0.000509750436878555
"weight_persistence_to_learning_success",0.127281052084067,-0.000257457419449646
"weight_interest_to_learning_success",0.256677436914417,0.000519193622749818
"weight_knowledge_to_learning_success",0.114595008819753,0.000231796758193486
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.0689096507747627,0.000139386818172502
"weight_motivation_to_maintain_good_nutrition_inter_one",0.676909948547365,-0.00136921785056971
"weight_persistence_to_maintain_good_nutrition_inter_one",0.6011622220863,-0.00121599933245938
"weight_interest_to_maintain_good_nutrition_inter_one",0.407590590807193,0.000824452815112394
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.125897234761757,-0.000254658306534108
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.0956072216500689,0.000193389260724521
"weight_motivation_to_maintain_good_nutrition_inter_two",0.134332503885122,-0.000271720725372621
"weight_interest_to_maintain_good_nutrition_inter_two",0.374183332104837,0.000756878368833348
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.208201795076426,-0.000421139643391356
"chance_good_nutritionist_inter_one",0.238066843160407,0.000481549092288454
"chance_good_nutrition_team_inter_two",0.693187551088564,0.00140214332907939
"weight_good_nutritionist_to_maintain_good_nutrition",0.229186059421468,0.000463585509911655
"weight_good_nutrition_team_to_maintain_good_nutrition",0.228967650669223,0.000463143724172007
"chance_good_support",0.0232871664398937,4.71040557863202e-05
"weight_good_support_to_maintain_good_nutrition_inter_one",0.169615777350722,-0.000343089875669946
"weight_good_support_to_maintain_good_nutrition_inter_two",0.394493815002764,-0.000797961345671272
"chance_good_kitchen_staff",0.76712217094469,0.00155169439048621
"chance_regular_audit",0.0674268921918035,0.000136387572077464
"weight_good_kitchen_staff_to_good_food_safety",0.570704351887058,0.00115439075415937
"weight_regular_audit_to_good_food_safety",0.291191696782636,0.000589007252778718
"chance_tasty_food_conditional_on_good_kitchen_staff",0.0683563571394774,-0.000138267644900393
"weight_good_food_safety_to_maintain_good_nutrition",0.464848623290115,-0.00094027135247081
"weight_tasty_food_to_maintain_good_nutrition",0.533114696748633,0.00107835637628867
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.2011482966819,-0.000406872197726722
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.102692216715024,-0.000207720416197938
"chance_athletes_good_health",0.407238849232197,0.000823741330749806
"weight_good_health_to_maintain_good_nutrition",0.401824630011241,-0.000812789732800714
"total_main_meals_all_athletes",0.481076211779886,-0.000973095665187111
"total_snack_time_all_athletes",0.393039168780126,-0.000795018963780485
"pork_restriction",0.0732480510645694,0.000148162306156492
"beef_restriction",0.271835090820643,-0.00054985372804994
"prawn_restriction",0.0773797246250083,-0.000156519638182443
"egg_restriction",0.375517049112254,-0.000759576141466299
"dairy_restriction",0.0852532058536488,0.000172445702007498
"percent_athlete_with_dietary_restriction",0.541154250642419,-0.00109461836316833
"number_athlete",0.140541477915992,-0.000284279911561322
"chance_good_water_intake_current",0.106753307287034,0.000215934976666297
"weight_current_good_water_intake_to_maintain_good_water_intake",0.151587538118319,0.00030662330131346
"weight_good_learning_outcome_to_maintain_good_water_intake",0.835771856949488,-0.00169055536559152
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.094512840580079,-0.000191175604241009
"weight_good_water_intake_to_nutrition_outcome",0.0353827623531934,-7.15703911878142e-05
"weight_good_carb_intake_to_nutrition_outcome",0.45072286858908,0.000911698518623514
"weight_good_protein_intake_to_nutrition_outcome",0.216466135434928,-0.000437856316512097
"weight_good_fat_intake_to_nutrition_outcome",1.04274259344351,-0.00210920488841404
"weight_vegetable_intake_to_nutrition_outcome",0.629757147905358,-0.0012738396448247
"weight_fruit_intake_to_nutrition_outcome",0.488633540440385,-0.000988382232221299
"chance_good_rest",5.4274976270732,0.0109784568107782
"chance_enough_recovery_time",3.04568381389718,0.00616064907027651
"chance_personal_problem",3.93825578203229,-0.00796609671410472
"chance_good_team_relationship",6.72382154165924,0.013600592661759
"weight_good_rest_to_mental_health",1.27849191135733,-0.00258606621249406
"weight_recovery_time_to_mental_health",0.584975924346903,0.00118325854050179
"weight_personal_problem_to_mental_health",0.931622274038143,-0.00188443654926149
"weight_nutrition_outcome_to_mental_health",1.75430278559693,0.00354851142976724
"weight_team_relationship_to_mental_health",0.257388030379062,0.000520630973845599
"forty_dash_current_sec",0.110090894546773,0.000222686072677925
"percent_increment_40_dash_if_optimal_training",0.513738134201158,-0.00103916248442813
"percent_increment_40_dash_current",0.309629922539294,0.000626303126318511
"ten_dash_current_sec",0.240178771642108,0.000485820990171587
"percent_increment_10_dash_if_optimal_training",0.428159962529607,0.000866059458651571
"percent_increment_10_dash_current",0.264935083814787,-0.000535896756695406
"shuttle_run_current",0.308742795969599,-0.000624508693340317
"percent_increment_shuttle_run_if_optimal_training",0.132258601294616,0.000267525744262714
