"","VIP","Coefficient"
"var_CV",0.718469336998765,-0.00147043129494437
"total_egg_serving_all_athletes",0.605602250510307,0.00123943563849076
"total_dairy_serving_all_athletes",0.495301697630311,0.00101369269240774
"total_sandwich_serving_all_athletes",0.40348783104082,-0.000825784905964147
"total_vegetable_mushroom_serving_all_athletes",0.0836125967567328,-0.000171122931197376
"total_bean_nut_serving_all_athletes",0.216853777111885,0.000443816547027886
"total_fruit_serving_all_athletes",0.709416525375522,-0.00145190366010659
"total_sports_drink_serving_all_athletes",0.783994708568134,-0.00160453661024
"total_chicken_serving_all_athletes",0.0642463330698516,-0.000131487613829081
"total_pork_serving_all_athletes",0.00202843131205767,-4.1514212608628e-06
"total_beef_serving_all_athletes",0.510968943986203,-0.00104575753938304
"total_fish_serving_all_athletes",0.112740686258654,0.000230736963640962
"total_prawn_serving_all_athletes",0.529408379066768,0.0010834959939103
"total_rice_noodle_serving_all_athletes",0.576059444311885,-0.0011789728399584
"total_fat_oil_serving_all_athletes",0.747812220552926,0.0015304849284678
"total_prawn_serving_per_person",0.19729138244032,-0.000403779824724216
"total_beef_serving_per_person",0.0388755072426835,-7.95632597144179e-05
"total_pork_serving_per_person",0.204243791245502,-0.000418008740219887
"total_dairy_serving_per_person",0.036304948152043,-7.43023107250415e-05
"total_egg_serving_per_person",0.0573466636964425,0.000117366635731657
"prior_knowledge_ch_1",0.535186973595398,0.00109532256158427
"prior_knowledge_ch_2",0.227759157828699,0.000466135680585167
"prior_knowledge_ch_3",0.14260651287635,-0.000291860861136002
"prior_knowledge_ch_4",0.371816414791357,-0.00076096565869751
"weight_contribution_ch_1",0.342678136906448,-0.000701330774539845
"weight_contribution_ch_2",0.96680209581283,-0.00197867324949378
"weight_contribution_ch_3",0.32640905601385,-0.000668034202991797
"weight_contribution_ch_4",0.646729503592843,0.00132360735869287
"chance_of_good_learning_hour",0.568884424862249,0.00116428832581524
"weight_learning_hour_to_interest_in_class",0.366311347469263,0.000749698896353836
"chance_of_good_learning_material",0.339335628694982,0.00069448994164045
"weight_learning_material_to_interest",0.325859964208847,0.000666910422570984
"weight_learning_material_to_motivation_inter_one",0.833306981877655,0.00170545992897488
"weight_learning_material_to_motivation_inter_two",0.374273731235339,0.000765994843402741
"chance_of_good_trainer",2.38199726382744,0.004875035218392
"weight_good_trainer_to_interest",0.11675457384753,-0.000238951852740789
"weight_good_trainer_to_motivation_inter_one",0.117804780010613,-0.000241101222141565
"weight_good_trainer_to_motivation_inter_two",0.0734126836102406,0.000150247619303109
"weight_good_trainer_to_successful_ch1",0.473811026549247,-0.000969709527532597
"weight_good_trainer_to_successful_ch2",0.356943150592116,-0.000730525788809817
"weight_good_trainer_to_successful_ch3",0.222569401002166,0.000455514237946065
"weight_good_trainer_to_successful_ch4",0.0610960560361453,0.000125040204455347
"chance_of_good_facility",0.205691805727007,-0.000420972270741638
