"","VIP","Coefficient"
"var_CV",0.11012505465632,-0.000240662574056778
"total_egg_serving_all_athletes",0.076046616009251,0.000166189014972202
"total_dairy_serving_all_athletes",0.417716769491548,0.000912860323077702
"total_sandwich_serving_all_athletes",0.233855888340884,0.000511058634405152
"total_vegetable_mushroom_serving_all_athletes",0.504193591369535,-0.00110184306287616
"total_bean_nut_serving_all_athletes",0.167840908602905,0.000366792327345151
"total_fruit_serving_all_athletes",0.228123417159674,-0.000498531137601798
"total_sports_drink_serving_all_athletes",0.082954040165825,-0.000181284203644852
"total_chicken_serving_all_athletes",0.107820503220927,0.000235626306131929
"total_pork_serving_all_athletes",0.332130626863739,-0.000725824035534603
"total_beef_serving_all_athletes",0.158378773520021,-0.000346114182919013
"total_fish_serving_all_athletes",0.0806017019157255,-0.000176143504463472
"total_prawn_serving_all_athletes",0.0778395415575493,0.000170107197613675
"total_rice_noodle_serving_all_athletes",0.0497193249024568,-0.000108654481477743
"total_fat_oil_serving_all_athletes",0.508762134164003,0.00111182696047363
"total_prawn_serving_per_person",0.550018979641436,0.00120198790215079
"total_beef_serving_per_person",0.290740838250594,0.000635372565627125
"total_pork_serving_per_person",0.0401926458399446,8.7835285405131e-05
"total_dairy_serving_per_person",0.189464882394564,0.00041404843278163
"total_egg_serving_per_person",0.00786671820436886,1.71915887656186e-05
"prior_knowledge_ch_1",0.457957534848031,0.00100080076681169
"prior_knowledge_ch_2",0.325429405342945,0.000711179473263536
"prior_knowledge_ch_3",0.583177033743329,0.0012744500923016
"prior_knowledge_ch_4",0.131340259205051,0.000287025372711204
"weight_contribution_ch_1",0.158989905948692,0.000347449725533111
"weight_contribution_ch_2",0.0814762706400212,0.000178054749466123
"weight_contribution_ch_3",0.692723176835458,-0.00151384753784041
"weight_contribution_ch_4",0.51836692172707,-0.00113281685151532
"chance_of_good_learning_hour",0.315048460099136,0.000688493400495496
"weight_learning_hour_to_interest_in_class",0.245037142547812,0.000535493668076829
"chance_of_good_learning_material",1.39188274867524,0.00304176089743427
"weight_learning_material_to_interest",0.684816174067812,0.00149656791291696
"weight_learning_material_to_motivation_inter_one",0.0718029611257085,0.0001569151134893
"weight_learning_material_to_motivation_inter_two",0.182723310689112,-0.000399315690946579
"chance_of_good_trainer",3.45595090489751,0.0075524869720349
"weight_good_trainer_to_interest",0.117904415479461,-0.000257663255745939
"weight_good_trainer_to_motivation_inter_one",0.756226322020456,0.00165262458933534
"weight_good_trainer_to_motivation_inter_two",2.07216661615366,-0.00452842410180311
"weight_good_trainer_to_successful_ch1",0.468232724819174,0.00102325572653992
"weight_good_trainer_to_successful_ch2",0.310639820896053,-0.000678858949352543
"weight_good_trainer_to_successful_ch3",0.152902279292171,0.000334146087177361
"weight_good_trainer_to_successful_ch4",0.406511711318846,-0.000888373269239552
"chance_of_good_facility",0.539569635924541,0.00117915235429149
"weight_good_facility_to_motivation",0.14659491839115,0.000320362251022346
"chance_athletes_understand_nutrition_importance",4.95765226134264,0.0108342407476359
"weight_understand_nutrition_importance_to_motivation",0.0415000434401229,-9.0692416080403e-05
"weight_understand_nutrition_importance_to_persistence",2.51954133411986,0.00550609763422203
"weight_understand_nutrition_importance_to_interest",0.107645387012628,0.000235243614676475
"weight_motivation_to_learning_success",0.0251764630159238,5.50195631136494e-05
"weight_persistence_to_learning_success",0.0854199373320313,0.000186673069613914
"weight_interest_to_learning_success",0.473387439172128,0.00103452061833572
"weight_knowledge_to_learning_success",1.02955537160406,-0.00224994617834676
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.122439425537336,-0.00026757387233821
"weight_motivation_to_maintain_good_nutrition_inter_one",1.55869958605356,0.00340631526342091
"weight_persistence_to_maintain_good_nutrition_inter_one",0.0406239921309061,-8.87779311002149e-05
"weight_interest_to_maintain_good_nutrition_inter_one",0.295831088719583,0.000646496580814076
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.145873241137627,0.000318785128486397
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.242929565461579,-0.000530887859451545
"weight_motivation_to_maintain_good_nutrition_inter_two",0.0717564158158227,0.000156813395364189
"weight_interest_to_maintain_good_nutrition_inter_two",0.181986430172383,0.000397705343850889
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.221215655011636,-0.00048343521029709
"chance_good_nutritionist_inter_one",0.199229490755536,0.000435387589344517
"chance_good_nutrition_team_inter_two",0.0544807495854372,0.000119059894886705
"weight_good_nutritionist_to_maintain_good_nutrition",0.406985750137675,0.000889409213355071
"weight_good_nutrition_team_to_maintain_good_nutrition",0.0917719328267088,0.000200554448296694
"chance_good_support",0.743273803105347,0.00162431870969372
"weight_good_support_to_maintain_good_nutrition_inter_one",0.385066838937178,0.000841508564347484
"weight_good_support_to_maintain_good_nutrition_inter_two",0.358211382991917,-0.000782819802054245
"chance_good_kitchen_staff",1.02225562255945,0.00223399361968038
"chance_regular_audit",0.0590209838138118,-0.000128981928157256
"weight_good_kitchen_staff_to_good_food_safety",0.323966346185681,-0.000707982166493671
"weight_regular_audit_to_good_food_safety",0.257014032058035,0.000561667449036298
"chance_tasty_food_conditional_on_good_kitchen_staff",0.0810187370037461,-0.000177054875069083
"weight_good_food_safety_to_maintain_good_nutrition",0.195026958210581,-0.000426203554857701
"weight_tasty_food_to_maintain_good_nutrition",0.33339839333059,0.000728594558029845
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.45168472790603,-0.000987092443397595
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.433660712066047,0.00094770353176048
"chance_athletes_good_health",1.06030091918018,0.00231713618014559
"weight_good_health_to_maintain_good_nutrition",0.0667887830285959,-0.00014595734360309
"total_main_meals_all_athletes",0.00341494885089291,7.46288284072112e-06
"total_snack_time_all_athletes",0.10772140117336,-0.000235409732765076
"pork_restriction",0.559086270794962,0.00122180317157826
"beef_restriction",0.314065676980034,-0.000686345668392928
"prawn_restriction",0.415803937945068,-0.000908680103007441
"egg_restriction",0.311919884125903,0.000681656344666557
"dairy_restriction",0.0524618384246859,-0.000114647852974401
"percent_athlete_with_dietary_restriction",0.0531001221189552,-0.00011604273080053
"number_athlete",0.472382217566302,0.00103232385012606
"chance_good_water_intake_current",7.16127824811158,0.0156499505231205
"weight_current_good_water_intake_to_maintain_good_water_intake",0.601303051678293,0.00131406191494488
"weight_good_learning_outcome_to_maintain_good_water_intake",0.667593492537645,-0.0014589302029322
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.255375173607984,0.000558085958027416
"weight_good_water_intake_to_nutrition_outcome",0.043066670298743,-9.4116055265497e-05
"weight_good_carb_intake_to_nutrition_outcome",0.0880959876708497,-0.000192521195318418
"weight_good_protein_intake_to_nutrition_outcome",0.286627744589814,0.000626383987044086
"weight_good_fat_intake_to_nutrition_outcome",0.337847362394077,-0.000738317144321032
"weight_vegetable_intake_to_nutrition_outcome",0.295322979332527,0.000645386180339152
"weight_fruit_intake_to_nutrition_outcome",0.167499745171879,-0.000366046763406581
"chance_good_rest",0.464273878289634,0.00101460423302586
"chance_enough_recovery_time",0.293847115428606,-0.000642160890624802
"chance_personal_problem",0.75452823874065,-0.00164891367092212
"chance_good_team_relationship",0.366137787873917,-0.000800141827526753
"weight_good_rest_to_mental_health",0.0914007965230261,-0.000199743382926974
"weight_recovery_time_to_mental_health",0.032486280029979,-7.09941238889126e-05
"weight_personal_problem_to_mental_health",0.391548926055773,-0.000855674239688939
"weight_nutrition_outcome_to_mental_health",0.446740588912772,0.000976287733966801
"weight_team_relationship_to_mental_health",0.120958261048006,0.000264336998951712
"forty_dash_current_sec",0.00430906802620101,9.41685256100603e-06
"percent_increment_40_dash_if_optimal_training",0.144668325588764,-0.000316151957693288
"percent_increment_40_dash_current",0.00726497029176119,1.58765546706671e-05
"ten_dash_current_sec",0.286028236195621,-0.000625073847096682
"percent_increment_10_dash_if_optimal_training",0.379701505692264,0.000829783395053148
"percent_increment_10_dash_current",0.355797534831921,-0.00077754468175233
"shuttle_run_current",0.161016151413653,-0.000351877795519459
"percent_increment_shuttle_run_if_optimal_training",0.596379181936075,0.00130330150106649
"percent_increment_shuttle_run_current",1.05072888881281,-0.00229621787527527
"weight_nutrition_outcome_to_sports_performance",0.184399585429205,-0.000402978949911907
"weight_water_intake_to_sports_performance",0.547319200955194,0.00119608792153291
"weight_mental_health_to_sports_performance",0.138801335884711,0.000303330489876101
