"","VIP","Coefficient"
"var_CV",0.0112214854909905,-2.31797174989483e-05
"total_egg_serving_all_athletes",0.163820934984968,0.000338397531807525
"total_dairy_serving_all_athletes",0.184023895719493,0.000380129878460259
"total_sandwich_serving_all_athletes",0.199189200550814,0.000411456166058963
"total_vegetable_mushroom_serving_all_athletes",0.364500326859909,-0.000752931919011128
"total_bean_nut_serving_all_athletes",0.0269563506572333,5.56825202455529e-05
"total_fruit_serving_all_athletes",0.34676060984102,-0.000716287784031023
"total_sports_drink_serving_all_athletes",0.00155078042732395,3.20337732799533e-06
"total_chicken_serving_all_athletes",0.069618139331274,-0.00014380705689964
"total_pork_serving_all_athletes",0.312640202867688,-0.000645806795107946
"total_beef_serving_all_athletes",0.162240153836473,-0.00033513218334014
"total_fish_serving_all_athletes",0.203582782356414,-0.000420531790239388
"total_prawn_serving_all_athletes",0.158264922286499,0.000326920726452789
"total_rice_noodle_serving_all_athletes",0.303708543590968,-0.000627357068554589
"total_fat_oil_serving_all_athletes",0.247741819557485,0.000511749125784508
"total_prawn_serving_per_person",0.488994378964594,0.0010100936789584
"total_beef_serving_per_person",0.118690888894941,0.000245174426905662
"total_pork_serving_per_person",0.0383139091819878,7.91433176856913e-05
"total_dairy_serving_per_person",0.192943758742498,0.000398555238023265
"total_egg_serving_per_person",0.0328257971045708,6.78067715876521e-05
"prior_knowledge_ch_1",1.27541054290657,0.00263455815217073
"prior_knowledge_ch_2",1.7409454137909,0.00359619258120171
"prior_knowledge_ch_3",0.109672131574222,-0.000226544785843104
"prior_knowledge_ch_4",0.406212834562788,-0.000839095568690283
"weight_contribution_ch_1",0.219090240738553,0.000452564849027664
"weight_contribution_ch_2",0.604372848127228,-0.00124842578951527
"weight_contribution_ch_3",0.503694426591381,-0.00104045890569096
"weight_contribution_ch_4",0.0537886783394994,-0.000111108851813998
"chance_of_good_learning_hour",0.291763414681564,0.000602682553417461
"weight_learning_hour_to_interest_in_class",0.281724387270282,0.000581945386351252
"chance_of_good_learning_material",1.37640883858874,0.00284318578562155
"weight_learning_material_to_interest",0.706967308924809,0.00146035054940149
"weight_learning_material_to_motivation_inter_one",0.28618115514076,0.000591151531141886
"weight_learning_material_to_motivation_inter_two",0.207705579791922,-0.000429048067334536
"chance_of_good_trainer",4.74694343067669,0.00980554738451671
"weight_good_trainer_to_interest",0.0929454099696453,0.000191993149895357
"weight_good_trainer_to_motivation_inter_one",0.254044710363824,-0.000524768723629637
"weight_good_trainer_to_motivation_inter_two",0.000679860799455244,-1.40435785285596e-06
"weight_good_trainer_to_successful_ch1",0.544920694284152,0.00112561815126693
"weight_good_trainer_to_successful_ch2",0.620030150714385,-0.00128076837473335
"weight_good_trainer_to_successful_ch3",0.0238034517421758,4.91697188689035e-05
"weight_good_trainer_to_successful_ch4",0.357235487322571,-0.000737925266969748
"chance_of_good_facility",1.00604280153586,0.00207813733308078
"weight_good_facility_to_motivation",0.273937147508517,0.000565859635679541
"chance_athletes_understand_nutrition_importance",3.75706847339791,0.00776080723960206
"weight_understand_nutrition_importance_to_motivation",0.103003944069335,-0.000212770611049813
"weight_understand_nutrition_importance_to_persistence",0.402398056362735,0.00083121555306585
"weight_understand_nutrition_importance_to_interest",0.0588814377314599,0.00012162873566454
"weight_motivation_to_learning_success",0.729259766843561,-0.00150639907633927
"weight_persistence_to_learning_success",0.125970859916248,-0.000260212335372407
"weight_interest_to_learning_success",0.405328179139899,0.000837268175801619
"weight_knowledge_to_learning_success",0.487521769719077,-0.00100705177632218
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.06872296164848,0.000141957928652298
"weight_motivation_to_maintain_good_nutrition_inter_one",1.59945547453166,0.00330392318214526
"weight_persistence_to_maintain_good_nutrition_inter_one",0.0548246767384457,0.000113248867076346
"weight_interest_to_maintain_good_nutrition_inter_one",0.0810562503127014,0.000167434247923856
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.0996044257016699,0.000205748378970269
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.214627929782406,-0.000443347254134456
"weight_motivation_to_maintain_good_nutrition_inter_two",0.10806704202055,0.00022322922459727
"weight_interest_to_maintain_good_nutrition_inter_two",0.0258251657624601,-5.33458825231256e-05
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.194181282048346,-0.000401111534215151
"chance_good_nutritionist_inter_one",0.290602809779794,-0.000600285144110777
"chance_good_nutrition_team_inter_two",0.930245680873511,0.0019215666325619
"weight_good_nutritionist_to_maintain_good_nutrition",0.47110358881022,0.000973137479002141
"weight_good_nutrition_team_to_maintain_good_nutrition",0.0688655574459164,0.000142252482372816
"chance_good_support",0.690162780082599,0.00142563819054507
"weight_good_support_to_maintain_good_nutrition_inter_one",0.443171927843738,0.000915440304149553
"weight_good_support_to_maintain_good_nutrition_inter_two",0.21811195389453,-0.000450544045926719
"chance_good_kitchen_staff",1.56829731370093,0.00323956117174805
"chance_regular_audit",0.110319314906426,0.000227881643322674
"weight_good_kitchen_staff_to_good_food_safety",0.212282260860974,-0.000438501911422165
"weight_regular_audit_to_good_food_safety",0.198552505143767,0.000410140973014327
"chance_tasty_food_conditional_on_good_kitchen_staff",0.0412121422084998,-8.51300671989006e-05
"weight_good_food_safety_to_maintain_good_nutrition",0.107420145523592,-0.000221892959620357
"weight_tasty_food_to_maintain_good_nutrition",0.310274157989756,0.000640919362699436
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.602996062591358,-0.00124558182560303
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.463733928983261,0.000957914304406459
"chance_athletes_good_health",1.34190059405851,0.00277190365811376
"weight_good_health_to_maintain_good_nutrition",0.248629161192073,-0.000513582067459772
"total_main_meals_all_athletes",0.181693321897157,0.000375315717014738
"total_snack_time_all_athletes",0.094629528303482,-0.000195471957335288
"pork_restriction",0.112838624077277,0.000233085666882632
"beef_restriction",0.169395569599534,-0.000349912803616167
"prawn_restriction",0.552590492613716,-0.00114146130845819
"egg_restriction",0.137123082077114,0.000283248978727863
"dairy_restriction",0.0352849151013431,7.2886460948524e-05
"percent_athlete_with_dietary_restriction",0.208207836386316,-0.000430085556174974
"number_athlete",0.412991070101725,0.000853097064754245
"chance_good_water_intake_current",7.35957403531178,0.0152023408298382
"weight_current_good_water_intake_to_maintain_good_water_intake",0.443849974842297,0.000916840915315537
"weight_good_learning_outcome_to_maintain_good_water_intake",0.593159389944526,-0.00122526265366574
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.185695895406096,0.00038358365295606
"weight_good_water_intake_to_nutrition_outcome",0.063041602666136,-0.000130222201120807
"weight_good_carb_intake_to_nutrition_outcome",0.22855148584709,-0.00047210851719711
