"","VIP","Coefficient"
"var_CV",0.746496746270009,0.148391633567623
"total_egg_serving_all_athletes",0.540589636443819,-0.107460587929489
"total_dairy_serving_all_athletes",0.064356200076743,-0.012792984975903
"total_sandwich_serving_all_athletes",1.43238492814918,-0.28473525229381
"total_vegetable_mushroom_serving_all_athletes",0.578655376131762,0.115027449169646
"total_bean_nut_serving_all_athletes",0.710038533531966,-0.141144323017126
"total_fruit_serving_all_athletes",0.0332494435937594,0.00660945848022207
"total_sports_drink_serving_all_athletes",0.391449298810504,-0.0778138701871593
"total_chicken_serving_all_athletes",1.27648315983571,-0.253744470094541
"total_pork_serving_all_athletes",0.437621089455441,0.0869920849252397
"total_beef_serving_all_athletes",0.342662935066724,-0.0681159200648887
"total_fish_serving_all_athletes",0.203986690872198,0.0405492970141231
"total_prawn_serving_all_athletes",0.486001773845085,0.0966093924695409
"total_rice_noodle_serving_all_athletes",0.140269349096527,0.0278833068675855
"total_fat_oil_serving_all_athletes",0.000661170788341333,-0.000131430195562669
"total_prawn_serving_per_person",0.440775937602237,0.0876192183621905
"total_beef_serving_per_person",0.464533335060412,-0.0923418096336851
"total_pork_serving_per_person",0.826365862164583,0.164268338507621
"total_dairy_serving_per_person",0.08349941407352,-0.016598350251653
"total_egg_serving_per_person",0.0203794551451442,-0.00405111027652384
"prior_knowledge_ch_1",0.943160042130714,0.18748515658883
"prior_knowledge_ch_2",0.0545452229450045,0.0108427193776298
"prior_knowledge_ch_3",0.451707277099382,-0.0897921941094644
"prior_knowledge_ch_4",0.000955322148584563,-0.000189902789154984
"weight_contribution_ch_1",0.498733485618722,-0.0991402534781685
"weight_contribution_ch_2",0.286073896416522,-0.0568669227594302
"weight_contribution_ch_3",0.0215634905762133,-0.00428647761428682
"weight_contribution_ch_4",2.1826299364569,-0.433871980504637
"chance_of_good_learning_hour",1.19259655292008,0.237069152088327
"weight_learning_hour_to_interest_in_class",0.616225660876677,0.122495821878242
"chance_of_good_learning_material",0.553103062357114,-0.109948057194532
"weight_learning_material_to_interest",0.934764993171416,-0.185816354902587
"weight_learning_material_to_motivation_inter_one",1.28768049662358,0.255970321855933
"weight_learning_material_to_motivation_inter_two",1.25003295594048,0.2484865919004
"chance_of_good_trainer",1.32562453862916,0.263512991540029
"weight_good_trainer_to_interest",0.455534599088495,-0.0905530046086281
"weight_good_trainer_to_motivation_inter_one",0.38420150807341,-0.076373125116792
"weight_good_trainer_to_motivation_inter_two",1.03676187833322,-0.206091707050598
"weight_good_trainer_to_successful_ch1",0.289931657844086,0.0576337841329202
"weight_good_trainer_to_successful_ch2",0.0817065057032428,0.0162419486956759
"weight_good_trainer_to_successful_ch3",0.130930300127968,0.0260268530527002
"weight_good_trainer_to_successful_ch4",0.267593184261112,-0.0531932522713309
"chance_of_good_facility",0.574797683972126,0.114260601565514
"weight_good_facility_to_motivation",0.949555278036629,-0.188756427371818
"chance_athletes_understand_nutrition_importance",1.22443484812988,0.243398096802149
"weight_understand_nutrition_importance_to_motivation",0.090194008555662,0.0179291287396259
"weight_understand_nutrition_importance_to_persistence",0.555525482177307,-0.110429595575109
"weight_understand_nutrition_importance_to_interest",0.738377801519995,0.146777716989527
"weight_motivation_to_learning_success",0.957959857964175,0.190427123662365
"weight_persistence_to_learning_success",0.315917126762437,0.0627992804342531
"weight_interest_to_learning_success",0.546347680123588,-0.108605195072205
"weight_knowledge_to_learning_success",0.0523906851658639,0.0104144316694417
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.463687549885483,0.0921736810458752
"weight_motivation_to_maintain_good_nutrition_inter_one",0.537512136580256,-0.106848830096196
"weight_persistence_to_maintain_good_nutrition_inter_one",1.24166566909978,-0.246823308880045
"weight_interest_to_maintain_good_nutrition_inter_one",0.47241763123273,0.093909081821256
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.15735024057054,-0.0312787153556799
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.287296848157528,-0.0571100260382175
"weight_motivation_to_maintain_good_nutrition_inter_two",0.736177548828446,0.146340341886699
"weight_interest_to_maintain_good_nutrition_inter_two",0.226535123736692,0.0450315654283809
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.239009356333515,-0.0475112436879234
"chance_good_nutritionist_inter_one",0.605550242453017,-0.12037371915399
"chance_good_nutrition_team_inter_two",0.35132757251053,-0.0698383116372327
"weight_good_nutritionist_to_maintain_good_nutrition",0.802742600971544,0.159572411383832
"weight_good_nutrition_team_to_maintain_good_nutrition",0.00368554289704362,0.000732627079499737
"chance_good_support",0.68537524111192,0.136241654291973
"weight_good_support_to_maintain_good_nutrition_inter_one",0.583323036227573,-0.11595530546643
"weight_good_support_to_maintain_good_nutrition_inter_two",0.10826750056121,-0.0215218503641681
"chance_good_kitchen_staff",0.0264816569749212,0.00526413056416006
"chance_regular_audit",0.189430770716043,0.037655812506864
"weight_good_kitchen_staff_to_good_food_safety",0.74232572576763,-0.147562501291984
"weight_regular_audit_to_good_food_safety",0.338956197482774,-0.0673790798200555
"chance_tasty_food_conditional_on_good_kitchen_staff",0.306379189370722,-0.0609032907765696
"weight_good_food_safety_to_maintain_good_nutrition",0.326989817503739,-0.0650003545518576
"weight_tasty_food_to_maintain_good_nutrition",0.176598618955174,-0.0351049856325372
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.619317830468829,-0.123110495819341
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.369805025913832,-0.0735113343374465
"chance_athletes_good_health",0.701114256017776,-0.13937031914456
"weight_good_health_to_maintain_good_nutrition",0.970564042539317,-0.192932634300206
"total_main_meals_all_athletes",0.531189986996479,0.105592087707052
"total_snack_time_all_athletes",0.814675829358331,0.161944546644835
"pork_restriction",0.235671919183338,-0.0468478144725671
"beef_restriction",0.205738013647923,-0.040897432017916
"prawn_restriction",0.0786994617246159,0.0156441963673132
"egg_restriction",0.931842991941306,-0.18523550771472
"dairy_restriction",1.25914316022759,-0.250297555046662
"percent_athlete_with_dietary_restriction",0.361134724663118,-0.0717878168907255
"number_athlete",0.925144427043082,-0.183903939971427
"chance_good_water_intake_current",0.661971986530338,-0.131589460969614
"weight_current_good_water_intake_to_maintain_good_water_intake",0.673929388345833,0.133966401522258
"weight_good_learning_outcome_to_maintain_good_water_intake",1.96146196612507,0.389907319473811
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.783619312572353,-0.155771006998723
"weight_good_water_intake_to_nutrition_outcome",0.362151573250474,0.0719899501534927
"weight_good_carb_intake_to_nutrition_outcome",0.598740434055416,0.119020037979287
"weight_good_protein_intake_to_nutrition_outcome",0.234830169614366,-0.0466804880987834
"weight_good_fat_intake_to_nutrition_outcome",1.21131773023844,0.240790623211225
"weight_vegetable_intake_to_nutrition_outcome",0.485944222263963,0.0965979521341613
"weight_fruit_intake_to_nutrition_outcome",0.296209967249326,0.0588818117945834
"chance_good_rest",0.31125828372081,-0.0618731768270553
"chance_enough_recovery_time",0.273221967753713,0.054312164552783
"chance_personal_problem",0.499690157107685,0.0993304244946454
"chance_good_team_relationship",0.893835311487842,-0.177680187723324
"weight_good_rest_to_mental_health",0.636727339605293,-0.12657122825157
"weight_recovery_time_to_mental_health",0.153261874234431,0.0304660134085255
"weight_personal_problem_to_mental_health",0.5834761462516,-0.115985741294442
"weight_nutrition_outcome_to_mental_health",0.792020253912719,0.157440979996236
"weight_team_relationship_to_mental_health",0.790603919602187,-0.157159435350438
"forty_dash_current_sec",0.0965442985136252,-0.0191914649858302
"percent_increment_40_dash_if_optimal_training",0.0140696510741956,0.00279682197820481
"percent_increment_40_dash_current",0.362581047137882,-0.0720753227047404
"ten_dash_current_sec",0.167287542005806,0.0332540922084275
"percent_increment_10_dash_if_optimal_training",0.97727108004091,-0.194265886261763
"percent_increment_10_dash_current",0.0650701267742744,0.0129349022038394
"shuttle_run_current",2.82458871041038,0.561483134372371
"percent_increment_shuttle_run_if_optimal_training",7.6015952865801,-1.51107576547636
"percent_increment_shuttle_run_current",0.306944195216433,-0.0610156049170388
"weight_nutrition_outcome_to_sports_performance",0.287175604273502,-0.0570859246900194
"weight_water_intake_to_sports_performance",0.855008247571613,0.169961987382931
"weight_mental_health_to_sports_performance",0.0343311305619914,0.00682448057780893
