"","VIP","Coefficient"
"var_CV",0.40108583753357,-0.000482425302804304
"total_egg_serving_all_athletes",0.263377743171014,0.00031679026186148
"total_dairy_serving_all_athletes",0.0455416705618308,5.47774370347001e-05
"total_sandwich_serving_all_athletes",0.116702283444537,-0.000140369290461352
"total_vegetable_mushroom_serving_all_athletes",0.438113416194155,0.000526962005863404
"total_bean_nut_serving_all_athletes",0.0667289611444664,-8.02614709207763e-05
"total_fruit_serving_all_athletes",0.211044686328446,-0.000253844157982064
"total_sports_drink_serving_all_athletes",0.00167371507312357,2.01314139119207e-06
"total_chicken_serving_all_athletes",0.26194276919851,0.000315064277824101
"total_pork_serving_all_athletes",0.610510488026982,-0.000734320884683367
"total_beef_serving_all_athletes",0.167420593720785,0.000201373180160383
"total_fish_serving_all_athletes",0.00627805364806032,7.55123130453009e-06
"total_prawn_serving_all_athletes",0.563540963986151,0.000677826028127692
"total_rice_noodle_serving_all_athletes",0.0279151113435728,3.35762442412638e-05
"total_fat_oil_serving_all_athletes",0.0150203223686492,-1.80664159359837e-05
"total_prawn_serving_per_person",0.117731434309617,-0.000141607151216473
"total_beef_serving_per_person",0.360641479801115,-0.000433778904203475
"total_pork_serving_per_person",0.0819268395006377,9.85414508698197e-05
"total_dairy_serving_per_person",0.0966766505200202,0.000116282496255737
"total_egg_serving_per_person",0.0400241339107076,4.81409541660444e-05
"prior_knowledge_ch_1",0.0414018679326365,4.97980900968468e-05
"prior_knowledge_ch_2",0.406443438317468,0.000488869415107971
"prior_knowledge_ch_3",0.304402560681449,0.000366134836408584
"prior_knowledge_ch_4",0.221087875332725,0.000265924087122181
"weight_contribution_ch_1",1.10163631081034,0.00132504611504367
"weight_contribution_ch_2",0.0500745923604571,6.02296269817149e-05
"weight_contribution_ch_3",0.114818033333791,0.000138102917916699
"weight_contribution_ch_4",0.882530660214073,-0.00106150624416456
"chance_of_good_learning_hour",0.573293259991432,0.000689556071707182
"weight_learning_hour_to_interest_in_class",0.476216309711808,-0.000572792095641719
"chance_of_good_learning_material",0.978080329662802,0.00117643320967427
"weight_learning_material_to_interest",0.617184617430793,0.000742348515173609
"weight_learning_material_to_motivation_inter_one",0.46991476533994,-0.000565212609738084
"weight_learning_material_to_motivation_inter_two",0.148878180911367,0.000179070400363136
"chance_of_good_trainer",2.57249934411992,0.00309419744831318
"weight_good_trainer_to_interest",0.099323463482831,-0.000119466077987026
"weight_good_trainer_to_motivation_inter_one",0.848458074273538,0.00102052380087818
"weight_good_trainer_to_motivation_inter_two",1.8021801980322,-0.0021676590055884
"weight_good_trainer_to_successful_ch1",0.0619200162168989,-7.44772808653077e-05
"weight_good_trainer_to_successful_ch2",0.467728180048798,0.0005625825889982
"weight_good_trainer_to_successful_ch3",0.432909904731417,-0.000520703231909944
"weight_good_trainer_to_successful_ch4",0.027950319813014,3.36185929231217e-05
"chance_of_good_facility",0.399581008088156,0.000480615296733442
"weight_good_facility_to_motivation",0.0653499765687848,-7.86028308262355e-05
"chance_athletes_understand_nutrition_importance",4.10467875820976,0.00493710001086239
"weight_understand_nutrition_importance_to_motivation",0.598258053413646,-0.000719583679014933
"weight_understand_nutrition_importance_to_persistence",1.67821318764161,0.00201855171500644
"weight_understand_nutrition_importance_to_interest",0.126018484520366,0.000151574799867095
"weight_motivation_to_learning_success",0.519713331236655,0.000625110232600253
"weight_persistence_to_learning_success",0.629587023902632,-0.000757266106715789
"weight_interest_to_learning_success",0.105366341862035,-0.000126734440913586
"weight_knowledge_to_learning_success",0.0533287536322821,-6.41437261346245e-05
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.199411831115887,0.000239852181269778
"weight_motivation_to_maintain_good_nutrition_inter_one",0.316896858335044,0.00038116295449405
"weight_persistence_to_maintain_good_nutrition_inter_one",0.353389657011072,0.000425056425177831
"weight_interest_to_maintain_good_nutrition_inter_one",0.633431983075531,0.000761890816490291
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.191137819355116,0.00022990021524265
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.0366822976883521,4.41213997449605e-05
"weight_motivation_to_maintain_good_nutrition_inter_two",0.0239222531008909,2.87736417394508e-05
"weight_interest_to_maintain_good_nutrition_inter_two",0.428296282835924,0.000515153976035828
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.224934857373502,0.000270551229998422
"chance_good_nutritionist_inter_one",0.294702262593571,0.000354467335827876
"chance_good_nutrition_team_inter_two",0.116703551772233,-0.000140370816003556
"weight_good_nutritionist_to_maintain_good_nutrition",0.202426394469087,0.000243478092489763
"weight_good_nutrition_team_to_maintain_good_nutrition",0.178560085864443,-0.000214771740686822
"chance_good_support",0.629895109338564,0.00075763667130773
"weight_good_support_to_maintain_good_nutrition_inter_one",0.116298451886797,-0.000139883562611367
"weight_good_support_to_maintain_good_nutrition_inter_two",0.237674528371129,-0.0002858744826878
"chance_good_kitchen_staff",1.85416903696401,0.00223019108480204
"chance_regular_audit",0.0991216038867482,-0.000119223281638586
"weight_good_kitchen_staff_to_good_food_safety",0.0940853032414678,0.000113165628546784
"weight_regular_audit_to_good_food_safety",0.553021704774178,0.000665173482623169
"chance_tasty_food_conditional_on_good_kitchen_staff",0.669403181033655,0.000805156906796283
"weight_good_food_safety_to_maintain_good_nutrition",0.208484397642256,0.000250764647490502
"weight_tasty_food_to_maintain_good_nutrition",0.271329620996715,-0.000326354765787913
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.767911736044656,-0.000923642814382135
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.443799440213609,0.000533801145026746
"chance_athletes_good_health",0.881536235114481,0.00106031015149588
"weight_good_health_to_maintain_good_nutrition",0.0447737851156471,5.38538258417141e-05
"total_main_meals_all_athletes",0.142990446722649,0.000171988644581656
"total_snack_time_all_athletes",0.934569751342138,0.00112409876662683
"pork_restriction",0.246210514032494,-0.000296141550437537
"beef_restriction",0.0832833393890636,-0.000100173046424158
"prawn_restriction",0.360988128247717,-0.000434195852313255
"egg_restriction",0.238255323519333,0.00028657306201676
"dairy_restriction",0.696576737678705,-0.000837841210419097
"percent_athlete_with_dietary_restriction",0.542407686665499,-0.000652406961293128
"number_athlete",0.145994130628892,0.000175601470022983
"chance_good_water_intake_current",4.86197176890544,0.00584797064205457
"weight_current_good_water_intake_to_maintain_good_water_intake",0.133610983024385,0.000160707043010773
"weight_good_learning_outcome_to_maintain_good_water_intake",0.562122254672391,-0.000676119607191737
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.609503403247161,-0.000733109564974743
"weight_good_water_intake_to_nutrition_outcome",0.0169247950027879,2.0357112094334e-05
"weight_good_carb_intake_to_nutrition_outcome",0.300226010929183,-0.000361111290099135
"weight_good_protein_intake_to_nutrition_outcome",0.079950552332115,-9.61643763224717e-05
"weight_good_fat_intake_to_nutrition_outcome",0.0411930753514752,-4.95469547667902e-05
"weight_vegetable_intake_to_nutrition_outcome",0.229991525604552,0.000276633381184677
"weight_fruit_intake_to_nutrition_outcome",0.45720693759938,0.000549927658059351
"chance_good_rest",3.47831960950656,0.0041837163864603
"chance_enough_recovery_time",1.91398400420798,0.00230213641666006
"chance_personal_problem",2.28184504926858,-0.00274459900059115
"chance_good_team_relationship",3.85389470026107,0.00463545741027003
"weight_good_rest_to_mental_health",0.628794497477526,-0.000756312857398976
"weight_recovery_time_to_mental_health",0.0371795568351444,-4.47195021260832e-05
"weight_personal_problem_to_mental_health",0.0185651746573986,-2.23301577058569e-05
"weight_nutrition_outcome_to_mental_health",0.516657182767523,0.000621434302879816
"weight_team_relationship_to_mental_health",0.114567616986429,0.000137801717597719
"forty_dash_current_sec",0.12600281642235,-0.00015155595430781
"percent_increment_40_dash_if_optimal_training",0.74070774842413,0.000890921908438357
"percent_increment_40_dash_current",0.0741536849729802,-8.919191499538e-05
"ten_dash_current_sec",0.0140658635513423,-1.69183946376376e-05
"percent_increment_10_dash_if_optimal_training",0.213856338901619,-0.000257226008491507
"percent_increment_10_dash_current",0.0102160354024363,1.22878284678086e-05
"shuttle_run_current",0.409802670258688,0.000492909893067498
"percent_increment_shuttle_run_if_optimal_training",0.0925773842172266,-0.000111351906336229
"percent_increment_shuttle_run_current",0.228062397442765,0.000274313029403321
"weight_nutrition_outcome_to_sports_performance",2.54552826713757,0.00306175668685378
"weight_water_intake_to_sports_performance",1.05677832847993,-0.00127109101694792
"weight_mental_health_to_sports_performance",1.46839251901302,-0.00176617980324758
