"","VIP","Coefficient"
"var_CV",0.00174112280074584,-1.98460413387039e-06
"total_egg_serving_all_athletes",0.0204167257506867,2.32718325827183e-05
"total_dairy_serving_all_athletes",0.0753396439325154,8.58752574653229e-05
"total_sandwich_serving_all_athletes",0.140380394061201,-0.000160011407724297
"total_vegetable_mushroom_serving_all_athletes",0.0705822983640026,-8.0452637258709e-05
"total_bean_nut_serving_all_athletes",0.115830748028096,-0.000132028700828791
"total_fruit_serving_all_athletes",0.68865717544161,-0.000784960070947017
"total_sports_drink_serving_all_athletes",0.176163024892717,-0.000200797937565021
"total_chicken_serving_all_athletes",0.161318793948438,-0.000183877866169987
"total_pork_serving_all_athletes",0.267783865586956,-0.00030523117978813
"total_beef_serving_all_athletes",0.0731322444184009,8.33591717538851e-05
"total_fish_serving_all_athletes",0.105207189849493,0.000119919527674182
"total_prawn_serving_all_athletes",0.108855144806868,0.00012407761835307
"total_rice_noodle_serving_all_athletes",0.0208091338714254,-2.37191156682358e-05
"total_fat_oil_serving_all_athletes",0.11188447287578,0.000127530572392749
"total_prawn_serving_per_person",0.575344296052877,-0.000655801341442525
"total_beef_serving_per_person",0.453753587533442,-0.000517207198246806
"total_pork_serving_per_person",0.0971698495810731,0.000110758233183526
"total_dairy_serving_per_person",0.205070780489404,-0.000233748198875438
"total_egg_serving_per_person",0.711460185286973,-0.000810951889321005
"prior_knowledge_ch_1",0.898715064974912,0.00102439278398788
"prior_knowledge_ch_2",1.05454931534344,0.00120201913943363
"prior_knowledge_ch_3",0.287895328060281,0.000328155060599777
"prior_knowledge_ch_4",0.270033266655026,0.000307795140616459
"weight_contribution_ch_1",0.261466811757526,0.000298030739280201
"weight_contribution_ch_2",0.766717641569078,-0.000873936634634575
"weight_contribution_ch_3",0.16410391904967,-0.000187052467517395
"weight_contribution_ch_4",0.18062073825502,0.000205879024529506
"chance_of_good_learning_hour",0.784126857623117,0.00089378038266515
"weight_learning_hour_to_interest_in_class",0.0218090887089665,2.48589057527822e-05
"chance_of_good_learning_material",0.509761502338842,0.000581047347376231
"weight_learning_material_to_interest",0.0706075797247507,8.04814540044487e-05
"weight_learning_material_to_motivation_inter_one",0.0397213212272958,4.52760128560238e-05
"weight_learning_material_to_motivation_inter_two",0.380272252209708,0.000433450118169899
"chance_of_good_trainer",3.63583662654557,0.00414427770173864
"weight_good_trainer_to_interest",0.1141888294584,0.000130157173800656
"weight_good_trainer_to_motivation_inter_one",0.197287751750082,0.000224876779235494
"weight_good_trainer_to_motivation_inter_two",0.150706190109778,-0.000171781179227336
"weight_good_trainer_to_successful_ch1",0.437268206034272,0.000498416475238832
