"","VIP","Coefficient"
"var_CV",0.410209334055303,-0.00021690245011534
"total_egg_serving_all_athletes",0.876189072348356,0.000463294081287345
"total_dairy_serving_all_athletes",0.503739054584499,0.000266357262225126
"total_sandwich_serving_all_athletes",0.212030787637836,-0.000112113483337587
"total_vegetable_mushroom_serving_all_athletes",0.201774683468934,-0.000106690461630887
"total_bean_nut_serving_all_athletes",0.155631542044288,8.22917958763066e-05
"total_fruit_serving_all_athletes",0.552390606567969,-0.000292082276141328
"total_sports_drink_serving_all_athletes",0.386770503202448,-0.00020450892462053
"total_chicken_serving_all_athletes",0.0201226154362563,1.06400421163121e-05
"total_pork_serving_all_athletes",0.627489295548489,0.00033179148870188
"total_beef_serving_all_athletes",1.36358721903677,0.000721010918574474
"total_fish_serving_all_athletes",0.252840094392176,-0.000133691828557132
"total_prawn_serving_all_athletes",0.787720947981077,0.000416515640770961
"total_rice_noodle_serving_all_athletes",0.224585179267724,-0.000118751748433386
"total_fat_oil_serving_all_athletes",0.322496739616517,0.0001705235039035
"total_prawn_serving_per_person",0.452499045330085,-0.000239263574616066
"total_beef_serving_per_person",1.0797684316119,-0.00057093878400691
"total_pork_serving_per_person",0.286760801952777,-0.000151627755335795
"total_dairy_serving_per_person",0.113532981863599,6.00317445038807e-05
"total_egg_serving_per_person",0.133368852495439,7.05201673237208e-05
"prior_knowledge_ch_1",0.457373531446769,0.000241841009827765
"prior_knowledge_ch_2",0.267486349399483,-0.000141436188161759
"prior_knowledge_ch_3",0.363045216716967,0.000191963932731839
"prior_knowledge_ch_4",0.0352143615844341,1.86199597932151e-05
"weight_contribution_ch_1",0.0711140439973166,3.76022900993972e-05
"weight_contribution_ch_2",0.253658531776568,-0.000134124585832998
"weight_contribution_ch_3",0.303802620488922,-0.000160638794061727
"weight_contribution_ch_4",0.318134385001018,0.000168216863547417
"chance_of_good_learning_hour",0.8400071021965,0.000444162488404381
"weight_learning_hour_to_interest_in_class",0.740531584598605,0.000391563774279153
"chance_of_good_learning_material",0.513538070563144,0.00027153859379912
"weight_learning_material_to_interest",0.0975648363094983,5.15884215296263e-05
"weight_learning_material_to_motivation_inter_one",0.225249350015297,0.000119102935621204
"weight_learning_material_to_motivation_inter_two",0.287088744109486,0.0001518011581606
"chance_of_good_trainer",3.34832102604915,0.00177045955327983
"weight_good_trainer_to_interest",0.189182370859631,-0.000100032145422978
"weight_good_trainer_to_motivation_inter_one",1.39572584585517,0.00073800455163333
"weight_good_trainer_to_motivation_inter_two",2.04357458266846,-0.00108056130657052
"weight_good_trainer_to_successful_ch1",0.0679948106768487,3.59529630521495e-05
"weight_good_trainer_to_successful_ch2",0.309391997790987,-0.000163594235420049
"weight_good_trainer_to_successful_ch3",0.197640939038214,0.000104504701286748
"weight_good_trainer_to_successful_ch4",0.180051354365952,-9.5204025521504e-05
"chance_of_good_facility",0.486221738350875,-0.00025709479914815
"weight_good_facility_to_motivation",0.0788012485780296,-4.16669794413265e-05
"chance_athletes_understand_nutrition_importance",5.74369795822909,0.00303704000966104
"weight_understand_nutrition_importance_to_motivation",0.903502479658692,-0.000477736329366009
"weight_understand_nutrition_importance_to_persistence",2.45860583332663,0.00130001339522059
"weight_understand_nutrition_importance_to_interest",0.333456731923195,-0.000176318713781009
"weight_motivation_to_learning_success",0.0508132430769606,-2.68680305558654e-05
"weight_persistence_to_learning_success",0.443133360413143,-0.000234311371346066
"weight_interest_to_learning_success",0.265447728977565,0.000140358246419191
"weight_knowledge_to_learning_success",0.140151012818059,-7.41063051049082e-05
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.258206379457188,-0.000136529307575738
"weight_motivation_to_maintain_good_nutrition_inter_one",0.47648062401023,0.000251944083667223
"weight_persistence_to_maintain_good_nutrition_inter_one",0.869429519936927,-0.000459719897674243
"weight_interest_to_maintain_good_nutrition_inter_one",0.310081102714547,0.000163958606812648
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.349882635642143,-0.000185004081144
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.129469958677593,6.84585866827588e-05
"weight_motivation_to_maintain_good_nutrition_inter_two",0.313821423100355,0.000165936340102814
"weight_interest_to_maintain_good_nutrition_inter_two",0.506546277526,0.000267841610540685
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.117691867269709,-6.2230798400135e-05
"chance_good_nutritionist_inter_one",2.1651768322607,0.00114485976027791
"chance_good_nutrition_team_inter_two",0.134623797478875,-7.11837325307242e-05
"weight_good_nutritionist_to_maintain_good_nutrition",0.712226442858438,0.000376597136310168
"weight_good_nutrition_team_to_maintain_good_nutrition",0.0297361138497545,1.5723279349004e-05
"chance_good_support",1.75837527832127,0.000929759209327759
"weight_good_support_to_maintain_good_nutrition_inter_one",0.640811696221627,0.000338835846563889
"weight_good_support_to_maintain_good_nutrition_inter_two",0.751997089532651,-0.000397626279213936
"chance_good_kitchen_staff",3.7208475912642,0.00196743684760269
"chance_regular_audit",0.19436153171739,0.000102770680571566
"weight_good_kitchen_staff_to_good_food_safety",0.133019030018438,-7.03351950520838e-05
"weight_regular_audit_to_good_food_safety",0.234585356923949,0.000124039446335773
"chance_tasty_food_conditional_on_good_kitchen_staff",0.550438607048947,0.000291050136101719
"weight_good_food_safety_to_maintain_good_nutrition",0.29692410140212,0.000157001705582187
"weight_tasty_food_to_maintain_good_nutrition",0.551325942389966,-0.000291519323888448
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.394160590610511,0.000208416510168448
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.368670921466702,-0.000194938582605795
"chance_athletes_good_health",1.78408016182206,0.000943350933719141
"weight_good_health_to_maintain_good_nutrition",0.320212905403634,-0.000169315902819598
"total_main_meals_all_athletes",0.209781660320285,-0.000110924233885422
"total_snack_time_all_athletes",0.150933660355684,-7.98077420920186e-05
"pork_restriction",0.527583469410332,-0.000278965244462294
"beef_restriction",0.739847031348477,-0.000391201809631203
"prawn_restriction",0.346038380621186,0.000182971391334944
"egg_restriction",0.348592953330119,-0.00018432214821336
"dairy_restriction",0.271732141419093,0.000143681194833425
"percent_athlete_with_dietary_restriction",0.675296939593133,-0.000357070277521755
"number_athlete",1.84423703651465,-0.000975159506632658
"chance_good_water_intake_current",1.77005944994618,0.000935937336548704
"weight_current_good_water_intake_to_maintain_good_water_intake",0.825260432938851,-0.000436365033720931
"weight_good_learning_outcome_to_maintain_good_water_intake",1.02584740027255,-0.000542427478097244
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.398184600356431,0.000210544247157144
"weight_good_water_intake_to_nutrition_outcome",0.3429122852313,-0.00018131843589715
"weight_good_carb_intake_to_nutrition_outcome",1.12739050885977,0.00059611945245375
"weight_good_protein_intake_to_nutrition_outcome",0.0516471719764769,-2.73089791314107e-05
"weight_good_fat_intake_to_nutrition_outcome",0.347958320629485,0.000183986579574952
"weight_vegetable_intake_to_nutrition_outcome",2.27127954806248,-0.00120096267435299
"weight_fruit_intake_to_nutrition_outcome",0.332892820644468,0.000176020539829688
"chance_good_rest",0.384434573192319,-0.000203273777342222
"chance_enough_recovery_time",0.057366114520081,3.03329294582196e-05
"chance_personal_problem",0.0843050686968371,4.4577181549508e-05
"chance_good_team_relationship",0.324789667093567,0.000171735913145367
"weight_good_rest_to_mental_health",0.23118214513394,-0.000122239962720379
"weight_recovery_time_to_mental_health",0.267014813929457,0.000141186858879673
"weight_personal_problem_to_mental_health",0.657994884470435,0.000347921635995139
