"","VIP","Coefficient"
"var_CV",0.201796699466954,-0.000103657024968256
"total_egg_serving_all_athletes",0.449723406010476,0.000231009676812237
"total_dairy_serving_all_athletes",0.473042186153394,0.000242987847822411
"total_sandwich_serving_all_athletes",0.347868608926644,0.000178689865475658
"total_vegetable_mushroom_serving_all_athletes",0.0480034451853513,2.4657956890693e-05
"total_bean_nut_serving_all_athletes",1.0534593202009,0.000541131045976246
"total_fruit_serving_all_athletes",0.456299820431149,-0.000234387787334391
"total_sports_drink_serving_all_athletes",0.340467528284055,-0.000174888148187974
"total_chicken_serving_all_athletes",0.189395163878032,-9.72867211546591e-05
"total_pork_serving_all_athletes",0.215527250012248,-0.000110710004647612
"total_beef_serving_all_athletes",1.18599287943121,0.000609209634449484
"total_fish_serving_all_athletes",0.213667487698734,-0.000109754699486149
"total_prawn_serving_all_athletes",0.306191149596476,0.000157281381323972
"total_rice_noodle_serving_all_athletes",0.314850782748782,-0.000161729579992512
"total_fat_oil_serving_all_athletes",0.313112261269512,-0.000160836552679079
"total_prawn_serving_per_person",0.0520072364008386,2.67145865931992e-05
"total_beef_serving_per_person",0.860429109187703,-0.000441977108099777
"total_pork_serving_per_person",0.742684090436049,-0.000381494957594502
"total_dairy_serving_per_person",0.165771018008263,-8.51516927585313e-05
"total_egg_serving_per_person",0.333671208287631,0.000171397078644109
"prior_knowledge_ch_1",0.897895961596377,0.000461222727408055
"prior_knowledge_ch_2",0.0587996774879967,3.02036636555436e-05
"prior_knowledge_ch_3",0.127190929680447,-6.53342369248259e-05
"prior_knowledge_ch_4",0.422611755564579,-0.000217083219964209
"weight_contribution_ch_1",0.00995963331059365,-5.11597048652396e-06
"weight_contribution_ch_2",0.688059004275836,-0.000353435658631937
"weight_contribution_ch_3",0.320960187847408,-0.000164867801571567
"weight_contribution_ch_4",0.329950634587056,-0.00016948592944298
"chance_of_good_learning_hour",0.0489402299543788,-2.51391556538515e-05
"weight_learning_hour_to_interest_in_class",1.02179592846834,0.000524866493602144
"chance_of_good_learning_material",0.740921906968929,0.000380589775814363
"weight_learning_material_to_interest",0.481318146820967,0.000247238965228299
"weight_learning_material_to_motivation_inter_one",0.128503718880052,-6.60085780969109e-05
"weight_learning_material_to_motivation_inter_two",0.0853157873341415,-4.3824208826219e-05
"chance_of_good_trainer",2.93776561283887,0.00150904372710412
"weight_good_trainer_to_interest",0.496482392960517,0.000255028392135995
"weight_good_trainer_to_motivation_inter_one",0.0128665036114491,-6.60914420121395e-06
"weight_good_trainer_to_motivation_inter_two",0.863778930622549,0.000443697812774473
"weight_good_trainer_to_successful_ch1",0.0810266953212009,-4.16210285014122e-05
"weight_good_trainer_to_successful_ch2",1.10648168209767,-0.000568367072658184
"weight_good_trainer_to_successful_ch3",0.3940002726673,-0.000202386343330963
"weight_good_trainer_to_successful_ch4",0.16917934246282,-8.69024487125146e-05
"chance_of_good_facility",0.649105166106035,0.000333426218505104
"weight_good_facility_to_motivation",0.2516865756983,-0.000129283985963338
"chance_athletes_understand_nutrition_importance",4.36344901968779,0.0022413753305988
"weight_understand_nutrition_importance_to_motivation",0.692295683193256,-0.000355611915892266
"weight_understand_nutrition_importance_to_persistence",0.0140361939367439,-7.20997969344197e-06
"weight_understand_nutrition_importance_to_interest",0.173903681582189,8.93292026651242e-05
"weight_motivation_to_learning_success",1.08070677753599,-0.000555127262826002
"weight_persistence_to_learning_success",1.0213428496064,-0.00052463376032638
"weight_interest_to_learning_success",0.0507233057848045,-2.605506922609e-05
"weight_knowledge_to_learning_success",0.22804401004402,0.000117139495866062
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.0189088717450986,9.71293086448233e-06
"weight_motivation_to_maintain_good_nutrition_inter_one",2.05102819546754,0.00105355281543142
"weight_persistence_to_maintain_good_nutrition_inter_one",0.20931997412214,-0.000107521509723634
"weight_interest_to_maintain_good_nutrition_inter_one",0.236411763901555,0.000121437764731856
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.0519476782098538,2.66839933034859e-05
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.665803371327981,-0.00034200359504391
"weight_motivation_to_maintain_good_nutrition_inter_two",0.272796078774774,-0.00014012731637085
"weight_interest_to_maintain_good_nutrition_inter_two",0.108619646250499,-5.57947152414893e-05
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.0149611994609528,-7.68512780523952e-06
"chance_good_nutritionist_inter_one",0.343416709205253,-0.000176403055622992
"chance_good_nutrition_team_inter_two",2.29225183588592,0.00117746229950043
"weight_good_nutritionist_to_maintain_good_nutrition",0.0613409617053067,3.15090465595304e-05
"weight_good_nutrition_team_to_maintain_good_nutrition",0.64114880945828,0.000329339272277186
"chance_good_support",2.19997549918686,0.00113006266133757
"weight_good_support_to_maintain_good_nutrition_inter_one",0.525995213754802,0.000270188259517562
"weight_good_support_to_maintain_good_nutrition_inter_two",0.91536824817641,-0.000470197726756722
"chance_good_kitchen_staff",5.22422797379588,0.00268353214373708
"chance_regular_audit",0.54428359395663,0.000279582462139396
"weight_good_kitchen_staff_to_good_food_safety",0.81668841878702,-0.00041950880287492
"weight_regular_audit_to_good_food_safety",0.605656846339559,0.000311108095469599
"chance_tasty_food_conditional_on_good_kitchen_staff",0.518249462122782,0.000266209494887421
"weight_good_food_safety_to_maintain_good_nutrition",0.301916249117787,-0.000155085490772607
"weight_tasty_food_to_maintain_good_nutrition",0.214869017458352,-0.000110371889958648
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.192881047720206,-9.9077317083231e-05
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.394158378162513,0.000202467557470283
"chance_athletes_good_health",2.86165173017975,0.00146994626586681
"weight_good_health_to_maintain_good_nutrition",0.742567951676452,-0.000381435300532048
"total_main_meals_all_athletes",0.472054447986123,0.000242480475798302
"total_snack_time_all_athletes",0.235737639225715,0.000121091486727608
"pork_restriction",0.9037719532373,-0.000464241051364023
"beef_restriction",0.231511224058091,0.000118920501653452
"prawn_restriction",0.443268439508448,-0.000227693950511275
"egg_restriction",0.0442536701926269,2.2731807845278e-05
"dairy_restriction",0.184210473657112,9.46234983908473e-05
"percent_athlete_with_dietary_restriction",2.08068271671285,-0.00106878547016396
"number_athlete",1.19923132937309,-0.000616009836533023
"chance_good_water_intake_current",0.847304049693121,0.000435235151351557
"weight_current_good_water_intake_to_maintain_good_water_intake",0.0243646260245333,-1.2515391256837e-05
"weight_good_learning_outcome_to_maintain_good_water_intake",0.580852353677757,-0.000298366757667935
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.876012626580726,-0.000449981902309835
"weight_good_water_intake_to_nutrition_outcome",0.756446285227354,-0.000388564191991639
"weight_good_carb_intake_to_nutrition_outcome",0.40531757401576,0.000208199707927854
"weight_good_protein_intake_to_nutrition_outcome",1.49856451945643,0.000769768485907647
"weight_good_fat_intake_to_nutrition_outcome",0.128033920898852,-6.57672567016853e-05
"weight_vegetable_intake_to_nutrition_outcome",1.19429941003097,-0.000613476454729759
"weight_fruit_intake_to_nutrition_outcome",0.233550502685462,-0.000119968019061582
"chance_good_rest",0.228637005310212,-0.000117444100080483
"chance_enough_recovery_time",0.974743352459904,-0.000500696970220388
"chance_personal_problem",1.40128322829758,-0.000719797949951247
"chance_good_team_relationship",0.0235157791229633,1.20793635878875e-05
"weight_good_rest_to_mental_health",0.0987274056601275,-5.07133624117518e-05
"weight_recovery_time_to_mental_health",0.0607989745526213,-3.12306437116802e-05
"weight_personal_problem_to_mental_health",0.456536642699953,-0.000234509435963409
"weight_nutrition_outcome_to_mental_health",0.837198366363641,0.00043004415926907
"weight_team_relationship_to_mental_health",1.02234669851321,0.000525149407963198
"forty_dash_current_sec",0.268673481757501,-0.000138009659624816
"percent_increment_40_dash_if_optimal_training",0.0135111085789747,6.9402588001641e-06
"percent_increment_40_dash_current",0.121826087464122,6.25784753834462e-05
"ten_dash_current_sec",0.370497973309539,-0.000190313903901705
"percent_increment_10_dash_if_optimal_training",1.08517764060679,0.000557423813593107
"percent_increment_10_dash_current",0.261548086888361,0.000134349554004604
"shuttle_run_current",0.141400235488134,-7.26331390911129e-05
"percent_increment_shuttle_run_if_optimal_training",0.769482969317116,0.000395260752895585
"percent_increment_shuttle_run_current",0.931061531903918,-0.000478258904702016
"weight_nutrition_outcome_to_sports_performance",0.707236806544531,-0.000363286731190871
"weight_water_intake_to_sports_performance",0.672376584794432,0.000345380061330095
"weight_mental_health_to_sports_performance",0.0930790904958266,-4.78119891605486e-05
