"","VIP","Coefficient"
"var_CV",0.104440537043121,-0.000761036999170063
"total_egg_serving_per_year_all_athletes",0.137768786758135,0.00100389319149539
"total_dairy_serving_per_year_all_athletes",0.0370874516236255,-0.000270248733773318
"total_sandwich_serving_per_year_all_athletes",0.193583678209756,-0.00141060497890995
"total_vegetable_mushroom_serving_per_year_all_athletes",0.557863139966733,-0.00406503549299619
"total_bean_nut_serving_per_year_all_athletes",0.0965604334421655,0.00070361628335026
"total_fruit_serving_per_year_all_athletes",0.404089274329687,0.00294451653964305
"total_sports_drink_serving_per_year_all_athletes",0.427990365834503,0.00311867894315697
"total_chicken_serving_per_year_all_athletes",0.30605144800064,-0.00223013479413548
"total_pork_serving_per_year_all_athletes",0.0986481454133242,0.000718829016821806
"total_beef_serving_per_year_all_athletes",5.90152039394579,0.0430031815069572
"total_fish_serving_per_year_all_athletes",0.188307698615231,-0.00137215998626651
"total_prawn_serving_per_year_all_athletes",0.340396331027522,0.00248039898709758
"total_rice_noodle_serving_per_year_all_athletes",0.384403354642941,-0.00280106923777674
"total_fat_oil_serving_per_year_all_athletes",0.137355637599785,-0.00100088265741942
"total_prawn_serving_per_year_per_person",0.554961528874092,-0.00404389204179208
"total_beef_serving_per_year_per_person",3.34463634811424,-0.0243716863370115
"total_pork_serving_per_year_per_person",0.190131326807135,-0.00138544839482951
"total_dairy_serving_per_year_per_person",0.777211030195117,-0.00566337905651857
"total_egg_serving_per_year_per_person",0.113732173785063,0.000828743270543847
"prior_knowledge_ch_1",0.0319753175854397,-0.000232997650449515
"prior_knowledge_ch_2",0.0457050284612545,-0.00033304326741229
"prior_knowledge_ch_3",0.127183442944234,-0.000926759939222008
"prior_knowledge_ch_4",0.247230164490195,0.00180151603787958
"weight_contribution_ch_1",0.225475179450271,0.00164299187666296
"weight_contribution_ch_2",0.322449292131683,-0.00234962255668111
"weight_contribution_ch_3",0.183351427726524,0.00133604464608343
"weight_contribution_ch_4",0.213001785079066,0.00155210078312323
"chance_of_good_learning_hour",0.271068210672664,-0.00197521904292342
"weight_learning_hour_to_interest_in_class",0.324517709089423,0.00236469469130544
"chance_of_good_learning_material",0.21645709352361,-0.00157727891456808
"weight_learning_material_to_interest",0.0248698732950708,0.00018122171982327
"weight_learning_material_to_motivation_inter_one",0.348413267987626,-0.00253881677983771
"weight_learning_material_to_motivation_inter_two",0.0887722627872062,0.000646865464251854
"chance_of_good_trainer",0.124609049725502,0.000908000858262293
"weight_good_trainer_to_interest",0.101874800486753,-0.000742340997552292
"weight_good_trainer_to_motivation_inter_one",0.559144487070921,0.00407437240931886
"weight_good_trainer_to_motivation_inter_two",0.125038769133405,0.000911132136384131
"weight_good_trainer_to_successful_ch1",0.114970866837936,0.000837769375450436
"weight_good_trainer_to_successful_ch2",0.0859822838397786,0.00062653545383625
"weight_good_trainer_to_successful_ch3",0.0747802056268241,-0.000544908183151733
"weight_good_trainer_to_successful_ch4",0.0349134532218851,0.000254407248592349
"chance_of_good_facility",0.270296573220964,0.00196959627740235
"weight_good_facility_to_motivation",0.053027452030119,0.000386400282009026
"chance_athletes_understand_nutrition_importance",0.204291446670315,-0.00148863031473972
"weight_understand_nutrition_importance_to_motivation",0.268522101545203,0.00195666606239708
"weight_understand_nutrition_importance_to_persistence",0.141184353381876,0.00102878173235692
"weight_understand_nutrition_importance_to_interest",0.302832336750354,-0.00220667778371335
"weight_motivation_to_learning_success",0.387066257477469,0.00282047327034538
"weight_persistence_to_learning_success",0.513946198105813,-0.00374502164978164
"weight_interest_to_learning_success",0.158314469043022,-0.00115360540894153
"weight_knowledge_to_learning_success",0.021156032140987,0.000154159712988402
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.262331830120966,0.00191155881072904
"weight_motivation_to_maintain_good_nutrition_inter_one",0.14758238960581,0.00107540292395835
"weight_persistence_to_maintain_good_nutrition_inter_one",0.0469916837928636,0.000342418863710973
"weight_interest_to_maintain_good_nutrition_inter_one",0.390572244599424,0.00284602068702823
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.192182048832743,-0.00140039159007425
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.220335230713829,-0.00160553811327744
"weight_motivation_to_maintain_good_nutrition_inter_two",0.0672848300245102,-0.000490290902184647
"weight_interest_to_maintain_good_nutrition_inter_two",0.0775755069769034,0.000565276976835378
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.146764702568792,0.00106944460445396
"chance_good_nutritionist_inter_one",0.268740823437725,0.00195825984444235
"chance_good_nutrition_team_inter_two",0.441673907586093,-0.00321838813508068
"weight_good_nutritionist_to_maintain_good_nutrition",0.334023262844093,-0.0024339597325405
"weight_good_nutrition_team_to_maintain_good_nutrition",0.249167239095386,-0.00181563110743436
"chance_good_support",0.326598489534816,-0.00237985691615535
"weight_good_support_to_maintain_good_nutrition_inter_one",0.0231829122778917,-0.000168929177228427
"weight_good_support_to_maintain_good_nutrition_inter_two",0.429800029832121,0.00313186559746998
"chance_good_kitchen_staff",0.163315101385896,0.0011900440020388
"chance_regular_audit",0.408687819079974,-0.00297802520204933
"weight_good_kitchen_staff_to_good_food_safety",0.339313388707082,0.00247250780617152
"weight_regular_audit_to_good_food_safety",0.0273454718828407,0.000199260904355691
"chance_tasty_food_conditional_on_good_kitchen_staff",0.701416969791507,-0.00511108311935136
"weight_good_food_safety_to_maintain_good_nutrition",0.309431844536738,-0.00225476705770546
"weight_tasty_food_to_maintain_good_nutrition",0.584537689035355,0.00425940751895597
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.67466598337073,-0.00491615410991796
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.748059110272268,0.00545095493188035
"chance_athletes_good_health",0.343595356891227,-0.00250370963938363
"weight_good_health_to_maintain_good_nutrition",0.538413399510986,-0.00392330918125799
"total_main_meals_per_year_all_athletes",0.25474496061725,-0.00185627483226942
"total_snack_time_per_year_all_athletes",0.0317727242628385,-0.000231521394020264
"pork_restriction",0.912791152830896,0.006651323896703
"beef_restriction",3.84537250438703,-0.028020449092688
"prawn_restriction",0.741206212986012,0.00540101926002336
"egg_restriction",0.260287826168075,0.00189666456871688
"dairy_restriction",1.02351432904791,0.00745814121258856
"percent_athlete_with_dietary_restriction",4.18375016574904,-0.0304861384435844
"number_athlete",3.24898572998227,-0.0236746996931965
"chance_good_water_intake_current",0.355538449315807,0.00259073653025322
"weight_current_good_water_intake_to_maintain_good_water_intake",0.821271562582618,0.00598443921476129
"weight_good_learning_outcome_to_maintain_good_water_intake",0.215977430140197,-0.0015737837048319
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.0921859684338362,0.000671740444550822
"weight_good_water_intake_to_nutrition_outcome",0.807010551735844,-0.00588052212272758
"weight_good_carb_intake_to_nutrition_outcome",0.0959303781401294,-0.000699025198222321
"weight_good_protein_intake_to_nutrition_outcome",0.0923730366189088,0.00067310357245344
"weight_good_fat_intake_to_nutrition_outcome",0.580227350282836,-0.00422799895516939
"weight_vegetable_intake_to_nutrition_outcome",0.245506052438434,0.00178895278323485
"weight_fruit_intake_to_nutrition_outcome",0.271872209431112,0.00198107761871965
"chance_bad_rest_conditional_on_personal_problem",0.185432715251244,-0.0013512105659175
"chance_good_rest_in_athletes_without_personal_problem",0.765174373827071,0.00557567038418
"weight_maintain_good_nutrition_to_reduce_tiredness",0.462313622712315,0.00336878555075942
"weight_maintain_good_water_intake_to_reduce_tiredness",0.278705145145099,0.00203086783465035
