"","VIP","Coefficient"
"var_CV",1.1077749150781,-0.000919309032657997
"total_egg_serving_per_year_all_athletes",6.01782303036417,0.00499401005876818
"total_dairy_serving_per_year_all_athletes",0.95032104455528,-0.000788642808474371
"total_sandwich_serving_per_year_all_athletes",0.809384873240204,-0.000671684125302664
"total_vegetable_mushroom_serving_per_year_all_athletes",0.301553871974188,0.000250250474681781
"total_bean_nut_serving_per_year_all_athletes",0.820514553684199,0.000680920311845162
"total_fruit_serving_per_year_all_athletes",0.171675136574663,-0.000142468024494629
"total_sports_drink_serving_per_year_all_athletes",0.548463884705297,0.000455153656607873
"total_chicken_serving_per_year_all_athletes",0.608229652069411,0.00050475146662661
"total_pork_serving_per_year_all_athletes",0.207965974403018,-0.000172584697624009
"total_beef_serving_per_year_all_athletes",0.299421713039105,0.000248481060208312
"total_fish_serving_per_year_all_athletes",0.0189854791324983,-1.57554772348452e-05
"total_prawn_serving_per_year_all_athletes",0.523175574163615,0.000434167649445949
"total_rice_noodle_serving_per_year_all_athletes",0.443036853774044,-0.000367662939403303
"total_fat_oil_serving_per_year_all_athletes",0.96615654275964,-0.000801784211423436
"total_prawn_serving_per_year_per_person",0.148475401723577,0.000123215263384426
"total_beef_serving_per_year_per_person",0.397668023201389,0.000330012713550669
"total_pork_serving_per_year_per_person",0.299650367732282,-0.000248670813850443
"total_dairy_serving_per_year_per_person",0.321777726298812,0.00026703364218515
"total_egg_serving_per_year_per_person",2.80044741966416,-0.00232400695605166
"prior_knowledge_ch_1",0.164804367952253,-0.000136766180582196
"prior_knowledge_ch_2",0.432708523999297,0.000359091769642227
"prior_knowledge_ch_3",0.739833242852099,0.000613965322338645
"prior_knowledge_ch_4",1.19820276060699,0.000994352377715729
"weight_contribution_ch_1",0.41598088737672,0.000345210007893658
"weight_contribution_ch_2",0.173357189293339,-0.000143863909377595
"weight_contribution_ch_3",0.361656791662043,0.000300128077257993
"weight_contribution_ch_4",0.601941769147659,0.000499533341998959
"chance_of_good_learning_hour",0.16710742903696,0.000138677421601573
"weight_learning_hour_to_interest_in_class",0.935349807802162,0.000776218630069652
"chance_of_good_learning_material",0.522065402907062,-0.000433246351761685
"weight_learning_material_to_interest",0.67709555674316,0.000561901206476315
"weight_learning_material_to_motivation_inter_one",0.236718290752501,-0.000196445378860012
"weight_learning_material_to_motivation_inter_two",0.542244238851665,0.000449992159867559
"chance_of_good_trainer",0.615393362509427,-0.000510696414129225
"weight_good_trainer_to_interest",0.208608605423785,-0.000173117997750249
"weight_good_trainer_to_motivation_inter_one",0.362146465681502,0.000300534442976353
"weight_good_trainer_to_motivation_inter_two",0.460467340335259,-0.000382127975144087
"weight_good_trainer_to_successful_ch1",0.943572067272244,0.000783042035525779
"weight_good_trainer_to_successful_ch2",0.259393452177709,0.000215262812285739
"weight_good_trainer_to_successful_ch3",1.10927839950464,0.000920556729094309
"weight_good_trainer_to_successful_ch4",0.216358989157211,-0.000179549807746779
"chance_of_good_facility",0.926325411824234,0.000768729555688322
"weight_good_facility_to_motivation",0.602629988865705,-0.00050010447481181
"chance_athletes_understand_nutrition_importance",0.357099758691651,0.0002963463328668
"weight_understand_nutrition_importance_to_motivation",1.16079942642943,0.000963312477377737
"weight_understand_nutrition_importance_to_persistence",0.293991202214002,0.000243974442857158
"weight_understand_nutrition_importance_to_interest",0.296385117961009,-0.000245961081423975
"weight_motivation_to_learning_success",0.289002417168021,0.000239834400424047
"weight_persistence_to_learning_success",0.0397972543232586,-3.30265425551541e-05
"weight_interest_to_learning_success",0.123623026111932,0.000102591025489327
"weight_knowledge_to_learning_success",0.391820589161516,-0.000325160104182504
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.0546113539773232,-4.53203176147899e-05
"weight_motivation_to_maintain_good_nutrition_inter_one",0.347121758691671,-0.000288065891232863
"weight_persistence_to_maintain_good_nutrition_inter_one",0.818652857709655,-0.000679375346435524
"weight_interest_to_maintain_good_nutrition_inter_one",1.59511942054923,0.00132374155753086
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.645443846458928,-0.000535634405551943
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.181023592279328,0.000150226026281568
"weight_motivation_to_maintain_good_nutrition_inter_two",1.29263559635069,-0.00107271934351092
"weight_interest_to_maintain_good_nutrition_inter_two",0.619945720787081,0.000514474279133731
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.281306607967576,-0.000233447880188497
"chance_good_nutritionist_inter_one",0.326603651998094,0.000271038532552227
"chance_good_nutrition_team_inter_two",0.1222354121874,0.000101439486492278
"weight_good_nutritionist_to_maintain_good_nutrition",0.607113496436288,0.000503825202688498
"weight_good_nutrition_team_to_maintain_good_nutrition",0.719419967253957,-0.000597024959826297
"chance_good_support",0.574862847035691,0.000477061360233224
"weight_good_support_to_maintain_good_nutrition_inter_one",0.643573484033266,-0.000534082248115581
"weight_good_support_to_maintain_good_nutrition_inter_two",0.151027543248171,0.000125333208757847
"chance_good_kitchen_staff",0.0749208055182938,6.21745196695708e-05
"chance_regular_audit",1.63137928069916,0.00135383252321805
"weight_good_kitchen_staff_to_good_food_safety",0.446290417300784,0.000370362973767456
"weight_regular_audit_to_good_food_safety",1.09556319825821,0.00090917489672119
"chance_tasty_food_conditional_on_good_kitchen_staff",0.166346224127058,0.000138045720576526
"weight_good_food_safety_to_maintain_good_nutrition",0.215106592462841,-0.000178510481455911
"weight_tasty_food_to_maintain_good_nutrition",0.087371572395082,-7.25070360477228e-05
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.647490458434143,-0.000537332827180338
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",1.00834441873938,0.000836794658878904
"chance_athletes_good_health",0.038036442547901,3.15652979034979e-05
"weight_good_health_to_maintain_good_nutrition",1.15091593263833,-0.000955110463599751
"total_main_meals_per_year_all_athletes",0.292101858712198,0.000242406533597469
"total_snack_time_per_year_all_athletes",0.643831419426767,0.000534296300928891
"pork_restriction",0.534926753617418,-0.00044391959929535
"beef_restriction",1.48247351214012,0.00123026011136076
"prawn_restriction",1.28765314641645,0.00106858455839621
"egg_restriction",2.89308007873317,-0.00240088000945102
