"","VIP","Coefficient"
"var_CV",0.50814420833699,1.13121336727601e-05
"total_egg_serving_per_year_all_athletes",0.596701560165062,1.32835673428659e-05
"total_dairy_serving_per_year_all_athletes",0.283038134572367,6.30089876110119e-06
"total_sandwich_serving_per_year_all_athletes",0.443751958698789,-9.87865529507489e-06
"total_vegetable_mushroom_serving_per_year_all_athletes",0.195367318509289,4.34920084890577e-06
"total_bean_nut_serving_per_year_all_athletes",0.360798219462607,-8.03196734409727e-06
"total_fruit_serving_per_year_all_athletes",0.328828899016364,-7.32027719712353e-06
"total_sports_drink_serving_per_year_all_athletes",0.557077253585951,-1.24014644961558e-05
"total_chicken_serving_per_year_all_athletes",1.98577242509616,4.42065908610566e-05
"total_pork_serving_per_year_all_athletes",0.406177972555297,-9.04219598509935e-06
"total_beef_serving_per_year_all_athletes",0.0552488003892119,-1.22993001791321e-06
"total_fish_serving_per_year_all_athletes",1.93575392536811,4.30930960189402e-05
"total_prawn_serving_per_year_all_athletes",1.2382324516058,-2.75651100233049e-05
"total_rice_noodle_serving_per_year_all_athletes",1.28533119359703,-2.86136062109665e-05
"total_fat_oil_serving_per_year_all_athletes",0.812793076111083,1.80941232319723e-05
"total_prawn_serving_per_year_per_person",0.194873243136136,4.33820191086057e-06
"total_beef_serving_per_year_per_person",0.321903745014218,-7.16611177224718e-06
"total_pork_serving_per_year_per_person",1.23950698333391,2.75934832154855e-05
"total_dairy_serving_per_year_per_person",1.25085406951762,2.78460881917904e-05
"total_egg_serving_per_year_per_person",1.51084142709884,-3.36338383893406e-05
"prior_knowledge_ch_1",0.82142991340375,1.82863935685452e-05
"prior_knowledge_ch_2",0.340266479549111,-7.57489672787215e-06
"prior_knowledge_ch_3",0.344094425945955,7.66011316962788e-06
"prior_knowledge_ch_4",0.191656765288055,-4.26659777412929e-06
"weight_contribution_ch_1",0.409926851096324,9.12565224512017e-06
"weight_contribution_ch_2",1.2850197460065,-2.86066728705519e-05
"weight_contribution_ch_3",0.177634682560099,-3.95444293385618e-06
"weight_contribution_ch_4",0.115246270899896,-2.56557331623109e-06
"chance_of_good_learning_hour",0.742882265904018,-1.65377925343904e-05
"weight_learning_hour_to_interest_in_class",1.24127672997658,-2.76328807137947e-05
"chance_of_good_learning_material",0.522430423927993,1.16301685490646e-05
"weight_learning_material_to_interest",0.826982694669357,-1.84100076979627e-05
"weight_learning_material_to_motivation_inter_one",0.912521811240338,2.0314250440525e-05
"weight_learning_material_to_motivation_inter_two",0.948191872551719,-2.11083252229385e-05
"chance_of_good_trainer",0.367585757176454,-8.1830692019325e-06
"weight_good_trainer_to_interest",0.399073149368588,8.88403082589698e-06
"weight_good_trainer_to_motivation_inter_one",0.176478795239232,-3.92871096314833e-06
"weight_good_trainer_to_motivation_inter_two",0.564501374563579,1.2566737754266e-05
"weight_good_trainer_to_successful_ch1",0.218833689591821,4.87160122687909e-06
"weight_good_trainer_to_successful_ch2",0.655159983662693,1.45849488996257e-05
