"","VIP","Coefficient"
"var_CV",0.164678542002854,0.00359908153620201
"total_egg_serving_per_year_all_athletes",0.0459426427411392,0.00100408538479223
"total_dairy_serving_per_year_all_athletes",0.127133384108326,-0.00277852481455187
"total_sandwich_serving_per_year_all_athletes",0.733632979697558,-0.016033691332612
"total_vegetable_mushroom_serving_per_year_all_athletes",0.265138701634167,-0.00579465784660373
"total_bean_nut_serving_per_year_all_athletes",0.289451669251635,0.00632602247843773
"total_fruit_serving_per_year_all_athletes",0.0363959089091895,0.000795439661750731
"total_sports_drink_serving_per_year_all_athletes",0.372754086337743,-0.00814661299138028
"total_chicken_serving_per_year_all_athletes",0.33340521534377,-0.00728663576943995
"total_pork_serving_per_year_all_athletes",0.197011062939898,-0.00430571506421419
"total_beef_serving_per_year_all_athletes",0.140337885471916,0.00306711175778354
"total_fish_serving_per_year_all_athletes",0.233763120150387,0.00510893841629741
"total_prawn_serving_per_year_all_athletes",0.228927927997085,0.00500326435220085
"total_rice_noodle_serving_per_year_all_athletes",0.285773040698296,-0.00624562533656458
"total_fat_oil_serving_per_year_all_athletes",0.287574563391823,-0.00628499796510782
"total_prawn_serving_per_year_per_person",0.570908636299068,0.0124773191866529
"total_beef_serving_per_year_per_person",0.243993318694011,-0.00533252139342505
"total_pork_serving_per_year_per_person",0.218024957257676,-0.00476497780799962
"total_dairy_serving_per_year_per_person",0.258320878697339,0.00564565300146364
"total_egg_serving_per_year_per_person",0.0431809221336394,0.000943727444251141
"prior_knowledge_ch_1",4.42636995420658,0.0967391754920205
"prior_knowledge_ch_2",7.4186097642802,0.162135158000403
"prior_knowledge_ch_3",0.262848081176067,-0.00574459589137309
"prior_knowledge_ch_4",0.359589097831425,0.00785888960932254
"weight_contribution_ch_1",3.52995817617332,0.0771479218902151
"weight_contribution_ch_2",2.57805951728048,-0.0563439917248793
"weight_contribution_ch_3",0.209201713287164,-0.00457214409647012
"weight_contribution_ch_4",0.0931970016076987,0.00203683858040134
"chance_of_good_learning_hour",0.272861139722961,0.00596343323167703
"weight_learning_hour_to_interest_in_class",0.0880481941914598,-0.00192431039379083
"chance_of_good_learning_material",0.664246155576417,0.0145172288080302
"weight_learning_material_to_interest",0.0554022017856604,0.00121082588591446
"weight_learning_material_to_motivation_inter_one",0.0598399155195235,0.00130781298191523
"weight_learning_material_to_motivation_inter_two",0.0308003082983393,0.000673146723050055
"chance_of_good_trainer",0.00724248106506213,-0.00015828583105324
"weight_good_trainer_to_interest",0.114962068218175,0.0025125183406133
"weight_good_trainer_to_motivation_inter_one",0.0998168958500065,0.00218151765546072
"weight_good_trainer_to_motivation_inter_two",0.175404423439205,-0.00383349775927247
"weight_good_trainer_to_successful_ch1",0.522858652597802,0.0114271774556735
"weight_good_trainer_to_successful_ch2",0.51619748320789,0.0112815963042426
"weight_good_trainer_to_successful_ch3",0.405518867019888,-0.00886269364011941
"weight_good_trainer_to_successful_ch4",0.116593101769273,0.0025481648958189
"chance_of_good_facility",0.160867501032287,-0.00351579049521962
"weight_good_facility_to_motivation",0.103743777803855,0.00226734042364322
"chance_athletes_understand_nutrition_importance",0.0493710431195728,-0.00107901374127789
"weight_understand_nutrition_importance_to_motivation",0.0285917848101601,0.000624879013050314
"weight_understand_nutrition_importance_to_persistence",0.0765886725719,-0.00167386032195359
"weight_understand_nutrition_importance_to_interest",0.0836658636288922,0.00182853370776092
"weight_motivation_to_learning_success",0.38387574268538,-0.00838967895204487
"weight_persistence_to_learning_success",0.0610566808068496,-0.00133440562371449
"weight_interest_to_learning_success",0.191814999434859,-0.00419215408660001
"weight_knowledge_to_learning_success",0.355321439674839,0.00776561911100879
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.471682881707719,-0.0103087210382721
"weight_motivation_to_maintain_good_nutrition_inter_one",0.121220823865808,0.00264930466150874
"weight_persistence_to_maintain_good_nutrition_inter_one",0.0892252274175124,0.00195003468367013
"weight_interest_to_maintain_good_nutrition_inter_one",0.181104191478389,-0.00395806729736146
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.331231233731554,0.00723912297885164
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.305166482557685,-0.0066694727769817
"weight_motivation_to_maintain_good_nutrition_inter_two",0.215190402592653,0.00470302806497806
"weight_interest_to_maintain_good_nutrition_inter_two",0.712926584307427,0.0155811490376442
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.144589729501884,-0.00316003663528703
"chance_good_nutritionist_inter_one",0.11239001912916,-0.00245630570796613
"chance_good_nutrition_team_inter_two",0.0215440451945409,0.000470849294217274
"weight_good_nutritionist_to_maintain_good_nutrition",0.11475373072379,0.00250796508418887
"weight_good_nutrition_team_to_maintain_good_nutrition",0.658817605791659,-0.0143985867975955
"chance_good_support",0.333876788656919,0.00729694209583608
"weight_good_support_to_maintain_good_nutrition_inter_one",0.160270914846676,0.00350275198820305
"weight_good_support_to_maintain_good_nutrition_inter_two",0.108316857288339,-0.00236728596442839
"chance_good_kitchen_staff",0.320794113870791,0.00701101769612848
"chance_regular_audit",0.251630068180772,-0.00549942403744971
"weight_good_kitchen_staff_to_good_food_safety",0.353044788876919,0.00771586246541599
"weight_regular_audit_to_good_food_safety",0.248654874493064,0.00543440060125806
"chance_tasty_food_conditional_on_good_kitchen_staff",0.258877418761256,-0.00565781629270875
"weight_good_food_safety_to_maintain_good_nutrition",0.0947913919825275,0.00207168429186899
"weight_tasty_food_to_maintain_good_nutrition",0.578469781362318,-0.0126425694813101
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.459727114647608,-0.0100474254259001
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.194386810986767,-0.00424836152782757
"chance_athletes_good_health",0.111527027738759,-0.00243744486343035
"weight_good_health_to_maintain_good_nutrition",0.140972551163918,-0.003080982499812
"total_main_meals_per_year_all_athletes",0.608036478036674,-0.0132887553825996
"total_snack_time_per_year_all_athletes",0.609784314757791,-0.0133269546937835
"pork_restriction",0.0752163747220741,0.00164386848577744
"beef_restriction",0.124080607701431,0.00271180579295633
"prawn_restriction",0.137598928509554,-0.00300725132113043
"egg_restriction",0.0928738473701596,-0.00202977598174382
"dairy_restriction",0.125521106767008,-0.00274328817995577
"percent_athlete_with_dietary_restriction",0.0731396925166371,0.00159848219263174
"number_athlete",0.135628369958241,0.0029641843810678
"chance_good_water_intake_current",0.147173775181456,-0.00321651145575203
"weight_current_good_water_intake_to_maintain_good_water_intake",0.283624414306952,0.00619866668925552
"weight_good_learning_outcome_to_maintain_good_water_intake",0.403089733467372,0.00880960445429411
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.266438306195531,0.00582306095683462
"weight_good_water_intake_to_nutrition_outcome",0.356645351362189,0.00779455345820152
"weight_good_carb_intake_to_nutrition_outcome",0.226818179427261,0.00495715538723593
"weight_good_protein_intake_to_nutrition_outcome",0.378199121872315,0.00826561530108075
