"","VIP","Coefficient"
"var_CV",0.0392777161049597,439.228218919494
"total_egg_serving_all_athletes",0.103919626233568,-1162.09486873872
"total_dairy_serving_all_athletes",0.219874763062975,-2458.77841541051
"total_sandwich_serving_all_athletes",0.0594664204775241,664.991057068171
"total_vegetable_mushroom_serving_all_athletes",0.211514797704593,2365.29200482648
"total_bean_nut_serving_all_athletes",10.1846131454715,113890.77410498
"total_fruit_serving_all_athletes",0.00363968161713867,-40.7012177046613
"total_sports_drink_serving_all_athletes",0.746920537342507,8352.53700634379
"total_chicken_serving_all_athletes",0.313251623963191,3502.97742616501
"total_pork_serving_all_athletes",0.406195786621146,4542.3377319966
"total_beef_serving_all_athletes",0.0930437854568715,1040.47435086453
"total_fish_serving_all_athletes",0.239001258362426,-2672.66296109286
"total_prawn_serving_all_athletes",0.530175131540155,5928.75303949728
"total_rice_noodle_serving_all_athletes",0.27111769105315,-3031.80918769877
"total_fat_oil_serving_all_athletes",0.535775391378739,5991.37868065763
"total_prawn_serving_per_person",0.29665637637583,-3317.3988904669
"total_beef_serving_per_person",0.308833393415293,3453.56998279068
"total_pork_serving_per_person",0.538165671246801,-6018.1082992119
"total_dairy_serving_per_person",0.368757401785982,-4123.6780765719
"total_egg_serving_per_person",0.172004205103041,-1923.45961389879
"prior_knowledge_ch_1",0.296030175402774,3310.39631584301
"prior_knowledge_ch_2",0.519224260896137,5806.29349027765
"prior_knowledge_ch_3",0.320748532981021,3586.81259587049
"prior_knowledge_ch_4",0.120872742182278,-1351.67531438859
"weight_contribution_ch_1",0.0601591322324678,672.737397245778
"weight_contribution_ch_2",0.28907806622566,-3232.65344190813
"weight_contribution_ch_3",0.0385384866043659,-430.961687941703
"weight_contribution_ch_4",0.0323940248989125,-362.250437931814
"chance_of_good_learning_hour",0.165902164855185,-1855.22274740995
"weight_learning_hour_to_interest_in_class",0.12541700085034,1402.49208376868
"chance_of_good_learning_material",0.860608007690234,9623.86207475808
"weight_learning_material_to_interest",0.814180498353335,-9104.68035399761
"weight_learning_material_to_motivation_inter_one",0.26360716892767,-2947.82178762911
"weight_learning_material_to_motivation_inter_two",0.214570447893147,2399.46221437668
"chance_of_good_trainer",0.00802538483025699,89.7449198858128
"weight_good_trainer_to_interest",0.15074108021372,1685.68192721146
"weight_good_trainer_to_motivation_inter_one",0.511930901323109,5724.73453897202
"weight_good_trainer_to_motivation_inter_two",0.672733469584097,-7522.93037770705
"weight_good_trainer_to_successful_ch1",0.499635255353771,-5587.23686305969
"weight_good_trainer_to_successful_ch2",0.271741147346221,-3038.78106957826
"weight_good_trainer_to_successful_ch3",0.284072458168701,3176.67757239495
"weight_good_trainer_to_successful_ch4",0.0675706099510245,755.617220226936
"chance_of_good_facility",0.0978988566315581,-1094.7668219208
"weight_good_facility_to_motivation",0.108971375404578,-1218.58671731976
"chance_athletes_understand_nutrition_importance",0.666096125487323,7448.70740562305
"weight_understand_nutrition_importance_to_motivation",0.57196693669732,-6396.09538943332
"weight_understand_nutrition_importance_to_persistence",0.130958307430294,1464.45847237173
"weight_understand_nutrition_importance_to_interest",0.439906253053399,4919.30945027109
"weight_motivation_to_learning_success",0.160222625997676,-1791.71055820828
"weight_persistence_to_learning_success",0.149846813167816,1675.68166852123
"weight_interest_to_learning_success",0.3594504604855,4019.60198314337
"weight_knowledge_to_learning_success",0.196940381737386,2202.31168412856
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.0256589198851432,286.934241553988
"weight_motivation_to_maintain_good_nutrition_inter_one",0.0477982479485382,-534.510185312374
"weight_persistence_to_maintain_good_nutrition_inter_one",0.0752289510738007,-841.257625647813
"weight_interest_to_maintain_good_nutrition_inter_one",0.0798162076436084,892.555224711344
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.595972584567803,-6664.54169954933
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.206760098693682,-2312.1219586741
"weight_motivation_to_maintain_good_nutrition_inter_two",0.0551112358136358,-616.288632571966
"weight_interest_to_maintain_good_nutrition_inter_two",0.321954603841644,3600.29964166986
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.0495461552817663,554.056388629251
"chance_good_nutritionist_inter_one",0.516485053806502,5775.66194724147
"chance_good_nutrition_team_inter_two",0.365498281856356,-4087.23253991928
"weight_good_nutritionist_to_maintain_good_nutrition",0.029277868311671,-327.40360763163
"weight_good_nutrition_team_to_maintain_good_nutrition",0.495079586481078,-5536.29249756773
"chance_good_support",0.687353393570134,7686.41959780238
"weight_good_support_to_maintain_good_nutrition_inter_one",0.341249450553682,3816.06679913406
"weight_good_support_to_maintain_good_nutrition_inter_two",0.207211168163316,-2317.16610225992
"chance_good_kitchen_staff",1.02211486557294,11429.9337246865
"chance_regular_audit",0.0658208938937953,-736.050790616366
"weight_good_kitchen_staff_to_good_food_safety",0.434437966012754,4858.15961225645
"weight_regular_audit_to_good_food_safety",0.24287169395621,-2715.94461544765
"chance_tasty_food_conditional_on_good_kitchen_staff",0.0971386352331382,1086.26554628858
"weight_good_food_safety_to_maintain_good_nutrition",0.0474991561397456,531.165551879047
"weight_tasty_food_to_maintain_good_nutrition",0.0480492026960936,-537.31651973629
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.651803679557317,7288.88025189893
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.181841134858421,-2033.46237283074
"chance_athletes_good_health",0.276482435901232,3091.80115154626
"weight_good_health_to_maintain_good_nutrition",0.547558047437582,6123.13977952186
"total_main_meals_all_athletes",0.329961139661176,3689.83378001769
"total_snack_time_all_athletes",0.447250775446283,5001.44053652927
"pork_restriction",0.279625586456167,-3126.94984543545
"beef_restriction",0.0599339639138066,-670.219422949657
"prawn_restriction",0.376532243571256,4210.62126595188
"egg_restriction",0.0602365317348283,-673.602927346261
"dairy_restriction",0.50955749659482,5698.1936288846
"percent_athlete_with_dietary_restriction",0.506770172343492,5667.02400936827
"number_athlete",0.157981518204692,1766.64907597524
"chance_good_water_intake_current",0.254191871170463,2842.53398389215
"weight_current_good_water_intake_to_maintain_good_water_intake",0.182931088355787,-2045.65092096512
"weight_good_learning_outcome_to_maintain_good_water_intake",0.433341221001263,4845.89511712341
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.333261974259467,3726.74579643129
"weight_good_water_intake_to_nutrition_outcome",0.0347619136804537,-388.729665220298
"weight_good_carb_intake_to_nutrition_outcome",0.297266430936892,3324.22090571806
"weight_good_protein_intake_to_nutrition_outcome",0.0635860146445762,-711.058959892005
"weight_good_fat_intake_to_nutrition_outcome",0.0223879641923742,-250.356349925556
"weight_vegetable_intake_to_nutrition_outcome",0.209861508938821,-2346.80388606701
"weight_fruit_intake_to_nutrition_outcome",0.120540865584192,1347.96406074317
"chance_good_rest",0.516412978750892,-5774.85595846606
"chance_enough_recovery_time",0.370798727527503,-4146.50546977589
"chance_personal_problem",0.440815718223908,4929.47966398576
"chance_good_team_relationship",0.118223623306746,-1322.05119463843
"weight_good_rest_to_mental_health",0.324492423354981,3628.67914168466
"weight_recovery_time_to_mental_health",0.0485627303768881,543.059110471415
"weight_personal_problem_to_mental_health",0.750204090337922,-8389.25576896353
"weight_nutrition_outcome_to_mental_health",0.396921672571266,4438.62873360933
"weight_team_relationship_to_mental_health",0.207986248038624,-2325.8335347614
"forty_dash_current_sec",0.224716104522596,2512.91735212485
"percent_increment_40_dash_if_optimal_training",0.46167333591916,-5162.72271321775
"percent_increment_40_dash_current",0.466469427000772,5216.35563163702
"ten_dash_current_sec",0.172237086005518,1926.06383517637
"percent_increment_10_dash_if_optimal_training",0.209905941943458,2347.30076397701
"percent_increment_10_dash_current",0.214305846466316,-2396.50327416946
"shuttle_run_current",0.615592528121278,6883.9442951398
"percent_increment_shuttle_run_if_optimal_training",0.0897061186156147,-1003.15045305656
"percent_increment_shuttle_run_current",0.620344885382267,-6937.08815436612
"weight_nutrition_outcome_to_sports_performance",0.192331963859953,-2150.77744596327
"weight_water_intake_to_sports_performance",0.174857656977099,-1955.36871424123
"weight_mental_health_to_sports_performance",0.0967708991086014,-1082.15328877898
