"","VIP","Coefficient"
"var_CV",0.0494588112575279,355.990711687771
"total_egg_serving_all_athletes",0.394126043058792,2836.80919528427
"total_dairy_serving_all_athletes",0.3438253542762,2474.75888427171
"total_sandwich_serving_all_athletes",0.651966669076161,4692.67401742905
"total_vegetable_mushroom_serving_all_athletes",0.173570590162444,1249.31263710043
"total_bean_nut_serving_all_athletes",0.0328461208245577,236.417205169627
"total_fruit_serving_all_athletes",0.554756471438558,3992.98216151021
"total_sports_drink_serving_all_athletes",0.00858250522115254,61.7744758529164
"total_chicken_serving_all_athletes",0.0350447142052568,-252.242066350211
"total_pork_serving_all_athletes",0.489280106497936,-3521.7015714335
"total_beef_serving_all_athletes",10.2580886055797,73834.8571347988
"total_fish_serving_all_athletes",0.329446999992663,2371.26750540205
"total_prawn_serving_all_athletes",0.475215018945929,-3420.46499901532
"total_rice_noodle_serving_all_athletes",0.00245141881415484,-17.6446280472005
"total_fat_oil_serving_all_athletes",0.125578773484137,-903.880942724662
"total_prawn_serving_per_person",0.240015074524942,1727.5614804212
"total_beef_serving_per_person",0.559983226093469,-4030.60288190583
"total_pork_serving_per_person",1.00509312377532,-7234.37962514314
"total_dairy_serving_per_person",0.0643789141607255,-463.381445834373
"total_egg_serving_per_person",0.34211990348897,-2462.48352576515
"prior_knowledge_ch_1",0.311649228471406,-2243.1641161532
"prior_knowledge_ch_2",0.285787444460032,-2057.01821693644
"prior_knowledge_ch_3",0.461342441774184,-3320.6140625543
"prior_knowledge_ch_4",0.234717917331586,1689.43402221429
"weight_contribution_ch_1",0.18387996257767,1323.51662077568
"weight_contribution_ch_2",0.582467055107153,-4192.43520436847
"weight_contribution_ch_3",0.216389373911651,1557.51028506079
"weight_contribution_ch_4",1.06987691220993,-7700.67524293678
"chance_of_good_learning_hour",0.152847892278116,-1100.15644469782
"weight_learning_hour_to_interest_in_class",0.256639798657552,1847.22160214885
"chance_of_good_learning_material",0.524596694701491,3775.90051090061
"weight_learning_material_to_interest",0.706374105997251,5084.28355470231
"weight_learning_material_to_motivation_inter_one",0.305231309802261,-2196.96972982461
"weight_learning_material_to_motivation_inter_two",0.170362278562911,-1226.22010615207
"chance_of_good_trainer",0.0562028176376545,404.53218629757
"weight_good_trainer_to_interest",0.386285603802199,-2780.37590301677
"weight_good_trainer_to_motivation_inter_one",0.0309034629094278,-222.434495998312
"weight_good_trainer_to_motivation_inter_two",0.250106804662404,1800.19893575934
"weight_good_trainer_to_successful_ch1",0.187029949886953,1346.18934977033
"weight_good_trainer_to_successful_ch2",0.063735229232732,458.748381476519
"weight_good_trainer_to_successful_ch3",0.191703762769485,1379.8301497015
"weight_good_trainer_to_successful_ch4",0.0496975626616689,357.709177621658
"chance_of_good_facility",0.313287852851788,2254.95847684504
"weight_good_facility_to_motivation",0.373178249645531,2686.03282812402
"chance_athletes_understand_nutrition_importance",0.259072476426106,1864.73133738339
"weight_understand_nutrition_importance_to_motivation",0.0558562143907953,402.037432918234
"weight_understand_nutrition_importance_to_persistence",0.146918308670212,-1057.47695776881
"weight_understand_nutrition_importance_to_interest",0.294593485536496,2120.40164145183
"weight_motivation_to_learning_success",0.128936124106495,928.046214939058
"weight_persistence_to_learning_success",0.32383063894966,2330.84250702546
"weight_interest_to_learning_success",0.107924522477116,776.810574058102
"weight_knowledge_to_learning_success",0.596520715312354,4293.58952593552
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.0942492818379973,-678.380010851216
"weight_motivation_to_maintain_good_nutrition_inter_one",0.42945746202874,-3091.11488246628
"weight_persistence_to_maintain_good_nutrition_inter_one",0.43200142561773,3109.42562195892
"weight_interest_to_maintain_good_nutrition_inter_one",0.270689197002338,-1948.34524803478
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.436670441890315,3143.03189723119
