"","VIP","Coefficient"
"var_CV",0.129907542974658,-958.453519042497
"total_egg_serving_all_athletes",0.0796648635381624,587.764705988529
"total_dairy_serving_all_athletes",0.294931524044153,-2175.99494705114
"total_sandwich_serving_all_athletes",0.00213771144229903,15.7719637186011
"total_vegetable_mushroom_serving_all_athletes",0.110297085152326,813.768215329877
"total_bean_nut_serving_all_athletes",0.459426589802672,3389.63405553721
"total_fruit_serving_all_athletes",0.333962857722545,-2463.96682505268
"total_sports_drink_serving_all_athletes",0.0118243882061007,87.239941785926
"total_chicken_serving_all_athletes",10.2748525629085,75807.5194947196
"total_pork_serving_all_athletes",0.196306606709162,-1448.34359655614
"total_beef_serving_all_athletes",0.313226222219835,-2310.97261997752
"total_fish_serving_all_athletes",0.313829067446306,2315.42039195072
"total_prawn_serving_all_athletes",0.0685556927707373,-505.801614609303
"total_rice_noodle_serving_all_athletes",0.49275165339735,3635.50526319191
"total_fat_oil_serving_all_athletes",0.263367460343206,1943.1163378748
"total_prawn_serving_per_person",0.126755288614393,-935.196291514896
"total_beef_serving_per_person",0.610485148322958,4504.13906179
"total_pork_serving_per_person",0.199911715544894,1474.94196929892
"total_dairy_serving_per_person",0.384192696243761,-2834.56089826202
"total_egg_serving_per_person",0.376485146641586,-2777.69485438002
"prior_knowledge_ch_1",0.561450114773238,-4142.36021980801
"prior_knowledge_ch_2",0.262562636287347,-1937.17837283532
"prior_knowledge_ch_3",0.162379523977817,-1198.03071179126
"prior_knowledge_ch_4",0.0289476196037161,213.574571897628
"weight_contribution_ch_1",0.315403567233508,2327.03699886376
"weight_contribution_ch_2",0.139061344870273,1025.98996410621
"weight_contribution_ch_3",0.537094073578565,3962.66216026168
"weight_contribution_ch_4",0.356023626873804,-2626.73044402077
"chance_of_good_learning_hour",0.262880939539597,-1939.52680361352
"weight_learning_hour_to_interest_in_class",0.0140679477136426,103.79284899936
"chance_of_good_learning_material",0.550523740944585,4061.74579814592
"weight_learning_material_to_interest",0.223052448842595,1645.67352771761
"weight_learning_material_to_motivation_inter_one",0.256827456639833,-1894.86440869105
"weight_learning_material_to_motivation_inter_two",0.186618225333096,1376.86304191639
"chance_of_good_trainer",0.12732023097691,939.364417422073
"weight_good_trainer_to_interest",0.0246774177780654,182.069165259192
"weight_good_trainer_to_motivation_inter_one",0.0628941366401033,464.030842316878
"weight_good_trainer_to_motivation_inter_two",0.471352292404811,3477.6214915578
"weight_good_trainer_to_successful_ch1",0.544439454779619,-4016.85613776022
"weight_good_trainer_to_successful_ch2",0.148332534405757,1094.39249126145
"weight_good_trainer_to_successful_ch3",0.400424011427301,2954.31500029585
"weight_good_trainer_to_successful_ch4",0.221106301669905,1631.31491879061
"chance_of_good_facility",0.531105449616763,-3918.47829242014
"weight_good_facility_to_motivation",0.15983340289674,1179.24551538014
"chance_athletes_understand_nutrition_importance",0.109196372487605,-805.647194003484
"weight_understand_nutrition_importance_to_motivation",0.103940894280429,-766.872451085731
"weight_understand_nutrition_importance_to_persistence",0.124447475043567,-918.169319965729
"weight_understand_nutrition_importance_to_interest",0.0321232077202181,237.003955100454
"weight_motivation_to_learning_success",0.347447606333551,-2563.4568505252
"weight_persistence_to_learning_success",0.386473138519002,-2851.38592530532
"weight_interest_to_learning_success",0.133690898410484,-986.366989255408
"weight_knowledge_to_learning_success",0.00986008062641563,-72.7473459818601
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.730455620512233,-5389.27720402576
"weight_motivation_to_maintain_good_nutrition_inter_one",0.00825987324161443,60.9410692712022
"weight_persistence_to_maintain_good_nutrition_inter_one",0.0284948465479744,210.234027394466
"weight_interest_to_maintain_good_nutrition_inter_one",0.0716330013852897,-528.505894924826
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.419928791824229,3098.22061948867
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.306794922637615,2263.52270617384
"weight_motivation_to_maintain_good_nutrition_inter_two",0.203981240693614,1504.96679010847
"weight_interest_to_maintain_good_nutrition_inter_two",0.221155249671211,1631.67605551161
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.392008277857655,-2892.2239987231
"chance_good_nutritionist_inter_one",1.1234356067667,-8288.67043488953
"chance_good_nutrition_team_inter_two",0.619427291016444,4570.11389232023
"weight_good_nutritionist_to_maintain_good_nutrition",0.119394052249719,880.885335148015
"weight_good_nutrition_team_to_maintain_good_nutrition",0.150472523288772,1110.18125786169
"chance_good_support",0.114912833536513,-847.823052951599
"weight_good_support_to_maintain_good_nutrition_inter_one",0.212424104770377,1567.25795965779
"weight_good_support_to_maintain_good_nutrition_inter_two",0.747793106682779,5517.19259870574
"chance_good_kitchen_staff",0.19553273386551,-1442.63398852796
"chance_regular_audit",0.324837367674036,2396.63926385257
"weight_good_kitchen_staff_to_good_food_safety",0.245813405598183,1813.6031074759
"weight_regular_audit_to_good_food_safety",0.0932414882037414,-687.932589927199
"chance_tasty_food_conditional_on_good_kitchen_staff",0.299758209048974,2211.60606802418
"weight_good_food_safety_to_maintain_good_nutrition",0.269201431332891,-1986.15918124646
"weight_tasty_food_to_maintain_good_nutrition",0.0399457034964081,294.71806802034
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.406520054970425,2999.29140622543
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.335354447710344,2474.23392956661
"chance_athletes_good_health",0.338881465777309,-2500.25615122213
"weight_good_health_to_maintain_good_nutrition",0.268864539435738,-1983.67360406619
"total_main_meals_all_athletes",0.355613272211792,2623.70286101169
"total_snack_time_all_athletes",0.394036532539234,-2907.188394112
"pork_restriction",0.369071558048176,-2722.99764501571
"beef_restriction",0.506790279013011,3739.08177473039
