"","VIP","Coefficient"
"var_CV",0.129669112946556,-956.691353773392
"total_egg_serving_all_athletes",0.0797381133859109,588.303273686654
"total_dairy_serving_all_athletes",0.294900260611603,-2175.75738077982
"total_sandwich_serving_all_athletes",0.00231485119972849,17.0788407333748
"total_vegetable_mushroom_serving_all_athletes",0.110071875821241,812.104050832848
"total_bean_nut_serving_all_athletes",0.459334352512609,3388.94277560942
"total_fruit_serving_all_athletes",0.333597523376991,-2461.26358855038
"total_sports_drink_serving_all_athletes",0.0118992412170136,87.791926158027
"total_chicken_serving_all_athletes",10.2749301866563,75807.8515910786
"total_pork_serving_all_athletes",0.196171268175123,-1447.34047960406
"total_beef_serving_all_athletes",0.312906775976621,-2308.608428881
"total_fish_serving_all_athletes",0.313970261771762,2316.45476670156
"total_prawn_serving_all_athletes",0.0684673014638105,-505.147863189447
"total_rice_noodle_serving_all_athletes",0.492911918703514,3636.67615270773
"total_fat_oil_serving_all_athletes",0.263402512624787,1943.3687843163
"total_prawn_serving_per_person",0.126932813112022,-936.503088938809
"total_beef_serving_per_person",0.610137247634379,4501.55797446912
"total_pork_serving_per_person",0.199922386918057,1475.01602073175
"total_dairy_serving_per_person",0.384344450453253,-2835.67153552568
"total_egg_serving_per_person",0.376481744525766,-2777.66093757249
"prior_knowledge_ch_1",0.561282595847006,-4141.1111271474
"prior_knowledge_ch_2",0.262696357951064,-1938.15881522323
"prior_knowledge_ch_3",0.162418179058322,-1198.31210432324
"prior_knowledge_ch_4",0.0289553756820136,213.631117933691
"weight_contribution_ch_1",0.314935468034242,2323.57600370967
"weight_contribution_ch_2",0.138804577629496,1024.09229356754
"weight_contribution_ch_3",0.537264814147869,3963.90929730338
"weight_contribution_ch_4",0.356083947102813,-2627.1671462052
"chance_of_good_learning_hour",0.262916783899915,-1939.78510535987
"weight_learning_hour_to_interest_in_class",0.0142844607654472,105.389940573212
"chance_of_good_learning_material",0.550453161696889,4061.21217679408
"weight_learning_material_to_interest",0.223174745250717,1646.57060043235
"weight_learning_material_to_motivation_inter_one",0.256803077779436,-1894.67852868895
"weight_learning_material_to_motivation_inter_two",0.186498220823175,1375.9732853975
"chance_of_good_trainer",0.127240990096137,938.776801231855
"weight_good_trainer_to_interest",0.0245841311512009,181.380323948685
"weight_good_trainer_to_motivation_inter_one",0.0628033179434449,463.359314330614
"weight_good_trainer_to_motivation_inter_two",0.471234709566559,3476.74293434901
"weight_good_trainer_to_successful_ch1",0.544608681830811,-4018.09193614368
"weight_good_trainer_to_successful_ch2",0.148246182917999,1093.75192136938
"weight_good_trainer_to_successful_ch3",0.400623325332018,2955.77615020051
"weight_good_trainer_to_successful_ch4",0.220963953491089,1630.25950434039
"chance_of_good_facility",0.531203953597636,-3919.1926122496
"weight_good_facility_to_motivation",0.159467132128613,1176.53944761203
"chance_athletes_understand_nutrition_importance",0.109238660724613,-805.956637153025
"weight_understand_nutrition_importance_to_motivation",0.103971068531787,-767.09264100494
"weight_understand_nutrition_importance_to_persistence",0.124444938145031,-918.147688673438
"weight_understand_nutrition_importance_to_interest",0.0322133705784155,237.668419317176
"weight_motivation_to_learning_success",0.347727645213965,-2565.51482527141
"weight_persistence_to_learning_success",0.386300689340781,-2850.1045549787
"weight_interest_to_learning_success",0.133854724747508,-987.572560016182
"weight_knowledge_to_learning_success",0.00951367469062356,-70.1913517591782
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.730594890691303,-5390.28762634834
"weight_motivation_to_maintain_good_nutrition_inter_one",0.00796655381624498,58.7767817808182
"weight_persistence_to_maintain_good_nutrition_inter_one",0.0284306843467336,209.759975049656
"weight_interest_to_maintain_good_nutrition_inter_one",0.071811853411033,-529.823777579889
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.419654216825989,3096.18498722545
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.306781904328189,2263.41947357873
"weight_motivation_to_maintain_good_nutrition_inter_two",0.203710748669913,1502.9663386649
"weight_interest_to_maintain_good_nutrition_inter_two",0.221178843205727,1631.84494845532
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.392040514864713,-2892.45266183416
"chance_good_nutritionist_inter_one",1.12330765821286,-8287.70013011973
"chance_good_nutrition_team_inter_two",0.618982517929666,4566.81787654601
"weight_good_nutritionist_to_maintain_good_nutrition",0.119175622158532,879.270974473497
"weight_good_nutrition_team_to_maintain_good_nutrition",0.150436310104515,1109.91055541408
"chance_good_support",0.115000622846839,-848.468066573964
"weight_good_support_to_maintain_good_nutrition_inter_one",0.212345639042467,1566.67406961551
"weight_good_support_to_maintain_good_nutrition_inter_two",0.74760870925092,5515.81461377644
"chance_good_kitchen_staff",0.195683207174419,-1443.73959324896
"chance_regular_audit",0.324628803865604,2395.09288516553
"weight_good_kitchen_staff_to_good_food_safety",0.245573960726709,1811.83074057089
"weight_regular_audit_to_good_food_safety",0.0932085107946678,-687.68710103003
"chance_tasty_food_conditional_on_good_kitchen_staff",0.299913688199169,2212.74616489967
"weight_good_food_safety_to_maintain_good_nutrition",0.269275528554824,-1986.69956242654
