"","VIP","Coefficient"
"var_CV",0.446036099725632,-57368.4538063621
"total_egg_serving_all_athletes",10.2525476116871,1318666.36897866
"total_dairy_serving_all_athletes",0.157636707670181,20274.9826476525
"total_sandwich_serving_all_athletes",0.0262856662979533,3380.82059660905
"total_vegetable_mushroom_serving_all_athletes",0.468898558028556,60308.9868346484
"total_bean_nut_serving_all_athletes",0.382890424649324,49246.7574999084
"total_fruit_serving_all_athletes",0.176942380407456,-22758.0475729139
"total_sports_drink_serving_all_athletes",0.274804502439157,-35344.9180764934
"total_chicken_serving_all_athletes",0.0795128764856752,10226.8197226309
"total_pork_serving_all_athletes",0.0467876166059797,-6017.74884055575
"total_beef_serving_all_athletes",0.447636956839213,57574.3535024351
"total_fish_serving_all_athletes",0.0505083581416531,6496.30469970256
"total_prawn_serving_all_athletes",0.629585049482819,80976.2278224758
"total_rice_noodle_serving_all_athletes",0.0652658040077648,8394.3839179333
"total_fat_oil_serving_all_athletes",0.194777985703949,-25052.0347618203
"total_prawn_serving_per_person",0.0535144340085926,-6882.94139708427
"total_beef_serving_per_person",0.0557251842041086,-7167.28457143021
"total_pork_serving_per_person",0.206103837444676,26508.7478009784
"total_dairy_serving_per_person",0.436309375193761,56117.4179656822
"total_egg_serving_per_person",0.428125160871952,-55064.7773351349
"prior_knowledge_ch_1",0.109638615777401,14101.5444007522
"prior_knowledge_ch_2",0.549068576403942,-70620.3271020676
"prior_knowledge_ch_3",0.264567713906482,34028.2786151953
"prior_knowledge_ch_4",0.0521392743321522,-6706.07054644512
"weight_contribution_ch_1",0.44572970354394,57329.0456167411
"weight_contribution_ch_2",0.0458981530097847,-5903.34744734532
"weight_contribution_ch_3",0.023748111776493,3054.44436958377
"weight_contribution_ch_4",0.282133640358626,36287.5801400173
"chance_of_good_learning_hour",0.455791074916291,-58623.1232018478
"weight_learning_hour_to_interest_in_class",0.119966369689807,15429.8836845272
"chance_of_good_learning_material",0.678069231355036,-87212.1861894925
"weight_learning_material_to_interest",0.400726392821999,51540.7913613722
"weight_learning_material_to_motivation_inter_one",0.290996483257059,-37427.5048988531
"weight_learning_material_to_motivation_inter_two",0.104721903838253,-13469.1647302866
"chance_of_good_trainer",0.00221469920764425,284.851090005674
"weight_good_trainer_to_interest",0.0420672153925762,-5410.61834343856
"weight_good_trainer_to_motivation_inter_one",0.365021577106955,-46948.4947462033
"weight_good_trainer_to_motivation_inter_two",0.0202504140242139,2604.57604714604
"weight_good_trainer_to_successful_ch1",0.255516451009996,-32864.1195758581
"weight_good_trainer_to_successful_ch2",0.439488390141935,-56526.2978126637
"weight_good_trainer_to_successful_ch3",0.113938316742681,14654.5651010039
"weight_good_trainer_to_successful_ch4",0.229032034537866,-29457.736047923
"chance_of_good_facility",0.534548092092411,-68752.7255021421
"weight_good_facility_to_motivation",0.214508778270946,-27589.7779235037
"chance_athletes_understand_nutrition_importance",0.577971200831829,-74337.7366915466
"weight_understand_nutrition_importance_to_motivation",0.664043582692021,-85408.229563732
"weight_understand_nutrition_importance_to_persistence",0.163778960289822,-21064.9894114405
"weight_understand_nutrition_importance_to_interest",0.0692150037638153,-8902.32371006323
"weight_motivation_to_learning_success",0.0183747535587212,-2363.33158097564
"weight_persistence_to_learning_success",0.0794120433259478,10213.8507219838
"weight_interest_to_learning_success",0.280906589361974,-36129.7587922323
"weight_knowledge_to_learning_success",0.169834724012469,-21843.8721108423
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.367528678094637,-47270.9540881449
"weight_motivation_to_maintain_good_nutrition_inter_one",0.36100528466872,-46431.9255999896
"weight_persistence_to_maintain_good_nutrition_inter_one",0.112992171489591,-14532.8734032257
"weight_interest_to_maintain_good_nutrition_inter_one",0.299428841551259,38512.0614125009
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.190278001996806,-24473.2540138238
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.0864180492407865,11114.9520609556
"weight_motivation_to_maintain_good_nutrition_inter_two",0.64724000860703,-83246.9805879887
"weight_interest_to_maintain_good_nutrition_inter_two",0.466065329216378,-59944.5814505679
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.416466459118993,-53565.2536567416
"chance_good_nutritionist_inter_one",0.482457956757595,62052.9751353877
"chance_good_nutrition_team_inter_two",0.244152252077953,-31402.4743819371
"weight_good_nutritionist_to_maintain_good_nutrition",0.0556810749744014,-7161.61131245307
"weight_good_nutrition_team_to_maintain_good_nutrition",0.306833801131922,39464.4755375069
"chance_good_support",0.102337639713847,13162.5044703496
"weight_good_support_to_maintain_good_nutrition_inter_one",0.227710596921231,29287.7748431806
"weight_good_support_to_maintain_good_nutrition_inter_two",0.504142575090255,-64842.0162598416
"chance_good_kitchen_staff",0.3629236694516,46678.665199917
"chance_regular_audit",0.17638762495427,22686.6958087641
"weight_good_kitchen_staff_to_good_food_safety",0.58308418354455,-74995.3603967756
"weight_regular_audit_to_good_food_safety",0.455245224024958,-58552.9167282825
"chance_tasty_food_conditional_on_good_kitchen_staff",0.0127822067722048,1644.02710723564
"weight_good_food_safety_to_maintain_good_nutrition",0.232115494257576,-29854.3257333829
"weight_tasty_food_to_maintain_good_nutrition",0.0246994997824342,-3176.81038189609
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.0853727366002261,-10980.5056115088
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.533773744545123,-68653.1301520708
"chance_athletes_good_health",0.407781424540443,-52448.198321237
"weight_good_health_to_maintain_good_nutrition",0.0323340881833146,-4158.75900057496
"total_main_meals_all_athletes",0.0623651537352068,-8021.30689284045
"total_snack_time_all_athletes",0.261492876540491,-33632.7979231584
"pork_restriction",0.0980298507170219,12608.4435003431
"beef_restriction",0.312236290942945,40159.3351853105
"prawn_restriction",0.22253717555598,-28622.3776145801
"egg_restriction",0.0521895842821392,-6712.5413322035
"dairy_restriction",0.435006776806966,-55949.8798327216
"percent_athlete_with_dietary_restriction",0.154980958551962,-19933.4044195594
"number_athlete",0.591711507270919,-76104.9930542515
"chance_good_water_intake_current",0.706385773218921,90854.2147716487
"weight_current_good_water_intake_to_maintain_good_water_intake",0.200451307088298,25781.728335876
"weight_good_learning_outcome_to_maintain_good_water_intake",0.232378207848957,-29888.1155377074
