"","VIP","Coefficient"
"var_CV",0.0543579433854372,-12510.7420208634
"total_egg_serving_all_athletes",0.0595067638225045,-13695.7677997665
"total_dairy_serving_all_athletes",0.24240089684661,-55789.7318625616
"total_sandwich_serving_all_athletes",0.548634159755363,-126270.789677656
"total_vegetable_mushroom_serving_all_athletes",0.0955231371670386,21985.1092902188
"total_bean_nut_serving_all_athletes",0.192605210582901,-44329.0152534043
"total_fruit_serving_all_athletes",0.0414718520729277,-9544.94614950438
"total_sports_drink_serving_all_athletes",0.199895073157945,46006.8121744032
"total_chicken_serving_all_athletes",0.340202978523347,-78299.3511887571
"total_pork_serving_all_athletes",0.396880920814387,-91344.0521122019
"total_beef_serving_all_athletes",0.138958437536302,-31981.9525053016
"total_fish_serving_all_athletes",0.341901822654727,-78690.3483335652
"total_prawn_serving_all_athletes",0.343151455763316,78977.9574016902
"total_rice_noodle_serving_all_athletes",0.0782678745000257,18013.7276248288
"total_fat_oil_serving_all_athletes",10.3273511207979,2376889.51392136
"total_prawn_serving_per_person",0.211274356412641,-48625.8089265867
"total_beef_serving_per_person",0.0367636584508697,8461.33275059087
"total_pork_serving_per_person",0.496894508055371,114362.660076834
"total_dairy_serving_per_person",0.597031851096218,137409.751033818
"total_egg_serving_per_person",0.098931663190618,22769.5979425954
"prior_knowledge_ch_1",0.0103281093837162,-2377.0640317777
"prior_knowledge_ch_2",0.438962021003824,101029.21964496
"prior_knowledge_ch_3",0.286394848385784,65915.1513303707
"prior_knowledge_ch_4",0.727946449731502,-167540.375341611
"weight_contribution_ch_1",0.370233486852918,85211.0170662283
"weight_contribution_ch_2",0.662763336028083,152538.168325101
"weight_contribution_ch_3",0.0871656098825088,20061.5842030447
"weight_contribution_ch_4",0.300367562398293,-69131.0386405709
"chance_of_good_learning_hour",0.334474439371111,76980.9003602946
"weight_learning_hour_to_interest_in_class",0.536133693277347,-123393.747216024
"chance_of_good_learning_material",0.0470285134958227,-10823.838492178
"weight_learning_material_to_interest",0.132711765830149,30544.2509783959
"weight_learning_material_to_motivation_inter_one",0.202313232680361,46563.3632148967
"weight_learning_material_to_motivation_inter_two",0.202825374833254,-46681.2351937428
"chance_of_good_trainer",0.0661664577842323,-15228.5283845865
"weight_good_trainer_to_interest",0.0565312517395669,13010.9393877415
"weight_good_trainer_to_motivation_inter_one",0.073171550569709,-16840.7841693554
"weight_good_trainer_to_motivation_inter_two",0.518638404106988,-119367.122296852
"weight_good_trainer_to_successful_ch1",0.0241371326529215,-5555.27713038825
"weight_good_trainer_to_successful_ch2",0.245518790867606,56507.3301621971
"weight_good_trainer_to_successful_ch3",0.398291571335341,91668.7201119479
"weight_good_trainer_to_successful_ch4",0.293715652458972,-67600.069585933
"chance_of_good_facility",0.420906678519004,96873.695762752
"weight_good_facility_to_motivation",0.22104835298727,50875.3412312021
"chance_athletes_understand_nutrition_importance",0.0790284857467649,-18188.7859602527
"weight_understand_nutrition_importance_to_motivation",0.58425394942768,134468.85552919
"weight_understand_nutrition_importance_to_persistence",0.711435742868073,163740.356774209
"weight_understand_nutrition_importance_to_interest",0.217665426892544,-50096.7445255345
"weight_motivation_to_learning_success",0.541373793640131,124599.781508701
"weight_persistence_to_learning_success",0.435957050410924,-100337.611215232
"weight_interest_to_learning_success",0.43474538434848,-100058.740445321
"weight_knowledge_to_learning_success",0.216154755824145,-49749.0563158994
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.417997078457551,-96204.0373193737
"weight_motivation_to_maintain_good_nutrition_inter_one",0.300519293550098,69165.9602946757
"weight_persistence_to_maintain_good_nutrition_inter_one",0.0565792243219913,13021.9805082366
"weight_interest_to_maintain_good_nutrition_inter_one",0.0742738006462962,17094.4723240539
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.350521820610777,-80674.2823077376
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.212845520444012,48987.4198824973
"weight_motivation_to_maintain_good_nutrition_inter_two",0.353775349259687,81423.0975691132
"weight_interest_to_maintain_good_nutrition_inter_two",0.467531404304791,107604.600572071
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.324525998267707,74691.2188086598
"chance_good_nutritionist_inter_one",0.419012941128978,-96437.8429974277
"chance_good_nutrition_team_inter_two",0.327780739239063,75440.313091875
"weight_good_nutritionist_to_maintain_good_nutrition",0.674101185121927,155147.628805951
"weight_good_nutrition_team_to_maintain_good_nutrition",0.120373083468705,27704.4439090438
"chance_good_support",0.480751200140879,110647.200143969
"weight_good_support_to_maintain_good_nutrition_inter_one",0.111743869321826,25718.3887842409
"weight_good_support_to_maintain_good_nutrition_inter_two",0.669693018584656,-154133.068083118
"chance_good_kitchen_staff",0.219539604915856,-50528.0956085688
"chance_regular_audit",0.0848058982765849,-19518.4852315472
"weight_good_kitchen_staff_to_good_food_safety",0.287655963368012,-66205.4030069183
"weight_regular_audit_to_good_food_safety",0.270043511256566,-62151.8124735402
"chance_tasty_food_conditional_on_good_kitchen_staff",0.108292015642219,24923.9280635121
"weight_good_food_safety_to_maintain_good_nutrition",0.288495795805023,-66398.6944801754
"weight_tasty_food_to_maintain_good_nutrition",0.374971872092558,-86301.5792110885
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.301238882158301,69331.5770726055
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.0443370773963133,-10204.3915335644
"chance_athletes_good_health",0.544523291468595,125324.653576575
"weight_good_health_to_maintain_good_nutrition",0.564826922409244,129997.631856569
"total_main_meals_all_athletes",0.25209698656763,58021.333530246
"total_snack_time_all_athletes",0.0342288369256893,7877.93138925536
"pork_restriction",0.467856720577442,107679.473676328
"beef_restriction",0.0169566722530407,-3902.65964600416
"prawn_restriction",0.0817881143677671,-18823.9277555547
"egg_restriction",0.259144782075264,-59643.4175518322
"dairy_restriction",0.146162127014552,33639.9162737568
"percent_athlete_with_dietary_restriction",0.366341074068244,-84315.1595492788
"number_athlete",0.138163429305649,31798.9775386509
"chance_good_water_intake_current",0.27775062335072,63925.6413774805
"weight_current_good_water_intake_to_maintain_good_water_intake",0.464489044228489,106904.386772971
"weight_good_learning_outcome_to_maintain_good_water_intake",0.148142533213408,34095.7162821332
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.127496375487915,-29343.9038157532
"weight_good_water_intake_to_nutrition_outcome",0.0470513227985746,-10829.0881628725
"weight_good_carb_intake_to_nutrition_outcome",0.00720733718831351,1658.80330646435
"weight_good_protein_intake_to_nutrition_outcome",0.0964816500952558,22205.7156491379
"weight_good_fat_intake_to_nutrition_outcome",0.0157350645561931,-3621.50076113627
"weight_vegetable_intake_to_nutrition_outcome",0.214867096639214,49452.6953634764
"weight_fruit_intake_to_nutrition_outcome",0.0175858618414776,-4047.47065489998
"chance_good_rest",0.620539166589428,142820.072716764
"chance_enough_recovery_time",0.0340670076847548,7840.68561138609
"chance_personal_problem",0.401037204333688,-92300.6407474053
"chance_good_team_relationship",0.284859701586737,65561.8299136488
"weight_good_rest_to_mental_health",0.034392842543758,-7915.67807078597
"weight_recovery_time_to_mental_health",0.0641442322239753,14763.103449118
"weight_personal_problem_to_mental_health",0.286533865291154,-65947.1467395292
"weight_nutrition_outcome_to_mental_health",0.399008826740708,-91833.799892027
"weight_team_relationship_to_mental_health",0.174102054943808,40070.4250206733
"forty_dash_current_sec",0.430990339291027,99194.4987712496
"percent_increment_40_dash_if_optimal_training",0.0901715455622879,20753.4147521582
"percent_increment_40_dash_current",0.172887378425066,39790.8613797712
"ten_dash_current_sec",0.533257491846701,-122731.775628105
"percent_increment_10_dash_if_optimal_training",0.0225975555820292,5200.9360653006
"percent_increment_10_dash_current",0.374746333511098,-86249.6704221855
"shuttle_run_current",0.31786096574456,73157.2295282617
"percent_increment_shuttle_run_if_optimal_training",0.175686988488325,-40435.2050962377
"percent_increment_shuttle_run_current",0.280557232138616,-64571.5958840718
"weight_nutrition_outcome_to_sports_performance",0.0796678645088393,-18335.9420564504
"weight_water_intake_to_sports_performance",0.202782640385537,-46671.3996551353
"weight_mental_health_to_sports_performance",0.247965521047749,-57070.4568769329
