"","VIP","Coefficient"
"var_CV",0.393492471480237,-93145.7097565954
"total_egg_serving_all_athletes",0.00887193005005573,2100.12206412649
"total_dairy_serving_all_athletes",0.346817334970617,-82096.9882859666
"total_sandwich_serving_all_athletes",0.0513368918173219,12152.2305294275
"total_vegetable_mushroom_serving_all_athletes",0.109672833017249,25961.2435124348
"total_bean_nut_serving_all_athletes",0.445537865975353,105465.65374834
"total_fruit_serving_all_athletes",0.34788433097527,82349.5626231248
"total_sports_drink_serving_all_athletes",0.124858134685622,29555.8375753092
"total_chicken_serving_all_athletes",0.197330406999028,46711.1371847568
"total_pork_serving_all_athletes",0.360331656180296,85296.0356177206
"total_beef_serving_all_athletes",0.121407971277336,-28739.1309221118
"total_fish_serving_all_athletes",0.0633249356006444,-14989.984559613
"total_prawn_serving_all_athletes",0.343411526015441,-81290.7810128469
"total_rice_noodle_serving_all_athletes",0.177347658764078,41980.913858679
"total_fat_oil_serving_all_athletes",10.241523920836,2424325.96234139
"total_prawn_serving_per_person",0.449479215354787,-106398.63166267
"total_beef_serving_per_person",0.20423835014328,48346.3533928562
"total_pork_serving_per_person",0.758543897777492,-179558.987429236
"total_dairy_serving_per_person",0.220953475504742,-52303.0802130845
"total_egg_serving_per_person",0.0109879076724474,-2601.00645646395
"prior_knowledge_ch_1",0.394434780030683,93368.7686588683
"prior_knowledge_ch_2",0.398893116177715,94424.1252790003
"prior_knowledge_ch_3",0.174632147936399,-41338.1107513047
"prior_knowledge_ch_4",0.179704711791839,-42538.8645009845
"weight_contribution_ch_1",0.217658722111817,-51523.1614967177
"weight_contribution_ch_2",0.139312798776362,32977.4785052114
"weight_contribution_ch_3",0.320299353639216,-75819.7749427641
"weight_contribution_ch_4",0.235503486780892,-55747.2912857519
"chance_of_good_learning_hour",0.168264275214728,-39830.7375045729
"weight_learning_hour_to_interest_in_class",0.284808326773868,67418.5039478519
"chance_of_good_learning_material",0.28505505449288,67476.9081872456
"weight_learning_material_to_interest",0.628359316697728,-148742.298209177
"weight_learning_material_to_motivation_inter_one",0.173222186446802,41004.351217904
"weight_learning_material_to_motivation_inter_two",0.114315992637504,-27060.3506864931
"chance_of_good_trainer",0.991266018206612,-234647.886593903
"weight_good_trainer_to_interest",0.0766495353310212,-18144.1219041971
"weight_good_trainer_to_motivation_inter_one",0.137504458877138,32549.4166854751
"weight_good_trainer_to_motivation_inter_two",0.186355103051137,44113.1142234153
"weight_good_trainer_to_successful_ch1",0.366844754934764,86837.7860962433
"weight_good_trainer_to_successful_ch2",0.30210306739537,-71512.4345996533
"weight_good_trainer_to_successful_ch3",0.374836366422622,88729.5232401213
"weight_good_trainer_to_successful_ch4",0.349406685635269,-82709.9273456656
"chance_of_good_facility",0.517565980532158,122515.814397118
