"","VIP","Coefficient"
"var_CV",0.320030488624924,1931.83131929256
"total_egg_serving_all_athletes",0.425581057314204,2568.97653392262
"total_dairy_serving_all_athletes",0.368931115585969,-2227.01495352156
"total_sandwich_serving_all_athletes",0.101432873355855,-612.289167812171
"total_vegetable_mushroom_serving_all_athletes",0.0727664275814219,439.247099233647
"total_bean_nut_serving_all_athletes",0.111630838928784,673.848144181886
"total_fruit_serving_all_athletes",0.0182770457158063,110.327517511364
"total_sports_drink_serving_all_athletes",0.552601631149939,-3335.72323916537
"total_chicken_serving_all_athletes",0.139133623092841,-839.865888441681
"total_pork_serving_all_athletes",0.0743459142444355,448.781508961687
"total_beef_serving_all_athletes",0.108474622957914,654.795969218257
"total_fish_serving_all_athletes",10.3063894497996,62213.4660153711
"total_prawn_serving_all_athletes",0.485436850597805,2930.28990941755
"total_rice_noodle_serving_all_athletes",0.327585696379579,-1977.43755833221
"total_fat_oil_serving_all_athletes",0.370937513170444,-2239.12636737246
"total_prawn_serving_per_person",0.0311785831976758,-188.206329250806
"total_beef_serving_per_person",0.0296099166529979,178.73723406067
"total_pork_serving_per_person",0.473315810342981,-2857.12248937802
"total_dairy_serving_per_person",0.215246542330482,1299.31374235659
"total_egg_serving_per_person",0.0437667824608299,-264.193706873935
"prior_knowledge_ch_1",0.411103152302201,-2481.58214078182
"prior_knowledge_ch_2",0.105654693325459,-637.773752348906
"prior_knowledge_ch_3",0.117970240233567,-712.115291911354
"prior_knowledge_ch_4",0.679066357304518,4099.11462672001
"weight_contribution_ch_1",0.127480566001531,769.52340091425
"weight_contribution_ch_2",0.494138073816269,-2982.81395361661
"weight_contribution_ch_3",0.269149413428068,1624.69291180237
"weight_contribution_ch_4",0.294546460349906,1777.99958852545
"chance_of_good_learning_hour",0.290785183509484,1755.29502549435
"weight_learning_hour_to_interest_in_class",0.356804353051298,-2153.81299152488
"chance_of_good_learning_material",0.131718347054021,-795.1043328957
"weight_learning_material_to_interest",0.29761968779915,-1796.55081176442
"weight_learning_material_to_motivation_inter_one",0.111449706846582,-672.754758889663
"weight_learning_material_to_motivation_inter_two",0.450768867697005,-2721.02017567366
"chance_of_good_trainer",0.215661394998759,1301.81795806714
"weight_good_trainer_to_interest",0.419931282424666,-2534.87224552979
"weight_good_trainer_to_motivation_inter_one",0.0687742852516522,-415.148940283669
"weight_good_trainer_to_motivation_inter_two",0.542725913608298,-3276.10948008446
"weight_good_trainer_to_successful_ch1",0.413602600257355,-2496.66980277757
"weight_good_trainer_to_successful_ch2",0.524135246677293,3163.88882017746
"weight_good_trainer_to_successful_ch3",0.291003184162075,1756.61096414167
"weight_good_trainer_to_successful_ch4",0.0500117675705096,301.89092089636
"chance_of_good_facility",0.0234872130698418,141.778159968988
"weight_good_facility_to_motivation",0.0913205917243103,551.24741379285
"chance_athletes_understand_nutrition_importance",0.254158755033485,-1534.20333530014
"weight_understand_nutrition_importance_to_motivation",0.303855395698128,1834.1920248531
"weight_understand_nutrition_importance_to_persistence",0.384466700970874,-2320.79392607839
"weight_understand_nutrition_importance_to_interest",0.321128089600317,1938.45687534336
"weight_motivation_to_learning_success",0.0111698870090595,67.4258807333514
"weight_persistence_to_learning_success",0.41340724878798,-2495.4905836087
"weight_interest_to_learning_success",0.558542824336167,3371.58664430666
"weight_knowledge_to_learning_success",0.233460182943624,1409.25852144932
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.397922766418941,-2402.02008918153
"weight_motivation_to_maintain_good_nutrition_inter_one",0.14231212367662,859.052582192384
"weight_persistence_to_maintain_good_nutrition_inter_one",0.051193439571396,-309.02396309572
"weight_interest_to_maintain_good_nutrition_inter_one",0.00233955453372223,14.1224817074679
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.0155082679530995,93.6140736731215
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.694211318986324,-4190.535639237
"weight_motivation_to_maintain_good_nutrition_inter_two",0.124563782597421,-751.916536156255
"weight_interest_to_maintain_good_nutrition_inter_two",0.260503018653332,1572.49983389729
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.244359184720254,1475.04923117697
"chance_good_nutritionist_inter_one",0.0833510887560264,-503.140324060629
"chance_good_nutrition_team_inter_two",0.064157557391532,387.280534647844
"weight_good_nutritionist_to_maintain_good_nutrition",0.164837111580261,995.022368339659
"weight_good_nutrition_team_to_maintain_good_nutrition",0.0174211339998031,105.160893960498
"chance_good_support",0.133938229236654,808.504424693124
"weight_good_support_to_maintain_good_nutrition_inter_one",0.0142851774290341,86.2310127939169
"weight_good_support_to_maintain_good_nutrition_inter_two",0.180322097007073,-1088.49589942364
"chance_good_kitchen_staff",0.730118640988672,4407.28651673655
"chance_regular_audit",0.0822668971033703,496.595712015333
"weight_good_kitchen_staff_to_good_food_safety",0.0323303763910176,195.159011083734
"weight_regular_audit_to_good_food_safety",0.370680095108032,2237.57248956145
