"","VIP","Coefficient"
"var_CV",0.512386711929375,-7033.54450482113
"total_egg_serving_all_athletes",0.330287682485934,4533.86682377363
"total_dairy_serving_all_athletes",0.0677201045125323,929.595475195865
"total_sandwich_serving_all_athletes",0.357140215293322,-4902.47217627536
"total_vegetable_mushroom_serving_all_athletes",0.179683963058142,2466.52600769686
"total_bean_nut_serving_all_athletes",0.409810161990391,-5625.47377943063
"total_fruit_serving_all_athletes",10.3103331973469,141530.187482828
"total_sports_drink_serving_all_athletes",0.334490966465827,-4591.56540230946
"total_chicken_serving_all_athletes",0.089891682496697,1233.9452502057
"total_pork_serving_all_athletes",0.237728211083254,3263.3007722028
"total_beef_serving_all_athletes",0.0758632417786758,-1041.37651290978
"total_fish_serving_all_athletes",0.0712527169331182,978.087729385899
"total_prawn_serving_all_athletes",0.578032691500182,-7934.66841792036
"total_rice_noodle_serving_all_athletes",0.165560964195208,2272.65926851085
"total_fat_oil_serving_all_athletes",0.0106897066536993,-146.7378558846
"total_prawn_serving_per_person",0.32106103008682,-4407.21234822074
"total_beef_serving_per_person",0.0320026439663188,439.301050102319
"total_pork_serving_per_person",0.179505920455831,2464.08201268693
"total_dairy_serving_per_person",0.787702810495807,10812.8150968884
"total_egg_serving_per_person",0.143063648824458,-1963.83808869662
"prior_knowledge_ch_1",0.529620985737103,7270.11978870873
"prior_knowledge_ch_2",0.255767368651392,3510.92471449283
"prior_knowledge_ch_3",0.20160517161243,-2767.43895562533
"prior_knowledge_ch_4",0.0123832884830223,-169.985693683214
"weight_contribution_ch_1",0.1817330369819,2494.65369387776
"weight_contribution_ch_2",0.407655820867171,5595.90108791473
"weight_contribution_ch_3",0.314345249502547,-4315.02466941417
"weight_contribution_ch_4",0.53988982348107,-7411.08036712228
"chance_of_good_learning_hour",0.120053494428881,1647.97715546772
"weight_learning_hour_to_interest_in_class",0.270954187277582,-3719.39453271222
"chance_of_good_learning_material",0.271286864653566,-3723.96120291513
"weight_learning_material_to_interest",0.126205553138818,1732.42661078182
"weight_learning_material_to_motivation_inter_one",0.0231503794533593,-317.785805911264
"weight_learning_material_to_motivation_inter_two",0.0392860643091281,-539.280733290375
"chance_of_good_trainer",0.247380296486583,-3395.79517665956
"weight_good_trainer_to_interest",0.0105941804344591,-145.426565215345
"weight_good_trainer_to_motivation_inter_one",0.25515501155157,-3502.51887411061
"weight_good_trainer_to_motivation_inter_two",0.0301894586916263,414.411412982311
"weight_good_trainer_to_successful_ch1",0.38389455850387,-5269.72967786058
"weight_good_trainer_to_successful_ch2",0.096659814314324,1326.85155562983
"weight_good_trainer_to_successful_ch3",0.527694392550073,7243.6733984957
"weight_good_trainer_to_successful_ch4",0.0770015573068232,1057.00219706854
"chance_of_good_facility",0.43864885331638,-6021.34317685969
"weight_good_facility_to_motivation",0.224512494098866,-3081.88831280703
"chance_athletes_understand_nutrition_importance",0.20130433474539,-2763.30936084125
"weight_understand_nutrition_importance_to_motivation",0.701940527628508,-9635.55421299303
"weight_understand_nutrition_importance_to_persistence",0.0843858853750271,1158.36704298803
"weight_understand_nutrition_importance_to_interest",0.558224752984689,-7662.76437776118
"weight_motivation_to_learning_success",0.460541263600001,6321.86081024608
"weight_persistence_to_learning_success",0.0489905251991616,-672.49409729103
"weight_interest_to_learning_success",0.134716595038854,1849.25788410053
"weight_knowledge_to_learning_success",0.495479333924352,-6801.45652734338
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.241032578417393,-3308.65990069664
"weight_motivation_to_maintain_good_nutrition_inter_one",0.079921209176341,1097.08032728685
"weight_persistence_to_maintain_good_nutrition_inter_one",0.119172573148067,1635.88472822557
"weight_interest_to_maintain_good_nutrition_inter_one",0.265060597529797,-3638.49308695047
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.347508641421065,-4770.25933409039
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.267038778899134,-3665.6476293613
"weight_motivation_to_maintain_good_nutrition_inter_two",0.58158550055432,7983.43791177651
"weight_interest_to_maintain_good_nutrition_inter_two",0.516406806292739,7088.72843516122
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.380984254714003,-5229.77986895257
"chance_good_nutritionist_inter_one",0.229866894412205,3155.38829245851
"chance_good_nutrition_team_inter_two",0.579764703928996,7958.4437934665
"weight_good_nutritionist_to_maintain_good_nutrition",0.286486745403987,-3932.61032522258
"weight_good_nutrition_team_to_maintain_good_nutrition",0.571848906631712,-7849.78345687824
"chance_good_support",0.287828574075951,3951.02963911649
"weight_good_support_to_maintain_good_nutrition_inter_one",0.0150319558074359,206.34401264621
"weight_good_support_to_maintain_good_nutrition_inter_two",0.184682377548026,2535.1393615361
"chance_good_kitchen_staff",0.00179960127386105,24.7031692195389
"chance_regular_audit",0.0880056541025793,-1208.05569386371
"weight_good_kitchen_staff_to_good_food_safety",0.415892226618784,-5708.96242433306
"weight_regular_audit_to_good_food_safety",0.215344570818035,-2956.04001324887
"chance_tasty_food_conditional_on_good_kitchen_staff",0.263721104756415,-3620.10583799158
"weight_good_food_safety_to_maintain_good_nutrition",0.164735559917728,2261.32892448561
"weight_tasty_food_to_maintain_good_nutrition",0.0660278335902976,-906.365632249834
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.414044696772206,-5683.60133846305
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.307375867345701,-4219.35579582707
"chance_athletes_good_health",0.108742106280122,-1492.70546300711
"weight_good_health_to_maintain_good_nutrition",0.0903605827095264,1240.38185450958
"total_main_meals_all_athletes",0.0445071631076558,-610.950879897483
"total_snack_time_all_athletes",0.373709238785187,5129.91555335405
"pork_restriction",0.574398809077195,7884.78602801387
"beef_restriction",0.279741373078456,-3840.01643988436
"prawn_restriction",0.513536401393246,-7049.32631926438
"egg_restriction",0.453068401585328,6219.28065675094
"dairy_restriction",0.210328240643527,2887.18073038335
"percent_athlete_with_dietary_restriction",0.00146046313141689,-20.0478119227397
"number_athlete",0.466465605133617,6403.18438649877
"chance_good_water_intake_current",0.0818631379697395,1123.73722973097
"weight_current_good_water_intake_to_maintain_good_water_intake",0.712010057209706,-9773.77888354564
"weight_good_learning_outcome_to_maintain_good_water_intake",0.0506194059512844,-694.85378187372
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.133724332898515,1835.63707824816
"weight_good_water_intake_to_nutrition_outcome",0.178949898323336,2456.44948373268
"weight_good_carb_intake_to_nutrition_outcome",0.428347639680689,-5879.93817381525
"weight_good_protein_intake_to_nutrition_outcome",0.107810671289316,1479.91963287402
"weight_good_fat_intake_to_nutrition_outcome",0.109289368487929,-1500.21774426812
"weight_vegetable_intake_to_nutrition_outcome",0.0666288520147113,914.615826366723
"weight_fruit_intake_to_nutrition_outcome",0.0497741537638373,-683.250985119251
"chance_good_rest",0.0798822216853868,-1096.54514507706
"chance_enough_recovery_time",0.566732946490745,7779.55655110842
"chance_personal_problem",0.357240553713718,4903.84952414363
"chance_good_team_relationship",0.118149756122282,-1621.84449473853
"weight_good_rest_to_mental_health",0.173742804320518,-2384.97158128728
"weight_recovery_time_to_mental_health",0.0774140200947481,-1062.66408350687
"weight_personal_problem_to_mental_health",0.0561238720449058,-770.413718037914
"weight_nutrition_outcome_to_mental_health",0.268163965917427,-3681.09309815501
"weight_team_relationship_to_mental_health",0.0620033162424848,-851.120987497673
"forty_dash_current_sec",0.625837596144142,8590.88747382822
"percent_increment_40_dash_if_optimal_training",0.217009619301176,-2978.89617313006
"percent_increment_40_dash_current",0.363952683131129,4995.98708329638
