"","VIP","Coefficient"
"var_CV",0.106323709767856,-1422.2564967154
"total_egg_serving_all_athletes",0.0298013972165715,398.643264940696
"total_dairy_serving_all_athletes",0.000250763055824537,3.35437303740954
"total_sandwich_serving_all_athletes",0.169050047329255,-2261.32561221793
"total_vegetable_mushroom_serving_all_athletes",0.18712557362645,-2503.1158466244
"total_bean_nut_serving_all_athletes",0.0964941968245227,1290.77040886418
"total_fruit_serving_all_athletes",10.2986563149518,137761.660906677
"total_sports_drink_serving_all_athletes",0.00794073984667766,-106.220605548119
"total_chicken_serving_all_athletes",0.090752483662977,1213.96544349837
"total_pork_serving_all_athletes",0.00394347230806328,-52.7505024232693
"total_beef_serving_all_athletes",0.368707792911449,-4932.0801070886
"total_fish_serving_all_athletes",0.149667774382338,-2002.0554674868
"total_prawn_serving_all_athletes",0.318916149973046,-4266.03405013765
"total_rice_noodle_serving_all_athletes",0.0222629843378803,297.804451894662
"total_fat_oil_serving_all_athletes",0.34973688990219,4678.31271962265
"total_prawn_serving_per_person",0.218377205815688,-2921.15841691423
"total_beef_serving_per_person",0.616327259077441,8244.40240318528
"total_pork_serving_per_person",0.327883155260024,-4385.98266322999
"total_dairy_serving_per_person",0.000648312943430139,-8.67226414231982
"total_egg_serving_per_person",0.117839850315409,1576.30403462209
"prior_knowledge_ch_1",0.237630715128439,-3178.7061338291
"prior_knowledge_ch_2",0.307535895409571,-4113.80421332594
"prior_knowledge_ch_3",0.0503534405741317,673.561034927155
"prior_knowledge_ch_4",0.0329924155226708,-441.328443316211
"weight_contribution_ch_1",0.47153556750032,6307.57265499838
"weight_contribution_ch_2",0.238290710176398,3187.53466555368
"weight_contribution_ch_3",0.082027082085879,-1097.24868195408
"weight_contribution_ch_4",0.619063002383664,8280.9975210486
"chance_of_good_learning_hour",0.000507088736709933,6.78315543890987
"weight_learning_hour_to_interest_in_class",0.22678333491501,3033.60437793123
"chance_of_good_learning_material",0.357135373271237,-4777.2797426925
"weight_learning_material_to_interest",0.365692612210524,-4891.74704920316
"weight_learning_material_to_motivation_inter_one",0.395488011091355,5290.31007642458
"weight_learning_material_to_motivation_inter_two",0.125077803470441,1673.12369902379
"chance_of_good_trainer",0.165238407715933,-2210.33859140178
"weight_good_trainer_to_interest",0.307420329829471,4112.25833143889
"weight_good_trainer_to_motivation_inter_one",0.296654961820659,3968.25362521207
"weight_good_trainer_to_motivation_inter_two",0.354413392210044,-4740.86871775112
"weight_good_trainer_to_successful_ch1",0.381747460100761,-5106.50734834549
"weight_good_trainer_to_successful_ch2",0.0518229094216534,-693.217625349666
"weight_good_trainer_to_successful_ch3",0.140583657657716,1880.5402940911
"weight_good_trainer_to_successful_ch4",0.427421699607605,5717.47628474713
"chance_of_good_facility",0.915960219214309,12252.4917100311
"weight_good_facility_to_motivation",0.120194198651351,1607.79736027482
"chance_athletes_understand_nutrition_importance",0.371741627546878,-4972.66269238044
"weight_understand_nutrition_importance_to_motivation",0.315305443961883,4217.73485052057
"weight_understand_nutrition_importance_to_persistence",0.125391952359788,-1677.3259630323
"weight_understand_nutrition_importance_to_interest",0.191525335188195,2561.9699768918
"weight_motivation_to_learning_success",0.463100389560132,-6194.73811740957
"weight_persistence_to_learning_success",0.166652173537332,-2229.25006118315
"weight_interest_to_learning_success",0.937998169570871,-12547.2859580624
"weight_knowledge_to_learning_success",0.220037250003206,-2943.36426954754
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.0548836005257018,734.159460587321
"weight_motivation_to_maintain_good_nutrition_inter_one",0.372166021683766,4978.3396699772
"weight_persistence_to_maintain_good_nutrition_inter_one",0.366087413555433,-4897.02817397707
"weight_interest_to_maintain_good_nutrition_inter_one",0.395633079376349,-5292.25060606985
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.341717781432072,-4571.04380336312
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.0874605928786643,-1169.93092791677
"weight_motivation_to_maintain_good_nutrition_inter_two",0.0234227802722596,313.318651936558
"weight_interest_to_maintain_good_nutrition_inter_two",0.0924677081553396,1236.90942450613
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.131884779662199,1764.1783295747
"chance_good_nutritionist_inter_one",0.115327924767817,1542.70285162041
"chance_good_nutrition_team_inter_two",0.0645394522243703,-863.322540390839
"weight_good_nutritionist_to_maintain_good_nutrition",0.435047269056971,5819.48096191834
"weight_good_nutrition_team_to_maintain_good_nutrition",0.115392220366745,1543.56291221729
"chance_good_support",0.676912634412305,-9054.83258723442
"weight_good_support_to_maintain_good_nutrition_inter_one",0.250562828521582,3351.6946641373
"weight_good_support_to_maintain_good_nutrition_inter_two",0.481571197584375,6441.81590250021
"chance_good_kitchen_staff",0.279015807987304,-3732.30059845231
"chance_regular_audit",0.179423813877636,-2400.09199744901
"weight_good_kitchen_staff_to_good_food_safety",0.49478488858749,6618.57100177019
"weight_regular_audit_to_good_food_safety",0.680904870832434,-9108.23539077982
"chance_tasty_food_conditional_on_good_kitchen_staff",0.61146242363198,8179.32713603306
"weight_good_food_safety_to_maintain_good_nutrition",0.127143987235217,-1700.76234415079
"weight_tasty_food_to_maintain_good_nutrition",0.61166913416216,8182.09223325482
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.145679104945497,1948.70037827683
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.0812333450930675,-1086.63112922597
"chance_athletes_good_health",0.660181457191005,8831.02525815753
"weight_good_health_to_maintain_good_nutrition",0.329886153230192,-4412.77609323914
"total_main_meals_all_athletes",0.474125689599668,6342.21984696645
"total_snack_time_all_athletes",0.0833631890217382,1115.12133494918
"pork_restriction",0.204073345079142,-2729.82048386916
"beef_restriction",0.595121616286652,7960.7416534609
"prawn_restriction",0.0995496875507747,1331.64268039754
"egg_restriction",0.201423680945424,2694.37681813814
"dairy_restriction",0.0220959150880322,-295.569622743979
