"","VIP","Coefficient"
"var_CV",0.611465113744806,-4119.45789866748
"total_egg_serving_all_athletes",0.208593851077592,-1405.3027198436
"total_dairy_serving_all_athletes",0.261371770220958,-1760.86906533606
"total_sandwich_serving_all_athletes",0.681753486692517,4592.9926705053
"total_vegetable_mushroom_serving_all_athletes",0.125665379272482,-846.611241747999
"total_bean_nut_serving_all_athletes",0.385633861488726,2598.02631580119
"total_fruit_serving_all_athletes",0.0131756756186577,88.7649021628604
"total_sports_drink_serving_all_athletes",0.127409730616333,-858.362986467283
"total_chicken_serving_all_athletes",0.0803132349853387,-541.072553103936
"total_pork_serving_all_athletes",10.2198358995896,68851.3257311034
"total_beef_serving_all_athletes",0.362414134071095,-2441.5943504031
"total_fish_serving_all_athletes",0.612044545637946,-4123.36154784596
"total_prawn_serving_all_athletes",0.339403124940329,2286.5685260523
"total_rice_noodle_serving_all_athletes",0.135341867573636,911.802019222492
"total_fat_oil_serving_all_athletes",0.351755683247771,2369.78806342983
"total_prawn_serving_per_person",0.144353588006993,972.51423662508
"total_beef_serving_per_person",0.373064507096531,2513.34621702177
"total_pork_serving_per_person",0.0146129756116187,98.4480331799293
"total_dairy_serving_per_person",0.449666071061865,3029.41313667759
"total_egg_serving_per_person",0.28373150987363,1911.50726865111
"prior_knowledge_ch_1",0.0218658404898869,147.310790578742
"prior_knowledge_ch_2",0.150841671319633,1016.22463881921
"prior_knowledge_ch_3",0.0460686504958291,310.365811393123
"prior_knowledge_ch_4",0.181857677796801,-1225.18035844317
"weight_contribution_ch_1",0.0201763000418224,135.928308426535
"weight_contribution_ch_2",0.3188070871824,2147.81243266941
"weight_contribution_ch_3",0.0484717433449896,326.555516408472
"weight_contribution_ch_4",0.29575373419438,1992.50133654545
"chance_of_good_learning_hour",0.298488293838732,2010.92414280714
"weight_learning_hour_to_interest_in_class",0.298947294970235,-2014.01644651207
"chance_of_good_learning_material",0.229557435587213,-1546.53498616809
"weight_learning_material_to_interest",0.232812284309506,1568.46299477664
"weight_learning_material_to_motivation_inter_one",0.499144996444513,-3362.75406717946
"weight_learning_material_to_motivation_inter_two",0.0364455432484219,245.534663599137
"chance_of_good_trainer",0.247639490215972,1668.35430355873
"weight_good_trainer_to_interest",0.296041078334186,-1994.43718220492
