"","VIP","Coefficient"
"var_CV",0.611348592695021,-4118.74650310777
"total_egg_serving_all_athletes",0.208651629920711,-1405.71710047655
"total_dairy_serving_all_athletes",0.261195157970369,-1759.71067304937
"total_sandwich_serving_all_athletes",0.681622945863639,4592.19528475205
"total_vegetable_mushroom_serving_all_athletes",0.125697556156414,-846.843153079263
"total_bean_nut_serving_all_athletes",0.385664556217976,2598.27954341561
"total_fruit_serving_all_athletes",0.0131847460271612,88.8275972867492
"total_sports_drink_serving_all_athletes",0.127185083514526,-856.864846394193
"total_chicken_serving_all_athletes",0.080147613383983,-539.966405913347
"total_pork_serving_all_athletes",10.2198506563864,68852.6556799876
"total_beef_serving_all_athletes",0.362380889518892,-2441.41401376153
"total_fish_serving_all_athletes",0.611776364925147,-4121.62846832043
"total_prawn_serving_all_athletes",0.339384812583297,2286.48601916823
"total_rice_noodle_serving_all_athletes",0.135555808559175,913.259667480041
"total_fat_oil_serving_all_athletes",0.352051770165705,2371.82519860032
"total_prawn_serving_per_person",0.144294489675425,972.133463411529
"total_beef_serving_per_person",0.372914887277823,2512.38312525009
"total_pork_serving_per_person",0.0149132473586264,100.472768142881
"total_dairy_serving_per_person",0.44973942243331,3029.96145830825
"total_egg_serving_per_person",0.283583310724476,1910.54299190778
"prior_knowledge_ch_1",0.0216373772327261,145.7742323751
"prior_knowledge_ch_2",0.150817280859736,1016.07847890989
"prior_knowledge_ch_3",0.0461601738449767,310.987964769372
"prior_knowledge_ch_4",0.181823490500114,-1224.97193030063
"weight_contribution_ch_1",0.0200830232542555,135.302318167863
"weight_contribution_ch_2",0.318982591888682,2149.03322031391
"weight_contribution_ch_3",0.0482415662997837,325.010615671437
"weight_contribution_ch_4",0.295926127388762,1993.69838570761
"chance_of_good_learning_hour",0.298469643872632,2010.83443500701
"weight_learning_hour_to_interest_in_class",0.299171592623881,-2015.5635682693
"chance_of_good_learning_material",0.229320949034826,-1544.96938115588
"weight_learning_material_to_interest",0.232752660316306,1568.08933106525
"weight_learning_material_to_motivation_inter_one",0.498999185595498,-3361.8318178584
"weight_learning_material_to_motivation_inter_two",0.0363307392745372,244.76560039612
"chance_of_good_trainer",0.247650294446514,1668.45691056336
"weight_good_trainer_to_interest",0.296167767048768,-1995.32634807893
"weight_good_trainer_to_motivation_inter_one",0.0937691837287019,631.736953673707
"weight_good_trainer_to_motivation_inter_two",0.163461632793527,-1101.26536072111
"weight_good_trainer_to_successful_ch1",0.432080385673968,2910.98989810532
"weight_good_trainer_to_successful_ch2",0.507470008033227,3418.90100998665
