"","VIP","Coefficient"
"var_CV",0.260498327443577,-1837.85791917746
"total_egg_serving_all_athletes",0.364246385189925,2569.81728106513
"total_dairy_serving_all_athletes",0.384628267568615,2713.61476454621
"total_sandwich_serving_all_athletes",0.61424481357211,-4333.59671064183
"total_vegetable_mushroom_serving_all_athletes",0.178451757618398,1259.00607174203
"total_bean_nut_serving_all_athletes",0.102734135455522,724.805975799121
"total_fruit_serving_all_athletes",0.275975645109514,1947.0529037254
"total_sports_drink_serving_all_athletes",0.289144117951106,2039.95861384224
"total_chicken_serving_all_athletes",0.584663583435974,-4124.89633779017
"total_pork_serving_all_athletes",0.493968295195299,3485.02638023234
"total_beef_serving_all_athletes",0.5132619072509,-3621.14594020765
"total_fish_serving_all_athletes",0.0510877864167284,360.432612986997
"total_prawn_serving_all_athletes",10.3459784286382,72992.5545907021
"total_rice_noodle_serving_all_athletes",0.539014733083785,-3802.83630022894
"total_fat_oil_serving_all_athletes",0.345931782307514,2440.60478947506
"total_prawn_serving_per_person",0.150143585672796,1059.28733074962
"total_beef_serving_per_person",0.0525848724533339,370.994797608552
"total_pork_serving_per_person",0.0261078410629496,-184.195050006842
"total_dairy_serving_per_person",0.281887239149415,1988.7601577712
"total_egg_serving_per_person",0.0904995862691119,-638.489248430957
"prior_knowledge_ch_1",0.194326605026101,-1371.00569304594
"prior_knowledge_ch_2",0.373869146420636,2637.70742111237
"prior_knowledge_ch_3",0.248808817784277,1755.38653400782
"prior_knowledge_ch_4",0.0306971563387889,216.57341306996
"weight_contribution_ch_1",0.140519017500929,991.384442439671
"weight_contribution_ch_2",0.409825973070537,2891.38866066399
"weight_contribution_ch_3",0.361302449128736,2549.0473350286
"weight_contribution_ch_4",0.213062129024126,1503.18785132551
"chance_of_good_learning_hour",0.489693575432015,3454.86753949691
"weight_learning_hour_to_interest_in_class",0.00890105088513007,62.7983565912955
"chance_of_good_learning_material",0.124387146695533,-877.571479409167
"weight_learning_material_to_interest",0.0921063862897973,649.825482991583
"weight_learning_material_to_motivation_inter_one",0.446706235926237,-3151.58489230918
"weight_learning_material_to_motivation_inter_two",0.129640099932625,914.631915844978
