"","VIP","Coefficient"
"var_CV",0.581416446994204,-4197.43335847106
"total_egg_serving_all_athletes",0.640280890757213,4622.39481450837
"total_dairy_serving_all_athletes",0.248694770537108,-1795.40797534433
"total_sandwich_serving_all_athletes",0.327934045312854,-2367.46192559678
"total_vegetable_mushroom_serving_all_athletes",0.325090474699387,2346.93326973944
"total_bean_nut_serving_all_athletes",0.0793183216921122,-572.624615505122
"total_fruit_serving_all_athletes",0.534235543706986,-3856.81915953605
"total_sports_drink_serving_all_athletes",0.398234490749944,-2874.98357607385
"total_chicken_serving_all_athletes",0.0608857299894418,-439.553774981347
"total_pork_serving_all_athletes",0.314206653350648,2268.35944364111
"total_beef_serving_all_athletes",0.103831513250843,-749.59327283007
"total_fish_serving_all_athletes",0.0988595935507185,713.699376617071
"total_prawn_serving_all_athletes",10.3337428310882,74602.6313863518
"total_rice_noodle_serving_all_athletes",0.198555257517737,-1433.43461595105
"total_fat_oil_serving_all_athletes",0.415974482031956,3003.05431017685
"total_prawn_serving_per_person",0.327926135290055,-2367.40482058412
"total_beef_serving_per_person",0.482524966780085,-3483.50378171889
"total_pork_serving_per_person",0.0833399412501089,-601.657987669056
"total_dairy_serving_per_person",0.259336506360749,1872.23410774756
"total_egg_serving_per_person",0.265012651540814,1913.21203544379
"prior_knowledge_ch_1",0.0946578990347304,-683.365985095918
"prior_knowledge_ch_2",0.184657521751473,1333.10236698542
"prior_knowledge_ch_3",0.148356860370278,-1071.03615299422
"prior_knowledge_ch_4",0.426280544814497,-3077.45711034112
"weight_contribution_ch_1",0.393147371856321,-2838.25801962805
"weight_contribution_ch_2",0.282775087603584,-2041.44480567763
"weight_contribution_ch_3",0.142825808150801,-1031.10569830292
"weight_contribution_ch_4",0.0926320488318508,-668.740717329942
"chance_of_good_learning_hour",0.520092499772484,3754.7159515723
"weight_learning_hour_to_interest_in_class",0.218545445167152,1577.75024533431
"chance_of_good_learning_material",0.112452232736981,-811.829034704722
"weight_learning_material_to_interest",0.104429609485306,753.911122968452
"weight_learning_material_to_motivation_inter_one",0.204870373812107,-1479.02548276201
"weight_learning_material_to_motivation_inter_two",0.195050204199632,1408.13050252823
"chance_of_good_trainer",0.243973986231203,1761.32710675833
"weight_good_trainer_to_interest",0.128503551152192,927.708693272623
"weight_good_trainer_to_motivation_inter_one",0.319951856134294,-2309.83592051053
"weight_good_trainer_to_motivation_inter_two",0.204895860712594,-1479.20948093897
"weight_good_trainer_to_successful_ch1",0.0838930927392929,605.651367156327
"weight_good_trainer_to_successful_ch2",0.51260041550275,-3700.62817232071
"weight_good_trainer_to_successful_ch3",0.273171842200356,-1972.11587146278
"weight_good_trainer_to_successful_ch4",0.381473098855387,2753.9776674238
"chance_of_good_facility",0.255760508596333,-1846.41782342369
"weight_good_facility_to_motivation",0.0329086240277507,237.577999366158
"chance_athletes_understand_nutrition_importance",0.140931532747478,-1017.43031156567
"weight_understand_nutrition_importance_to_motivation",0.347888655381759,-2511.5207089207
"weight_understand_nutrition_importance_to_persistence",0.50091378343087,-3616.25859598643
"weight_understand_nutrition_importance_to_interest",0.469767174007302,-3391.40114987594
"weight_motivation_to_learning_success",0.353782644813012,2554.07132471617
"weight_persistence_to_learning_success",0.108447024002385,782.914137582111
"weight_interest_to_learning_success",0.0749832084365953,-541.328030956254
"weight_knowledge_to_learning_success",0.50368018499486,-3636.23014351944
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.0238119583006858,-171.906227659254
"weight_motivation_to_maintain_good_nutrition_inter_one",0.196563339945662,-1419.05431882052
"weight_persistence_to_maintain_good_nutrition_inter_one",0.1711136167325,-1235.32453661186
"weight_interest_to_maintain_good_nutrition_inter_one",0.111508177288717,805.013593120168
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.225544669915244,1628.27991231047
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.262946277910293,1898.29421594857
"weight_motivation_to_maintain_good_nutrition_inter_two",0.495617564036439,3578.02347540308
"weight_interest_to_maintain_good_nutrition_inter_two",0.428923152688164,3096.53495118933
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.477829486427798,3449.60559055724
"chance_good_nutritionist_inter_one",0.675706535621472,-4878.14400128717
"chance_good_nutrition_team_inter_two",0.388150663477155,-2802.1851659245
"weight_good_nutritionist_to_maintain_good_nutrition",0.102620018787758,-740.847102508876
"weight_good_nutrition_team_to_maintain_good_nutrition",0.692008137837831,-4995.83053955628
"chance_good_support",0.618002504685428,4461.55994072032
"weight_good_support_to_maintain_good_nutrition_inter_one",0.157870320933082,1139.71690141001
"weight_good_support_to_maintain_good_nutrition_inter_two",0.0369595842937958,-266.823191590154
"chance_good_kitchen_staff",0.232442665413937,1678.07877259811
"chance_regular_audit",0.724146971124484,5227.85117061539
"weight_good_kitchen_staff_to_good_food_safety",0.605689575449522,-4372.66892261708
"weight_regular_audit_to_good_food_safety",0.582494582833421,4205.21676975894
"chance_tasty_food_conditional_on_good_kitchen_staff",0.506847523840204,3659.09618694796
"weight_good_food_safety_to_maintain_good_nutrition",0.413489053876296,2985.11120054418
"weight_tasty_food_to_maintain_good_nutrition",0.0466944508472341,-337.102341454096
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.581645462109381,4199.08669265004
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.248865122249097,1796.63779944421
"chance_athletes_good_health",0.0368186847652572,-265.805992327323
"weight_good_health_to_maintain_good_nutrition",0.0761979164145901,-550.097400680821
"total_main_meals_all_athletes",0.315276319642236,2276.08171052564
"total_snack_time_all_athletes",0.145483226608639,-1050.29046154794
"pork_restriction",0.179393939923129,-1295.1028675465
"beef_restriction",0.393306047337446,2839.40354924127
"prawn_restriction",0.127755555669147,922.308671981943
"egg_restriction",0.112450999766373,-811.820133491166
"dairy_restriction",0.0301503043035151,-217.664797247969
"percent_athlete_with_dietary_restriction",0.363124790236238,2621.51529373676
"number_athlete",0.289271605517324,2088.34526944333
"chance_good_water_intake_current",0.43339455408116,3128.81544387767
"weight_current_good_water_intake_to_maintain_good_water_intake",0.242200848189334,1748.52624980874
"weight_good_learning_outcome_to_maintain_good_water_intake",0.733318884826955,-5294.06618179162
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.306321741080288,-2211.4357120141
"weight_good_water_intake_to_nutrition_outcome",0.0142656696295758,-102.988482513131
"weight_good_carb_intake_to_nutrition_outcome",0.0498496800898283,359.880961744176
"weight_good_protein_intake_to_nutrition_outcome",0.203242742024584,1467.27508251864
"weight_good_fat_intake_to_nutrition_outcome",0.128229807600875,925.732450048154
"weight_vegetable_intake_to_nutrition_outcome",0.0152856663603012,110.352168774866
"weight_fruit_intake_to_nutrition_outcome",0.360359603316094,-2601.55251511048
"chance_good_rest",0.128694221712399,-929.085205708807
"chance_enough_recovery_time",0.393260547671466,-2839.07507243816
"chance_personal_problem",0.079051956239784,570.701637163304
"chance_good_team_relationship",0.352679252218897,-2546.10557674675
"weight_good_rest_to_mental_health",0.0906241895162565,-654.245331597456
"weight_recovery_time_to_mental_health",0.26106053213277,-1884.68040733842
"weight_personal_problem_to_mental_health",0.157571280114386,-1137.55802903131
