"","VIP","Coefficient"
"var_CV",0.122102889000123,7760.24824374489
"total_egg_serving_all_athletes",0.112664588234819,-7160.39710559682
"total_dairy_serving_all_athletes",0.123674364564939,-7860.12336211281
"total_sandwich_serving_all_athletes",0.269985188338389,-17158.9067285541
"total_vegetable_mushroom_serving_all_athletes",0.535655943682544,34043.6096987826
"total_bean_nut_serving_all_athletes",0.367326592602151,-23345.4389856309
"total_fruit_serving_all_athletes",0.366599361460324,23299.2198155737
"total_sports_drink_serving_all_athletes",0.0921344572023673,5855.60477354747
"total_chicken_serving_all_athletes",0.473049313231469,-30064.6457448318
"total_pork_serving_all_athletes",0.557603989284588,35438.5175812384
"total_beef_serving_all_athletes",0.00570285191248923,-362.444712820735
"total_fish_serving_all_athletes",0.171294347588672,-10886.6110451905
"total_prawn_serving_all_athletes",0.54652127429272,-34734.1557085927
"total_rice_noodle_serving_all_athletes",10.4398630227287,663505.420309796
"total_fat_oil_serving_all_athletes",0.0792400121312421,5036.09840857389
"total_prawn_serving_per_person",0.127617994106334,-8110.76070962519
"total_beef_serving_per_person",0.0385837369125772,-2452.18912562044
"total_pork_serving_per_person",0.0718496537680798,-4566.40423525815
"total_dairy_serving_per_person",0.353262276112288,22451.5814509429
"total_egg_serving_per_person",0.226148175460316,-14372.8456862331
"prior_knowledge_ch_1",0.297749496703601,18923.4671496406
"prior_knowledge_ch_2",0.228468472647274,-14520.3121574813
"prior_knowledge_ch_3",0.255544842601152,16241.1506577182
"prior_knowledge_ch_4",0.00839100992178517,-533.290576021617
"weight_contribution_ch_1",0.10961905426153,6966.83821554093
"weight_contribution_ch_2",0.856854047828801,54457.3529280084
"weight_contribution_ch_3",0.195824341645809,-12445.6146433837
"weight_contribution_ch_4",0.00237095572050422,-150.686073988153
"chance_of_good_learning_hour",0.461612151984248,-29337.757042943
"weight_learning_hour_to_interest_in_class",0.159591614626555,-10142.8439348465
"chance_of_good_learning_material",0.160196453179164,10181.2844447645
"weight_learning_material_to_interest",0.423323203584151,-26904.3031991409
"weight_learning_material_to_motivation_inter_one",0.0648613479497985,-4122.26250857866
"weight_learning_material_to_motivation_inter_two",0.0906779140643137,5763.03418474668
"chance_of_good_trainer",0.121371106005925,-7713.73978074267
"weight_good_trainer_to_interest",0.604160314732325,-38397.4045146233
"weight_good_trainer_to_motivation_inter_one",0.274139509924129,-17422.9346074494
"weight_good_trainer_to_motivation_inter_two",0.024941605771765,-1585.1635777948
"weight_good_trainer_to_successful_ch1",0.188536189065187,11982.4161578519
"weight_good_trainer_to_successful_ch2",0.230043795989768,14620.4318213322
"weight_good_trainer_to_successful_ch3",0.434469933197688,-27612.7335206124
"weight_good_trainer_to_successful_ch4",0.0628338679599626,-3993.40603221522
"chance_of_good_facility",0.19388212584985,-12322.1771322569
"weight_good_facility_to_motivation",0.525696614567206,-33410.6446075463
"chance_athletes_understand_nutrition_importance",0.161531638127042,10266.1421146501
"weight_understand_nutrition_importance_to_motivation",0.443723579321958,-28200.8489343601
"weight_understand_nutrition_importance_to_persistence",0.14169167351768,9005.21330472158
"weight_understand_nutrition_importance_to_interest",0.427661216609302,27180.0055861642
"weight_motivation_to_learning_success",0.0696512512923006,4426.68478151376
"weight_persistence_to_learning_success",0.202221912119111,-12852.2121894059
"weight_interest_to_learning_success",0.422062567087565,-26824.1834555481
"weight_knowledge_to_learning_success",0.131686384451855,8369.32722915825
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.0575187968497803,-3655.60672553272
"weight_motivation_to_maintain_good_nutrition_inter_one",0.0119311211620187,758.282320767771
"weight_persistence_to_maintain_good_nutrition_inter_one",0.262124701929833,-16659.3335706503
"weight_interest_to_maintain_good_nutrition_inter_one",0.0775214984213357,-4926.8782819384
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.650492353415364,41342.0369042698
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.026926841309107,-1711.33520827983
"weight_motivation_to_maintain_good_nutrition_inter_two",0.385461364091964,24497.9942589495
