"","VIP","Coefficient"
"var_CV",0.0927110490428958,-10967.2111724018
"total_egg_serving_all_athletes",0.276040111596874,-32654.0388356035
"total_dairy_serving_all_athletes",0.284307532876555,33632.0296572102
"total_sandwich_serving_all_athletes",10.2444611521883,1211863.84970718
"total_vegetable_mushroom_serving_all_athletes",0.365105588472666,-43189.9987147278
"total_bean_nut_serving_all_athletes",0.10513107206105,12436.4321186901
"total_fruit_serving_all_athletes",0.168284696688527,-19907.1612792637
"total_sports_drink_serving_all_athletes",0.572114021261346,67677.966657049
"total_chicken_serving_all_athletes",0.368328940957347,-43571.3037236511
"total_pork_serving_all_athletes",0.67854189795583,80267.803687139
"total_beef_serving_all_athletes",0.59001867026985,-69795.9889280853
"total_fish_serving_all_athletes",0.386122327461247,45676.1642475584
"total_prawn_serving_all_athletes",0.140680011567905,-16641.6776698026
"total_rice_noodle_serving_all_athletes",0.464619395778518,-54961.9390666056
"total_fat_oil_serving_all_athletes",0.0513026290753011,6068.82105829586
"total_prawn_serving_per_person",0.53335903051464,63093.4627398628
"total_beef_serving_per_person",0.159610004669259,18880.9925516632
"total_pork_serving_per_person",0.417098188553433,49340.43957776
"total_dairy_serving_per_person",0.229383714165989,27134.8416260966
"total_egg_serving_per_person",0.0496456658639329,-5872.81135253178
"prior_knowledge_ch_1",0.411217682011494,48644.8077441013
"prior_knowledge_ch_2",0.576581843116437,-68206.4856013528
"prior_knowledge_ch_3",0.263462455391555,31166.1707434868
"prior_knowledge_ch_4",0.325688113844092,-38527.1265695282
"weight_contribution_ch_1",0.179378285345899,-21219.4722790979
"weight_contribution_ch_2",0.164910833986638,-19508.0517329874
"weight_contribution_ch_3",0.409909586796067,48490.0672184649
"weight_contribution_ch_4",0.720550393923758,-85237.179517436
"chance_of_good_learning_hour",0.623985024732349,73814.0233047055
"weight_learning_hour_to_interest_in_class",0.28435580486432,-33637.7399699398
"chance_of_good_learning_material",0.240116148569468,28404.4300485341
"weight_learning_material_to_interest",0.0792887937125454,9379.43161281832
"weight_learning_material_to_motivation_inter_one",0.0784826445233628,-9284.06856293917
"weight_learning_material_to_motivation_inter_two",0.656991114349986,-77718.4635903975
"chance_of_good_trainer",0.0147494467555719,-1744.77906262941
"weight_good_trainer_to_interest",0.335630535045032,39703.2607412516
"weight_good_trainer_to_motivation_inter_one",0.0621155487943558,7347.93045435318
"weight_good_trainer_to_motivation_inter_two",0.101159150353953,11966.5754557391
"weight_good_trainer_to_successful_ch1",0.938212668644675,110985.43882173
"weight_good_trainer_to_successful_ch2",0.120532167821892,14258.2977025579
"weight_good_trainer_to_successful_ch3",0.407757256685815,-48235.4583118077
"weight_good_trainer_to_successful_ch4",0.0192239156684954,2274.08431760149
